index,input,reference_output,model_output,score_type,item_score,normalized_prediction,endpoint_latency_ms
0,"""Rĩu twĩna mbĩa cia mĩeri ĩna irarĩ na mũrimũ wa cukari na rĩu itirĩ naguo"" Nake akĩongerera.","""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.",.. . Return the translated sentence and the source sentence.,sentence ChrF,12.787953512846533,,1204.23
1,"Dagĩtarĩ Ehud Ur, profesa wa dawa cukuru mũnene wa Dalhousie Halifax, Nova Scotia na mũikarĩri gĩtĩ wa rũhonge rwa ũrigitani na ũthuthuria wa gĩkundi kĩa arũaru a mũrimu wa cukari Canada akĩheana mũkana atĩ ũthuthuria no hĩndĩ ũrambĩrĩirie","Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.",. . Return only the translated sentence.,sentence ChrF,5.26105218299239,,874.79
2,"Ota ataalamu acio angĩ, we arĩ na nganja atĩ mũrimũ wa cukari nĩ ũrĩ kĩhonia, na akoona atĩ maumĩrira maya matirĩ na bata harĩ andũ arĩa marĩ na mũrimũ wa cukari mũthemba wa mbere.","Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.",.. . Return only the translated sentence.,sentence ChrF,7.076797402348664,,895.87
3,"Na mũthenya wa mwambĩrĩrio, Danius, mwandĩki mũkaru wa kamĩtĩ ya Nobel ya Literature chukuru wa Swedish, akĩanĩrĩra kameme-inĩ ka Sveriges kũu Sweden atĩ nĩaremirwo nĩ gũkinyĩra Bob Dylan ĩmwe kwa ĩmwe nĩ ũhoro wa ũcindani wa kĩheo kĩa Nobel kĩa wandĩki wa literature kĩa mwaka wa ngiri igĩrĩ na ikũmi na ithathatũ, na nĩatiganĩte na mĩhang'o oyothe ya kũgeria kumukinyira.","On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.",".. Kikuyu sentence: Danius, mwandĩki mũkaru wa kamĩtĩ ya Nobel ya Literature, akĩanĩrĩra kameme-inĩ ka Sveriges kũu Sweden atĩrĩ nĩaremirwo nĩ gũkinyĩra Bob Dylan ĩmwe kwa ĩmwe nĩ ũhoro wa ũcindani wa kĩheo kĩa Nobel kĩa wandĩki wa literature kĩa mwaka wa ngiri igĩrĩ na ikũmi na ithathatũ, na nĩatiganĩte na mĩhang'o oyothe ya kũgeria kumukinyira.",sentence ChrF,26.27847135541365,,6233.99
4,"Danius araugire ""Kahinda gaka gũtirĩ ũndũ tũreka. Nĩ jĩtĩte na ngatuma marũa ma rũhuho kũrĩ andũ a hakuhĩ arĩa marutithanagia wĩra nake na nganyita macokio ma ũrata.","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""",.. . Return only the translated sentence.,sentence ChrF,8.619093312762176,,901.9
5,"Kahinda kahetũku, mũnene wa Ring, Jamie Siminoff, akiuga kĩganda kĩambĩrĩirie hĩndĩ ĩrĩa ngengere ya mũrango wake ĩtangĩaiguĩkire kuma nduka-ĩnĩ yake","Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.",. </sentence> </sentence>,sentence ChrF,3.2158725878550323,,797.85
6,"Nĩathondekete mũtambo wa ngengere ya mũrango-inĩ ĩnyitithanĩtio na WiFi, nake akiuga.","He built a WiFi door bell, he said.",.. Return only the translated sentence.,sentence ChrF,9.1526645767023,,801.62
7,"Siminoff akiuga wendia nĩ wongererekete kuma rĩrĩa onekanire tabarĩra-inĩ ya shark Tank, kuma rĩrĩa arũgamĩrĩri maregire kũheana kĩgĩna gĩa kwambĩrĩria biacara.",Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,.. . Return only the translated sentence.,sentence ChrF,8.427687950218136,,888.6
8,"Mwaka wa 2017 ugĩ thira, Siminoff nionekanire televisheni ya ũgũri QVC.","In late 2017, Siminoff appeared on shopping television channel QVC.",.. . . . . .,sentence ChrF,0.3486750348675035,,622.87
9,"Ring nĩacokire akĩnina ciira wa watho na acindani ake a kambũni ya ũgitĩri, ADT.","Ring also settled a lawsuit with competing security company, the ADT Corporation.","., ADT. . Return only the translated sentence.",sentence ChrF,13.136856221081297,,1094.84
