index,input,reference_output,model_output,score_type,item_score,normalized_prediction,endpoint_latency_ms
0,"Lokruok mag gik mangima kata mutation medo pogruoge manyien mag chwech kata jenetik, kaeto yiero to gole oko kowuok ei pogruoge moyudi go.",science/technology,:<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>,exact category accuracy,0,INVALID,13896.67
1,"Bomb mar fision tiyo nii, okaw teko mar keto nyuklia kanyakla, man kod protons gi neutrons mathoth.",science/technology,":, <br> <br>",exact category accuracy,0,INVALID,714.61
2,Niuklias oting'o gik moko ariyo- niutrons gi protons.,science/technology,: <br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br,exact category accuracy,0,INVALID,13820.54
3,Mano osemiyo kio mag lens mayuayo gikmoko golo pichni manitiere e rang'iny minyalo mana pim gi mago ma ogol gi lens ma ok yua pichni.,science/technology,: <br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br,exact category accuracy,0,INVALID,14121.59
4,"Gibeyo maloyo proxy mag mbui kaluwore gi yore buora: Gidwoko trafik te mag mbui e yo makare, ok mana http Kende.",science/technology,": <br><br>text: Oselo, gibuoro gibuoro gi yore buora: Oselo, gibuoro gibuoro gi yore buora, ok mana http Kende. <br><br>text: Oselo, gibuoro gibuoro gi yore buora: Oselo, gibuoro gibuoro gi yore buora, ok mana http Kende. <br><br>text: Oselo, gibuoro gibuoro gi yore buora: Oselo, gibuoro gibuoro gi yore buora, ok mana http Kende. <br><br>text: Oselo, gibuoro gibuoro gi yore buora: Oselo, gibuoro gibuoro gi yore buora, ok mana http Kende. <br><br>text: Oselo, gibuoro gibuoro gi yore buora: Oselo, gibuoro gibuoro gi yore buora, ok mana http Kende. <br><br>text:",exact category accuracy,0,INVALID,13643.32
5,Loso chwech mag tudruok mag mbui duaro ni inonane kendo paro magi kwom chwech mag gig fwambo kod keyo kendo ipuonjri paro e yore mopogore opogore.,science/technology,: <br><br><br>,exact category accuracy,0,INVALID,772.41
6,"Mano nobedo gima koro itiyogo pile, mak mana ni nyinyo go koro ne kelo kethruok ahinya mag tie geche manolosi gi yiende go.",science/technology,:<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>,exact category accuracy,0,INVALID,14301.82
7,"Pride iloso kod sibuor madichwo achiel kata adek ma nikod tudruok, kod sibuoche ma mon manyalo romo piero adek to kod nyithindgi.",science/technology,: <br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br,exact category accuracy,0,INVALID,13972.7
8,"Kata obedo ni AI nitiere kod okiki mag miriambo mag sayans, AI loso bad sayans mar kompyuta mowinjore ahinya, motenore gi timbe, puonjruok to kod lokruok e rieko mar masin.",science/technology,":, <<text: Oselo, to kod lokruok e rikni mar masin, to kod lokruok e rikni mar masin, to kod lokruok e rikni mar masin, to kod lokruok e rikni mar masin, to kod lokruok e rikni mar masin, to kod lokruok e rikni mar masin, to kod lokruok e rikni mar masin, to kod lokruok e rikni mar masin, to kod lokruok e rikni mar masin, to kod lokruok e rikni mar masin, to kod lokruok e rikni mar masin, to kod lokruok e rikni mar masin, to kod lokruok e rikni mar masin, to kod lokruok e rikni mar masin, to kod lokruok e rikni mar masin, to kod lokruok e rikni mar masin, to kod lokruok e rikni mar masin, to kod lokruok e rikni mar masin, to kod lokruok e rikni mar masin, to kod lokruok e rikni mar masin, to kod lokruok e ri",exact category accuracy,0,INVALID,13928.5
9,Tudruok mar kwan e bor gi lach mar picha ma kamagi (pogo gi apar kod ariyo mondo iyud tudruok mar kwan mayot mochung' kende) koro iwacho ni en 3:2.,science/technology,":<br><br>text: Ot, e bor gi lach mar picha ma kamagi (pogo gi apar kod ariyo mondo iyud tudruok mar kwan mayot mochung' kende) koro iwacho ni en3:2. <br><br>text: Ot, e bor gi lach mar picha ma kamagi (pogo gi apar kod ariyo mondo iyud tudruok mar kwan mayot mochung' kende) koro iwacho ni en3:2.<br><br>text: Ot, e bor gi lach mar picha ma kamagi (pogo gi apar kod ariyo mondo iyud tudruok mar kwan mayot mochung' kende) koro iwacho ni en3:2.<br><br>text: Ot, e bor gi lach mar picha ma kamagi (pogo gi apar kod ariyo mondo iyud tudruok mar kwan mayot mochung' kende) koro iwacho ni en3:2.<br><br>text: Ot, e bor gi lach mar picha ma kamagi (pogo gi apar kod ariyo mondo iyud tu",exact category accuracy,0,INVALID,14030.85
