index,input,reference_output,model_output,score_type,item_score,normalized_prediction,endpoint_latency_ms
0,"“Oyu twina kavila kena myei 4 kala kate na kwambatwa ni nthakame o kala vau tene kanai na uwau uu wa sukali”, ongelile uu.","""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","., “If you have a child who is not doing well in school, you should take him to the doctor to check his health”, response: .",sentence ChrF,16.534573100251404,,2613.24
1,"Mũsomi ũmwe wa uiiti wĩtawa Dr. Ehud Ur wa Dalhousie University, Halifax, Nova Scotia na munene wa kianda kya sivitali na saienzi ya Canadian Diabetes Association niwaisye kana ukunikili uu uinamba kuthela.","Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.",.. Sentence: Ũla wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wasya wa,sentence ChrF,3.2250009217304516,,13630.54
2,"Ta undu umwe na andu mena utuika, e na nzika sya uwau wa sukali kana nouvow'e, aiweta kana maundu aa maina musingi kwa andu ala mena muthemba wa mbee wa sukali.","Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.",.. Return only the translated sentence.,sentence ChrF,7.088841265056995,,784.19
3,"Wakwambĩlĩlya, mwandĩkĩ Sara Danius, wa komitii ya kunengana mithinzio ya maundu ma uandiki, nĩwatangaasiie andũ kwĩsĩla kameme ka Sveriges kana mayaĩ matonya kũmũvikĩa Bob Dylan imwe kwa imwe yĩũlũ wa kũsinda mũthĩnzĩo wa maundu ma uandiki wa 2016, makola ikia vitii wa kũmũvikia.","On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.",.. Return only the translated sentence.,sentence ChrF,4.412406569400897,,787.74
4,"Danius aaĩsye, “Oyu vaĩ ũndũ twĩkwĩka. Nĩnakũnĩa siumu na natũma maũtũmanĩ kwa anyanyae make mavakũvĩ na nakwata maũsũngĩo ma kwendeesya. Kwa saa ĩĩ kĩũ nĩ kĩanĩte”.","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""",.. Return only the translated sentence.,sentence ChrF,8.633063507065252,,784.17
5,"Navu ĩtina, CEO wa Ring, Jamie Siminoff, nĩwaisye kana kĩkũndĩ kĩũ kyambĩĩ ĩe ĩla ngengele ya mũomo wakwe ĩte wyĩkaa kũna ndũkanĩ yake ĩla yĩvala vaseũvĩawa ngalĩ.","Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.",.. Return only the translated sentence.,sentence ChrF,7.698643882616292,,808.86
6,"Aakie ngengele ya muomoni ya WiFi, aisye uu.","He built a WiFi door bell, he said.","., . Return only the translated sentence.",sentence ChrF,9.657154691997896,,899.19
7,Siminoff aiye kama kuta kusoovie itina wa kumila nthini wa kivindi kya Shark Tank mwaka wa 2013 vala utongoi wa kivindi waleile kutetheesya mwambililyo.,Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,.. Return only the translated sentence.,sentence ChrF,8.445868190956297,,793.05
8,"2017 yiithela, Siminoff niyaumilile kwa tiivii channel QVC yiulu wa uthooi.","In late 2017, Siminoff appeared on shopping television channel QVC.",".. Sentence: 218, Kavindu: ""Ndani ya uthooi, ni kwa nini uthooi uluuluula kwa tiivii?"".",sentence ChrF,12.840283510047204,,2184.78
9,"Ring nunavikiie kumina ikoani na kambuni ila manasindanaa ya useseei wa muuo kwa isyitwa, ADT Corporation.","Ring also settled a lawsuit with competing security company, the ADT Corporation.",.. Return only the translated sentence.,sentence ChrF,11.472224112498917,,789.53
10,"Ona vala singano umwe wi ungu wa ukunikili wionany'a utonya kuola ikw'u kumana na Ebola, nginya yu, vai ndawa inesa kwonanw'a mbailu kwa kuiita uwau ula wikw'o.","While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.",.. . Return only the translated sentence.,sentence ChrF,7.870373953266858,,896.76
11,"Ndawa imwe ya kukitana na mowau, Zmapp, mbeeni yai inoonany'a watho ngali isu, indi masomo moonanasya kana vaita wayo kwa kusiiia ikw'u wai munii mbee wondu yatalikanaa.","One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death.",.. Return only the translated sentence.,sentence ChrF,7.668272705257974,,799.98
