task,model,language,n,accuracy,chrf,mean_latency_ms
sib,Llama-8B-FFT,swh_Latn,20,0.2,,1611.4495000000002
sib,Llama-8B-FFT,luo_Latn,20,0.0,,633.4404999999999
sib,Llama-8B-FFT,kik_Latn,20,0.05,,1063.967
sib,Llama-8B-FFT,kam_Latn,20,0.0,,2053.4345000000003
sib,Llama-8B-CPT,swh_Latn,20,0.0,,657.7005
sib,Llama-8B-CPT,luo_Latn,20,0.0,,2234.6099999999997
sib,Llama-8B-CPT,kik_Latn,20,0.0,,2272.441
sib,Llama-8B-CPT,kam_Latn,20,0.0,,1256.467
sib,Llama-8B-QLoRA,swh_Latn,20,0.0,,4781.225
sib,Llama-8B-QLoRA,luo_Latn,20,0.0,,4395.045
sib,Llama-8B-QLoRA,kik_Latn,20,0.0,,3828.9174999999996
sib,Llama-8B-QLoRA,kam_Latn,20,0.2,,5389.4245
sib,Gemma2-27B-FFT,swh_Latn,20,0.0,,12386.563
sib,Gemma2-27B-FFT,luo_Latn,20,0.0,,11044.728500000001
sib,Gemma2-27B-FFT,kik_Latn,20,0.0,,10511.5355
sib,Gemma2-27B-FFT,kam_Latn,20,0.0,,10441.477
sib,Gemma2-27B-CPT,swh_Latn,20,0.0,,10243.566
sib,Gemma2-27B-CPT,luo_Latn,20,0.1,,9058.822
sib,Gemma2-27B-CPT,kik_Latn,20,0.05,,8273.931
sib,Gemma2-27B-CPT,kam_Latn,20,0.0,,11647.283500000001
