index,input,reference_output,model_output,score_type,item_score,normalized_prediction,endpoint_latency_ms
0,“Koro wantiere kod oyiechni ma jo dweche ang'wen mane nitiere kod tuo sukari to koro sani gionge kod tuo no.”,"""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.",.. Luo sentence: “Ang’wen mane nitiere kod oyiechni ma jo dweche ang’wen mane nitiere kod tuo sukari to koro sani gionge kod tuo no.”.,sentence ChrF,14.380978310815609,,2364.58
1,"Laktar Ehud Ur, ngire mar weche thieth e Mbalariany mar Dalhousie ei Halifax, Nova Scottia, kendo jakom mar migao mar klinik kod sayans mar Riwruok mar Tuo sukari ma Kanada nochiwo siem ni nonro no pod nitiere e kindege mag chakruok.","Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.",.<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>,sentence ChrF,0.901343821697804,,13165.62
2,"Kaka jomolony moko, en gi chichi koda tuo sukari inyalo thiedhi, kobedo kod ng'eyo, ni nonrogi onge gima medo ne jii man kod tuo sukari mokwongo.","Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","., Luo sentence: Ot, en gi chichi koda tuo sukari nyalo thiedhi, kobedo kod ng'eyo, ni nonrogi onge gima medo ne jii man kod tuo sukari mokwongo.",sentence ChrF,12.492197109591807,,2619.42
3,"Chieng' Wuoktich, Sara Danius, jagoro ma tene mar Nobel Committee for Literature manitiere ei Swedish Academy, nolando e lela e kinde mane entiere e chenro moro mar nyakalondo mar Sveriges Radio ei Sweden ni komiti, ka ne nyalo mar chopo ir Bob Dylan mondo gikone kwom loch mare mar Nobel Prize ma 2016 mar weche Ndiko Buge otamogi, ne gijok gi kinda mar manye.","On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.",".. Luo sentence: Ot, e ot, e ot, e ot, e ot, e ot, e ot, e ot, e ot, e ot, e ot, e ot, e ot, e ot, e ot, e ot, e ot, e ot, e ot, e ot, e ot, e ot, e ot, e ot, e ot, e ot, e ot, e ot, e ot, e ot, e ot, e ot, e ot, e ot, e ot, e ot, e ot, e ot, e ot, e ot, e ot, e ot, e ot, e ot, e ot, e ot, e ot, e ot, e ot, e ot, e ot, e ot, e ot, e ot, e ot, e ot, e ot, e ot, e ot, e ot, e ot, e ot, e ot, e ot, e ot, e ot, e ot, e ot, e ot, e ot, e ot, e ot, e ot, e ot, e ot, e ot, e ot, e ot, e ot, e ot, e ot, e ot, e ot, e",sentence ChrF,5.4987706083231656,,13381.01
4,"Danius ne owacho ni, “gi e sechegi onge gima watimo. Asegoyo simu kendo aseoro barupe mag e-mail ne jal ma otiyo go machiegni kendo aseyudo duoko mamuol ahinya. Gi sani, mago oromo aroma”.","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""",".. Luo sentence: “Asegoyo,” “Asegoyo”.",sentence ChrF,5.521713169359057,,1136.06
5,"Motelo, CEO mar Ring, Jamie Siminoff, nowacho ni kambino nochakore ka okotne mar thigo ne okwinjre gi ei dukane manenitiere er garaj ne.","Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.",. Luo sentence: Okotne mar thigo ne okwinjre gi ei dukane manenitiere er garaj ne.,sentence ChrF,12.91142274772366,,1714.54
6,"Noloso olang' mar dhoot matiyo gi WiFi, ne owacho.","He built a WiFi door bell, he said.",". Luo sentence: Ot, noloso olang' mar dhoot matiyo gi WiFi, ne owacho.",sentence ChrF,14.874785610059835,,1469.2
7,Siminoff nowacho ni nyiepo nomedore tok chopo mare e sula moro achiel e chenro mar Shark Tank e higa mar 2013 kama ne jotelo mag chenrono mar wang' jowi notamore chiwo kony mar omenda ne tijeno.,Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,.<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>,sentence ChrF,0.8466376390904692,,13496.9
8,"E giko mag hik 2017, Siminoff ne one e wang' jowi mar nyiewo mwandu mar QVC.","In late 2017, Siminoff appeared on shopping television channel QVC.",.<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>,sentence ChrF,0.34083162917518744,,13607.38
9,"Kambi mar Ring bende nosetieko yuaruok mane gin godo gi kambi ma gipiemgo, ma en ADT Corporation.","Ring also settled a lawsuit with competing security company, the ADT Corporation.","., Luo sentence: Ot, e piny gi maber, e piny gi maber, e piny gi maber, e piny gi maber, e piny gi maber, e piny gi maber, e piny gi maber, e piny gi maber, e piny gi maber, e piny gi maber, e piny gi maber, e piny gi maber, e piny gi maber, e piny gi maber, e piny gi maber, e piny gi maber, e piny gi maber, e piny gi maber, e piny gi maber, e piny gi maber, e piny gi maber, e piny gi maber, e piny gi maber, e piny gi maber, e piny gi maber, e piny gi maber, e piny gi maber, e piny gi maber, e piny gi maber, e piny gi maber, e piny gi maber, e piny gi maber, e piny gi maber, e piny gi maber, e piny gi maber, e piny gi maber, e piny gi maber, e piny gi maber, e piny gi maber, e piny gi maber, e piny gi maber, e piny gi maber, e piny gi maber, e piny gi maber, e piny gi maber, e piny gi maber, e piny gi maber, e piny gi maber, e piny gi maber, e piny",sentence ChrF,4.085712613672645,,13539.91
