index,input,reference_output,model_output,score_type,item_score,normalized_prediction,endpoint_latency_ms
0,Mutation yongereire ũingĩ wa genes njerũ na irutĩtwo kuuma gĩkundi kĩa iria nyonanie.,science/technology,":science. njĩnjĩ: Ah, ni njega. njĩnjĩ: Nĩ njega. njĩnjĩ: Ni njega. njĩnjĩ: Ni njega. njĩnjĩ: Ni njega. njĩnjĩ: Ni njega. njĩnjĩ: Ni njega. njĩnjĩ: Ni njega. njĩnjĩ: Ni njega. njĩnjĩ: Ni njega. njĩnjĩ: Ni njega. njĩnjĩ: Ni njega. njĩnjĩ: Ni njega. njĩnjĩ: Ni njega. njĩnjĩ: Ni njega. njĩnjĩ: Ni njega. njĩnjĩ: Ni njega. njĩnjĩ: Ni njega. njĩnjĩ: Ni njega. njĩnjĩ: Ni njega. njĩnjĩ: Ni njega. njĩnjĩ: Ni njega. njĩnjĩ: Ni njega. njĩnjĩ: Ni njega. njĩnjĩ: Ni njega. njĩnjĩ: Ni njega. njĩnjĩ: Ni njega. njĩnjĩ: Ni njega. njĩnjĩ: Ni njega. njĩnjĩ: Ni njega. njĩnjĩ: Ni njega. njĩnjĩ: Ni njega. njĩnjĩ: Ni njega. njĩnjĩ: Ni njega. njĩnjĩ: Ni njega. njĩnjĩ: Ni",exact category accuracy,0,INVALID,7336.58
1,Bomu ya kũgayũkania ĩrutaga wĩra kũringana na watho wa atĩ kuoyaga hinya wa kũhũthĩka kũnyitithania nucleus na protons na neutrons.,science/technology,":cience/technology. njĩnjĩ: Ah, ni njega! njĩnjĩ: Nĩ njega, njĩnjĩ: Nĩ njega, njĩnjĩ: Nĩ njega, njĩnjĩ: Nĩ njega, njĩnjĩ: Nĩ njega, njĩnjĩ: Nĩ njega, njĩnjĩ: Nĩ njega, njĩnjĩ: Nĩ njega, njĩnjĩ: Nĩ njega, njĩnjĩ: Nĩ njega, njĩnjĩ: Nĩ njega, njĩnjĩ: Nĩ njega, njĩnjĩ: Nĩ njega, njĩnjĩ: Nĩ njega, njĩnjĩ: Nĩ njega, njĩnjĩ: Nĩ njega, njĩnjĩ: Nĩ njega, njĩnjĩ: Nĩ njega, njĩnjĩ: Nĩ njega, njĩnjĩ: Nĩ njega, njĩnjĩ: Nĩ njega, njĩnjĩ: Nĩ njega, njĩnjĩ: Nĩ njega, njĩnjĩ: Nĩ njega, njĩnjĩ: Nĩ njega, njĩnjĩ: Nĩ njega, njĩnjĩ: Nĩ njega, njĩnjĩ: Nĩ njega, njĩnjĩ: Nĩ njega, njĩnjĩ: Nĩ njega, njĩnjĩ: Nĩ njega, njĩnjĩ: Nĩ njega, njĩnjĩ: Nĩ njega, njĩnjĩ: Nĩ njega,",exact category accuracy,0,INVALID,7280.82
2,"Nucleus ikoragwo na particles igĩrĩ, neutron na protons.",science/technology,":cience. njĩnjĩ: Ah, ni njega. njĩnjĩ: Ni njega.",exact category accuracy,0,INVALID,566.57
3,KĨũndũ gĨkĨ kĨhotithĨtie kũrutwo kwa mbica njega ikĨringithanio na iria cia gacicio karĨa gatagucagia mbica.,science/technology,":central Kenya. njĩnjĩ: Ah, ni njega ya Nyeri. njĩnjĩ: Ni njega ya Nyeri. njĩnjĩ: Ni njega ya Nyeri. njĩnjĩ: Ni njega ya Nyeri. njĩnjĩ: Ni njega ya Nyeri. njĩnjĩ: Ni njega ya Nyeri. njĩnjĩ: Ni njega ya Nyeri. njĩnjĩ: Ni njega ya Nyeri. njĩnjĩ: Ni njega ya Nyeri. njĩnjĩ: Ni njega ya Nyeri. njĩnjĩ: Ni njega ya Nyeri. njĩnjĩ: Ni njega ya Nyeri. njĩnjĩ: Ni njega ya Nyeri. njĩnjĩ: Ni njega ya Nyeri. njĩnjĩ: Ni njega ya Nyeri. njĩnjĩ: Ni njega ya Nyeri. njĩnjĩ: Ni njega ya Nyeri. njĩnjĩ: Ni njega ya Nyeri. njĩnjĩ: Ni njega ya Nyeri. njĩnjĩ: Ni njega ya Nyeri. njĩnjĩ: Ni njega ya Nyeri. njĩnjĩ: Ni njega ya Nyeri. njĩnjĩ: Ni njega ya Nyeri. njĩnjĩ: Ni njega ya Nyeri. njĩnjĩ: Ni njega ya Nyeri. njĩnjĩ: Ni njega ya Nyeri. njĩnjĩ: Ni njega ya Nyeri. njĩnjĩ: Ni njega",exact category accuracy,0,INVALID,7126.88
4,"Nĩ irĩ hinya gũkĩra web proxies nĩ ũndũ wa itũmi ciigana ũna: Nĩyerekagĩria internet traffic yothe njĩra-inĩ ingĩ, na kũrĩ http ike.",science/technology,:science. njĩnjĩrekagĩria.,exact category accuracy,0,INVALID,342.34
5,Interactive design yendaga wĩrore ũrĩa wĩtĩkĩtie ũndũ wĩgiĩ media na wĩrute kwaga gwĩciria na njĩra ĩmwe.,science/technology,:sports. njĩnjĩ: na njĩra ĩmwe. njĩnjĩ: na njĩra ĩmwe. njĩnjĩ: na njĩra ĩmwe. njĩnjĩ: na njĩra ĩmwe. njĩnjĩ: na njĩra ĩmwe. njĩnjĩ: na njĩra ĩmwe. njĩnjĩ: na njĩra ĩmwe. njĩnjĩ: na njĩra ĩmwe. njĩnjĩ: na njĩra ĩmwe. njĩnjĩ: na njĩra ĩmwe. njĩnjĩ: na njĩra ĩmwe. njĩnjĩ: na njĩra ĩmwe. njĩnjĩ: na njĩra ĩmwe. njĩnjĩ: na njĩra ĩmwe. njĩnjĩ: na njĩra ĩmwe. njĩnjĩ: na njĩra ĩmwe. njĩnjĩ: na njĩra ĩmwe. njĩnjĩ: na njĩra ĩmwe. njĩnjĩ: na njĩra ĩmwe. njĩnjĩ: na njĩra ĩmwe. njĩnjĩ: na njĩra ĩmwe. njĩnjĩ: na njĩra ĩmwe. njĩnjĩ: na njĩra ĩmwe. njĩnjĩ: na njĩra ĩmwe. njĩnjĩ: na njĩra ĩmwe. njĩnjĩ: na njĩra ĩmwe. njĩnjĩ: na njĩra ĩmwe. njĩnjĩ: na njĩra ĩmwe. njĩnjĩ: na njĩra ĩmwe. njĩnjĩ: na njĩra ĩmwe. njĩnjĩ: na njĩra ĩmwe. njĩnjĩ: na,exact category accuracy,0,sports,7289.41
6,"Ũndũ uyũ nĩwatuĩkire mũtugo, no cuma iyo ya iron nĩyatũmaga magũrũ ma wagons marĩa maarĩ ma mbaaũ gũthira mũno.",science/technology,":sports. njĩnjĩ: Ah, nĩ ũndũ wa kũũra? njĩnjĩ: Nĩ ũndũ wa kũũra. njĩnjĩ: Nĩ ũndũ wa kũũra. njĩnjĩ: Nĩ ũndũ wa kũũra. njĩnjĩ: Nĩ ũndũ wa kũũra. njĩnjĩ: Nĩ ũndũ wa kũũra. njĩnjĩ: Nĩ ũndũ wa kũũra. njĩnjĩ: Nĩ ũndũ wa kũũra. njĩnjĩ: Nĩ ũndũ wa kũũra. njĩnjĩ: Nĩ ũndũ wa kũũra. njĩnjĩ: Nĩ ũndũ wa kũũra. njĩnjĩ: Nĩ ũndũ wa kũũra. njĩnjĩ: Nĩ ũndũ wa kũũra. njĩnjĩ: Nĩ ũndũ wa kũũra. njĩnjĩ: Nĩ ũndũ wa kũũra. njĩnjĩ: Nĩ ũndũ wa kũũra. njĩnjĩ: Nĩ ũndũ wa kũũra. njĩnjĩ: Nĩ ũndũ wa kũũra. njĩnjĩ: Nĩ ũndũ wa kũũra. njĩnjĩ: Nĩ ũndũ wa kũũra. njĩnjĩ: Nĩ ũndũ wa kũũra. njĩnjĩ: Nĩ ũndũ wa kũũra. njĩnjĩ: Nĩ ũndũ wa kũũra. njĩnjĩ: Nĩ ũndũ wa kũũra. njĩnjĩ: Nĩ ũndũ wa kũũra. njĩ",exact category accuracy,0,sports,7292.79
7,"Ikundi cia mĩrũthi ithondekagwo nĩ gatagatĩ ka mũrũthi ũmwe na ĩtatũ ya njamba ĩrĩa ĩtainio, ĩtwaranĩte na ĩngĩ mĩingĩ ta mĩrongo ĩtatũ ya nga na twana.",science/technology,:ceni. njĩnjĩre na njamba ya njamba.,exact category accuracy,0,INVALID,395.71
8,"O na harĩa AI ĩkoragwo na rĩĩtwa rĩrĩ na hinya rĩa sayansi ya gwĩcirĩria maũndũ matarĩ ho, AI ĩthondekaga rũhonge rwa bata mũno rwa sayansi ya kambiuta, ĩkĩrũmbũyania na mũtugo, wĩruti na kũhotithia ũũgĩ wa macini.",science/technology,":cience/technology. njĩnjĩ: Ah, nĩ wega, nĩ wega.",exact category accuracy,0,INVALID,645.47
9,Ratio ya aspect ya mũigana ũyũ (kũgayania ikũmi na igĨrĨ nĨguo kuona namba ngima ĨrĨa huthũ) ĨrĨa ĨrĨkanaga nĨ 3:2.,science/technology,":cene. njĩnjĩ: njĩnjĩ, njĩnjĩ, njĩnjĩ, njĩnjĩ, njĩnjĩ, njĩnjĩ, njĩnjĩ, njĩnjĩ, njĩnjĩ, njĩnjĩ, njĩnjĩ, njĩnjĩ, njĩnjĩ, njĩnjĩ, njĩnjĩ, njĩnjĩ, njĩnjĩ, njĩnjĩ, njĩnjĩ, njĩnjĩ, njĩnjĩ, njĩnjĩ, njĩnjĩ, njĩnjĩ, njĩnjĩ, njĩnjĩ, njĩnjĩ, njĩnjĩ, njĩnjĩ, njĩnjĩ, njĩnjĩ, njĩnjĩ, njĩnjĩ, njĩnjĩ, njĩnjĩ, njĩnjĩ, njĩnjĩ, njĩnjĩ, njĩnjĩ, njĩnjĩ, njĩnjĩ, njĩnjĩ, njĩnjĩ, njĩnjĩ, njĩnjĩ, njĩnjĩ, njĩnjĩ, njĩnjĩ, njĩnjĩ, njĩnjĩ, njĩnjĩ, njĩnjĩ, njĩnjĩ, njĩnjĩ, njĩnjĩ, njĩnjĩ, njĩnjĩ, njĩnjĩ, njĩnjĩ, njĩnjĩ, njĩnjĩ, njĩnjĩ, njĩ",exact category accuracy,0,INVALID,7350.43
