task,model,language,n,accuracy,chrf,mean_latency_ms
sib,Llama-8B-FFT,swh_Latn,204,0.27450980392156865,,1256.5560294117647
sib,Llama-8B-FFT,luo_Latn,204,0.11764705882352941,,696.012794117647
sib,Llama-8B-FFT,kik_Latn,204,0.06372549019607843,,1042.6498529411765
sib,Llama-8B-FFT,kam_Latn,204,0.10294117647058823,,1654.4108333333334
sib,Llama-8B-CPT,swh_Latn,204,0.014705882352941176,,693.7373039215687
sib,Llama-8B-CPT,luo_Latn,204,0.004901960784313725,,1608.5797549019608
sib,Llama-8B-CPT,kik_Latn,204,0.0,,1228.0836274509804
sib,Llama-8B-CPT,kam_Latn,204,0.0,,1403.1519117647058
sib,Llama-8B-QLoRA,swh_Latn,204,0.03431372549019608,,6343.0137745098045
sib,Llama-8B-QLoRA,luo_Latn,204,0.08823529411764706,,5125.468970588236
sib,Llama-8B-QLoRA,kik_Latn,204,0.03431372549019608,,3008.872450980392
sib,Llama-8B-QLoRA,kam_Latn,204,0.10294117647058823,,6207.811176470588
sib,Gemma2-27B-FFT,swh_Latn,204,0.04411764705882353,,9203.291666666666
sib,Gemma2-27B-FFT,luo_Latn,204,0.004901960784313725,,11678.133333333335
sib,Gemma2-27B-FFT,kik_Latn,204,0.0196078431372549,,9922.833774509805
sib,Gemma2-27B-FFT,kam_Latn,204,0.004901960784313725,,9790.475
sib,Gemma2-27B-CPT,swh_Latn,204,0.06862745098039216,,8912.514166666666
sib,Gemma2-27B-CPT,luo_Latn,204,0.04411764705882353,,8655.181960784314
sib,Gemma2-27B-CPT,kik_Latn,204,0.004901960784313725,,9965.595245098039
sib,Gemma2-27B-CPT,kam_Latn,204,0.0,,11314.595441176472
