index,input,reference_output,model_output,score_type,item_score,normalized_prediction,endpoint_latency_ms
0,"Movinduku mongelaa kivathukany'o kya njini, unyuvi naw'o wivetangaa vala ve nguthu isu ya movinduku.",science/technology,":, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,",exact category accuracy,0,INVALID,13175.2
1,Mbomu ya Fission uthukumaa na nzia ya vinya wa nucleus vamwe na protons na neutrons syakwatanw'a.,science/technology,":, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,",exact category accuracy,0,INVALID,13202.81
2,Nucleus yĩthĩawa na ilungu ilĩ - neurons na protons.,science/technology,":, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,",exact category accuracy,0,INVALID,13213.76
3,Kii ni kitonyethyete lenzi sya kuthengeesya syindũ syũmya visa nzeo kũte ila syitakunitwe na lenzi ya kuthengeesya syindu.,science/technology,":, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,",exact category accuracy,0,INVALID,13178.86
4,"Syi kiwango kiyiulu kwi kompyuta muvai wa prokisi: Nitumaa ingi mauvoo asu ngali syi kivathyukany'o, ti http yoka.",science/technology,":, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,",exact category accuracy,0,INVALID,13251.91
5,Ndisaini ya mituki yendaa ukasisya ingi ngewa ite na uw'o iulu wa ivindi sya kumya maumoo na kumanya kwisilya nziani syi kivathukany'o.,science/technology,":, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,",exact category accuracy,0,INVALID,13128.63
6,kĩĩ kyatwĩkĩe kĩndũ kya kĩla ĩvĩnda onakaũ ĩ kyũma kyatũmaa ndĩa sya makasya ĩthela.,science/technology,":, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,",exact category accuracy,0,INVALID,13137.46
7,"Nguthu ya minyambu yithiawa na munyambu umwe kuvika itatu miume, vamwe na minyambu mika o ta miongo itatu na twana twayo.",science/technology,":, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,",exact category accuracy,0,INVALID,13388.16
8,"Ona vala AI ni yisikie mũno kwa saienzi syite sya wo, AI ni isevitye ũvonge wa vata mũno wa saienzi ya kombyuta ya mikanilye, kusoma na ũi wa maasini.",science/technology,":, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,",exact category accuracy,0,INVALID,13303.97
9,Aspect ratio ivangitwe uu (kuaany'a na ikumi na ili ni kenda ukwate namba ikwatene ya ratio) ila yailwe ithwa yi 3:2.,science/technology,":, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,",exact category accuracy,0,INVALID,13336.93
