index,input,reference_output,model_output,score_type,item_score,normalized_prediction,endpoint_latency_ms
0,"""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.",“Koro wantiere kod oyiechni ma jo dweche ang'wen mane nitiere kod tuo sukari to koro sani gionge kod tuo no.”,".: ""Onge ng'a tich maber, to ng'a tich maber, to ng'a tich maber, to ng'a tich maber, to ng'a tich maber, to ng'a tich maber, to ng'a tich maber, to ng'a tich maber, to ng'a tich maber, to ng'a tich maber, to ng'a tich maber, to ng'a tich maber, to ng'a tich maber, to ng'a tich maber, to ng'a tich maber, to ng'a tich maber, to ng'a tich maber, to ng'a tich maber, to ng'a tich maber, to ng'a tich maber, to ng'a tich maber, to ng'a tich maber, to ng'a tich maber, to ng'a tich maber, to ng'a tich maber, to ng'a tich maber, to ng'a tich maber, to ng'a tich maber, to ng'a tich maber, to ng'a tich maber, to ng'a tich maber, to ng'a tich maber, to ng'a tich maber, to ng'a tich maber, to ng'a tich maber, to ng'a tich maber, to",sentence ChrF,7.698649829929679,,11749.64
1,"Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","Laktar Ehud Ur, ngire mar weche thieth e Mbalariany mar Dalhousie ei Halifax, Nova Scottia, kendo jakom mar migao mar klinik kod sayans mar Riwruok mar Tuo sukari ma Kanada nochiwo siem ni nonro no pod nitiere e kindege mag chakruok.",.: . Return only the translated sentence.,sentence ChrF,4.865678512849057,,760.32
2,"Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","Kaka jomolony moko, en gi chichi koda tuo sukari inyalo thiedhi, kobedo kod ng'eyo, ni nonrogi onge gima medo ne jii man kod tuo sukari mokwongo.",.: . Return only the translated sentence.,sentence ChrF,6.164804350982165,,622.73
3,"On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","Chieng' Wuoktich, Sara Danius, jagoro ma tene mar Nobel Committee for Literature manitiere ei Swedish Academy, nolando e lela e kinde mane entiere e chenro moro mar nyakalondo mar Sveriges Radio ei Sweden ni komiti, ka ne nyalo mar chopo ir Bob Dylan mondo gikone kwom loch mare mar Nobel Prize ma 2016 mar weche Ndiko Buge otamogi, ne gijok gi kinda mar manye.",. ni ere kaka ne gitimo mano. Osegi ni ere kaka ne gitimo mano.,sentence ChrF,6.865342857885345,,1202.75
4,"Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","Danius ne owacho ni, “gi e sechegi onge gima watimo. Asegoyo simu kendo aseoro barupe mag e-mail ne jal ma otiyo go machiegni kendo aseyudo duoko mamuol ahinya. Gi sani, mago oromo aroma”.",".: ""Onge ng'a tich, odhiambo, tich maber, tich maber, tich maber, tich maber, tich maber, tich maber, tich maber, tich maber, tich maber, tich maber, tich maber, tich maber, tich maber, tich maber, tich maber, tich maber, tich maber, tich maber, tich maber, tich maber, tich maber, tich maber, tich maber, tich maber, tich maber, tich maber, tich maber, tich maber, tich maber, tich maber, tich maber, tich maber, tich maber, tich maber, tich maber, tich maber, tich maber, tich maber, tich maber, tich maber, tich maber, tich maber, tich maber, tich maber, tich maber, tich maber, tich maber, tich maber, tich maber, tich maber, tich maber, tich maber, tich maber, tich maber, tich maber, tich maber, tich maber, tich maber, tich maber, tich maber, tich maber, tich maber, tich maber, tich maber, tich maber, tich maber, tich maber, tich maber, tich maber, tich maber, tich maber, tich maber, tich maber, tich maber, tich maber, tich maber, tich maber, tich maber, tich maber, tich maber, tich maber, tich",sentence ChrF,5.985560705512332,,11898.21
5,"Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","Motelo, CEO mar Ring, Jamie Siminoff, nowacho ni kambino nochakore ka okotne mar thigo ne okwinjre gi ei dukane manenitiere er garaj ne.",".: Jamie Siminoff, CEO mar Ring, nowachone ni ne ochako tichne ka doho mar ang'wen ne ok owinjre e duka mare e garage.",sentence ChrF,45.542420391407404,,2130.24
6,"He built a WiFi door bell, he said.","Noloso olang' mar dhoot matiyo gi WiFi, ne owacho.",.: . Return only the translated sentence.,sentence ChrF,8.241283439194232,,644.82
7,Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,Siminoff nowacho ni nyiepo nomedore tok chopo mare e sula moro achiel e chenro mar Shark Tank e higa mar 2013 kama ne jotelo mag chenrono mar wang' jowi notamore chiwo kony mar omenda ne tijeno.,.: . Return only the translated sentence.,sentence ChrF,4.977991222723934,,931.99
8,"In late 2017, Siminoff appeared on shopping television channel QVC.","E giko mag hik 2017, Siminoff ne one e wang' jowi mar nyiewo mwandu mar QVC.",".: In late 2017, Siminoff appeared on shopping television channel QVC.",sentence ChrF,28.4260449511934,,1263.38
9,"Ring also settled a lawsuit with competing security company, the ADT Corporation.","Kambi mar Ring bende nosetieko yuaruok mane gin godo gi kambi ma gipiemgo, ma en ADT Corporation.",.: . Return only the translated sentence.,sentence ChrF,7.689711631482608,,694.74
