index,input,reference_output,model_output,score_type,item_score,normalized_prediction,endpoint_latency_ms
0,"""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.",“Koro wantiere kod oyiechni ma jo dweche ang'wen mane nitiere kod tuo sukari to koro sani gionge kod tuo no.”,". English sentence: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added. <br><br>Luo sentence: <br><br>",sentence ChrF,14.830044433607275,,3500.43
1,"Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","Laktar Ehud Ur, ngire mar weche thieth e Mbalariany mar Dalhousie ei Halifax, Nova Scottia, kendo jakom mar migao mar klinik kod sayans mar Riwruok mar Tuo sukari ma Kanada nochiwo siem ni nonro no pod nitiere e kindege mag chakruok.",. Return only the translated sentence.,sentence ChrF,4.877802564850139,,738.3
2,"Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","Kaka jomolony moko, en gi chichi koda tuo sukari inyalo thiedhi, kobedo kod ng'eyo, ni nonrogi onge gima medo ne jii man kod tuo sukari mokwongo.",. Return only the translated sentence.,sentence ChrF,6.188906735114561,,734.72
3,"On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","Chieng' Wuoktich, Sara Danius, jagoro ma tene mar Nobel Committee for Literature manitiere ei Swedish Academy, nolando e lela e kinde mane entiere e chenro moro mar nyakalondo mar Sveriges Radio ei Sweden ni komiti, ka ne nyalo mar chopo ir Bob Dylan mondo gikone kwom loch mare mar Nobel Prize ma 2016 mar weche Ndiko Buge otamogi, ne gijok gi kinda mar manye.",. Return only the translated sentence.,sentence ChrF,3.6124501287271507,,764.26
4,"Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","Danius ne owacho ni, “gi e sechegi onge gima watimo. Asegoyo simu kendo aseoro barupe mag e-mail ne jal ma otiyo go machiegni kendo aseyudo duoko mamuol ahinya. Gi sani, mago oromo aroma”.",. Return only the translated sentence.,sentence ChrF,4.700853264084953,,726.71
5,"Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","Motelo, CEO mar Ring, Jamie Siminoff, nowacho ni kambino nochakore ka okotne mar thigo ne okwinjre gi ei dukane manenitiere er garaj ne.",.. English sentence: They have been in the business for years now. . Luo sentence: .,sentence ChrF,10.186272441160396,,1807.86
6,"He built a WiFi door bell, he said.","Noloso olang' mar dhoot matiyo gi WiFi, ne owacho.",.. English sentence: He said that he has built a WiFi door bell.,sentence ChrF,13.75303929785818,,1396.09
7,Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,Siminoff nowacho ni nyiepo nomedore tok chopo mare e sula moro achiel e chenro mar Shark Tank e higa mar 2013 kama ne jotelo mag chenrono mar wang' jowi notamore chiwo kony mar omenda ne tijeno.,.. English sentence: They said they wouldn't invest in his project. . Luo sentence: . Return only the translated sentence.,sentence ChrF,11.070176633572014,,2631.53
8,"In late 2017, Siminoff appeared on shopping television channel QVC.","E giko mag hik 2017, Siminoff ne one e wang' jowi mar nyiewo mwandu mar QVC.",.<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>,sentence ChrF,0.49900199600798395,,13179.68
9,"Ring also settled a lawsuit with competing security company, the ADT Corporation.","Kambi mar Ring bende nosetieko yuaruok mane gin godo gi kambi ma gipiemgo, ma en ADT Corporation.",.. English sentence: There is a new law that protects the rights of the accused. . Return only the translated sentence.,sentence ChrF,11.262365164317192,,2420.26
10,"While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.","E seche ma yath manie tem nenore ni nikod nyalo mar dwoko thoye mag Ebola chien, nyaka gi e sechegi, onge yath mosenyiso ni emaber mar thiedho tuo no.",".. English sentence: While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.",sentence ChrF,19.45189919604359,,3976.01
11,"One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death.","Achiel kwom kwriri mageng'o tuo e del, ZMapp, mokwongo ne nenore ka gima nonyalo konyo ahinya, mak mana ni nonro mag josomo wacho ni en kod ber manok ahinya e geng'o thoye.",".. English sentence: One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death.",sentence ChrF,17.3427103030869,,3584.55
12,"In the PALM trial, ZMapp served as a control, meaning scientists used it as a baseline and compared the three other treatments to it.","E tem mar PALM, Zmapp ne otiyo kaka sigingi, manyiso ni jo sayans ne otiyo kode kaka gir chakruok kendo ne gipimo element mamoko adek go kode.",".. English sentence: In the PALM trial, ZMapp served as a control, meaning scientists used it as a baseline and compared the three other treatments to it.",sentence ChrF,16.669382468772906,,3307.0
13,USA Gymnastics supports the United States Olympic Committee's letter and accepts the absolute need of the Olympic family to promote a safe environment for all of our athletes.,"Jotugo mag Gymnastics epiny USA oyie kod barup kamiti United States matayo Olympic, kendo giyie dwaro mar jok matayo Olympic mond okel aluora maber ne jong'wech te.",. Return only the translated sentence.,sentence ChrF,6.573688385839385,,733.85
14,"We agree with the USOC's statement that the interests of our athletes and clubs, and their sport, may be better served by moving forward with meaningful change within our organization, rather than decertification.","Wayie kod wach mar jo USOC mar ni dwach jotuk ng'wech mekwa gi kilabu mekgi, kaachiel kod tukegi, nyalo dhi nyime e yo malong'o ka watimo lokruoge mowinjore e riwruok wa, kar mayogi barupegi mag tugo.",. Return only the translated sentence.,sentence ChrF,3.9726376675633044,,734.07
15,USA Gymnastics supports an independent investigation that may shine light on how abuse of the proportion described so courageously by the survivors of Larry Nassar could have gone undetected for so long and embraces any necessary and appropriate changes.,"Jotug gimnastiks ma USA oyie kod jotim nonro mang'iyo kaka bembo notimre, kaluwore kaka jomanotimnegi wacho, kendo tim nonro yudo kaka Larry Nassar nenyalo timo timni ndalo gi duto, kendo giyie gi paro kod lokruok manyalo bedo maber.",. Return only the translated sentence.,sentence ChrF,4.08628097086174,,738.01
