index,input,reference_output,model_output,score_type,item_score,normalized_prediction,endpoint_latency_ms
0,"""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","""Rĩu twĩna mbĩa cia mĩeri ĩna irarĩ na mũrimũ wa cukari na rĩu itirĩ naguo"" Nake akĩongerera.",. wa mice ni wa 4-month-old na ni wa kugitheria.,sentence ChrF,9.888580957269655,,619.74
1,"Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","Dagĩtarĩ Ehud Ur, profesa wa dawa cukuru mũnene wa Dalhousie Halifax, Nova Scotia na mũikarĩri gĩtĩ wa rũhonge rwa ũrigitani na ũthuthuria wa gĩkundi kĩa arũaru a mũrimu wa cukari Canada akĩheana mũkana atĩ ũthuthuria no hĩndĩ ũrambĩrĩirie",". wa medicine wa Dalhousie University in Halifax, Nova Scotia na chair wa the clinical na scientific division wa the Canadian Diabetes Association, Dr. Ehud Ur, ariugire ati the research ni still in its early days.",sentence ChrF,27.570069491653165,,2456.82
2,"Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","Ota ataalamu acio angĩ, we arĩ na nganja atĩ mũrimũ wa cukari nĩ ũrĩ kĩhonia, na akoona atĩ maumĩrira maya matirĩ na bata harĩ andũ arĩa marĩ na mũrimũ wa cukari mũthemba wa mbere.",". wa madaktari, ni muigai wa muiritu wa Type 1 diabetes.",sentence ChrF,8.441569256244378,,615.11
3,"On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","Na mũthenya wa mwambĩrĩrio, Danius, mwandĩki mũkaru wa kamĩtĩ ya Nobel ya Literature chukuru wa Swedish, akĩanĩrĩra kameme-inĩ ka Sveriges kũu Sweden atĩ nĩaremirwo nĩ gũkinyĩra Bob Dylan ĩmwe kwa ĩmwe nĩ ũhoro wa ũcindani wa kĩheo kĩa Nobel kĩa wandĩki wa literature kĩa mwaka wa ngiri igĩrĩ na ikũmi na ithathatũ, na nĩatiganĩte na mĩhang'o oyothe ya kũgeria kumukinyira.",. wa thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia thiomi cia,sentence ChrF,5.724827226882483,,7196.36
4,"Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","Danius araugire ""Kahinda gaka gũtirĩ ũndũ tũreka. Nĩ jĩtĩte na ngatuma marũa ma rũhuho kũrĩ andũ a hakuhĩ arĩa marutithanagia wĩra nake na nganyita macokio ma ũrata.",. wa kuringithania na muthuri wake wa guku bururi. Ni ugi wa kuringithania na muthuri wake wa guku bururi.,sentence ChrF,14.554874421031816,,897.66
5,"Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","Kahinda kahetũku, mũnene wa Ring, Jamie Siminoff, akiuga kĩganda kĩambĩrĩirie hĩndĩ ĩrĩa ngengere ya mũrango wake ĩtangĩaiguĩkire kuma nduka-ĩnĩ yake",". wa Rings CEO, Jamie Siminoff, akanusha kwamba kampuni yake ilianza wakati mlango wake haukusikika kutoka kwenye gari lake.",sentence ChrF,29.648940738383494,,1065.73
6,"He built a WiFi door bell, he said.","Nĩathondekete mũtambo wa ngengere ya mũrango-inĩ ĩnyitithanĩtio na WiFi, nake akiuga.",". wifi door bell, akanyita.",sentence ChrF,7.5396966994364405,,394.97
7,Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,"Siminoff akiuga wendia nĩ wongererekete kuma rĩrĩa onekanire tabarĩra-inĩ ya shark Tank, kuma rĩrĩa arũgamĩrĩri maregire kũheana kĩgĩna gĩa kwambĩrĩria biacara.",". kwa muthenya wa 2013, akiruka kwenye show ya Shark Tank, ambapo show panel ilikataa kufadhili startup yake.",sentence ChrF,16.73673255487631,,1093.61
8,"In late 2017, Siminoff appeared on shopping television channel QVC.","Mwaka wa 2017 ugĩ thira, Siminoff nionekanire televisheni ya ũgũri QVC.",".: In late 2017, Siminoff appeared on shopping television channel QVC.",sentence ChrF,31.451992775397002,,812.18
9,"Ring also settled a lawsuit with competing security company, the ADT Corporation.","Ring nĩacokire akĩnina ciira wa watho na acindani ake a kambũni ya ũgitĩri, ADT.",. na ADT Corporation. .,sentence ChrF,6.139130655483142,,338.38
10,"While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.","Onakoro njajo ĩmwe ya kũgeria kũgitĩra mũrimũ nĩyonekanĩte ta ĩranyihia ikuũ ciĩtanĩtio na mũrimũ wa Ebola, nginyagia ihinda rĩrĩ gũtirĩ ndaawa njega biũ cia gũthondeka mĩrimũ ĩrĩa ĩkuo.",". ya Ebola, no drugs have been clearly demonstrated suitable for treating existing infection.",sentence ChrF,13.233067667599988,,1069.01
11,"One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death.","Antibody cocktail ĩmwe, Zmapp, kĩambĩrĩria nĩyaheanĩte mwĩhoko mwena-inĩ, no mathomo mahetũkie makĩonania yarĩ na ũmithio mũnini kũringana na ũrĩa wendekanaga kurigĩrĩria ikuũ.","., ZMapp, ilianza na matumaini katika eneo hilo, lakini utafiti wa kisheria ulionyesha kuwa haikuwa na faida kubwa kama ilivyotarajiwa katika kuzuia vifo.",sentence ChrF,17.012865034039994,,1036.12
12,"In the PALM trial, ZMapp served as a control, meaning scientists used it as a baseline and compared the three other treatments to it.","Mageria-inĩ ma PALM, Zmapp yatũmĩriro nĩ atalamu a sayansi ta gĩthimi gĩa kũgerekania na ndaawa icio ingĩ ithatũ.",". kwa PALM trial, ZMapp ilitumika kama control, maana yake wataalamu walitumia kama baseline na kulinganisha na treatments zingine tatu.",sentence ChrF,23.771623909902164,,1143.03
13,USA Gymnastics supports the United States Olympic Committee's letter and accepts the absolute need of the Olympic family to promote a safe environment for all of our athletes.,USA Gymnastics nĩmetĩkanĩtie na marũa ma committee ya America ya Olympics atĩ kwĩna bata mũnene wa andũ othe mahutainie na mathako ma olympics gũteithĩrĩria mathingira na matũra gũkoro na ũgitĩri ũrĩa wagĩrĩire harĩ athaki.,. ni wa USA Gymnastics waheire United States Olympic Committee's letter na waheire the absolute need ya Olympic family guthoma a safe environment kwa ajili ya athamaki aguo.,sentence ChrF,27.427261264492557,,1766.7
14,"We agree with the USOC's statement that the interests of our athletes and clubs, and their sport, may be better served by moving forward with meaningful change within our organization, rather than decertification.",Nĩtwĩtĩkĩranĩtie na mandĩkithia ma USOC at wendi wa athaki na irabu na mathako mao no ũkinyanĩire na njira ya gũthiĩ na mbere na mogarũrũku makinyanĩru ciũngano-inĩ ciao gũtarĩ kwehutĩrio certificate,".: We agree with the USOC's statement that the interests of our athletes and clubs, and their sport, may be better served by moving forward with meaningful change within our organization, rather than decertification.",sentence ChrF,20.56946264935123,,2193.61
15,USA Gymnastics supports an independent investigation that may shine light on how abuse of the proportion described so courageously by the survivors of Larry Nassar could have gone undetected for so long and embraces any necessary and appropriate changes.,Gymnastics a America nĩ maranyita mbaru ũthuthuria urĩa ũngĩhotithia kũonania ũtũmĩri mũru wa mahinya ũrĩa wandĩkithĩtio nĩ arĩa mahonokire Larry Nassar ũrĩa ũngĩathiire ũtamenyekete kahinda karaihu na gwĩtĩkĩra mogarũrũku marĩa magĩrĩire.,. wa USA Gymnastics ungiteithia uhoro wa kiriu wa kuhorera uhoro wa Larry Nassar.,sentence ChrF,15.893293596247663,,934.86
16,"USA Gymnastics and the USOC have the same goal — making the sport of gymnastics, and others, as safe as possible for athletes to follow their dreams in a safe, positive and empowered environment.",Gymnastics a America na USOC marĩ kĩoneki kĩmwe- gutigĩrĩra mathako ma gymnastics na macio mangĩ me ũmenyereri na athaki acio nĩmegũkinyanĩria iroto ciao kũndũ kwĩna ũmenyereri na ũnyitĩrĩri ũrĩa wagĩrĩire.,". wa gymnastics na USOC ni wa kuheania — kuheania kwa gymnastics na others, na kuheania kwa waheani wa gymnastics, na kuheania kwa waheani wa gymnastics, na kuheania kwa waheani wa gymnastics, na kuheania kwa waheani wa gymnastics, na kuheania kwa waheani wa gymnastics, na kuheania kwa waheani wa gymnastics, na kuheania kwa waheani wa gymnastics, na kuheania kwa waheani wa gymnastics, na kuheania kwa waheani wa gymnastics, na kuheania kwa waheani wa gymnastics, na kuheania kwa waheani wa gymnastics, na kuheania kwa waheani wa gymnastics, na kuheania kwa waheani wa gymnastics, na",sentence ChrF,17.42876544589233,,7173.71
