index,input,reference_output,model_output,score_type,item_score,normalized_prediction,endpoint_latency_ms
0,Mutation yongereire ũingĩ wa genes njerũ na irutĩtwo kuuma gĩkundi kĩa iria nyonanie.,science/technology,:. You are an assistant able to classify topics in texts.,exact category accuracy,0,INVALID,734.14
1,Bomu ya kũgayũkania ĩrutaga wĩra kũringana na watho wa atĩ kuoyaga hinya wa kũhũthĩka kũnyitithania nucleus na protons na neutrons.,science/technology,:. You are an assistant able to classify topics in texts.,exact category accuracy,0,INVALID,701.28
2,"Nucleus ikoragwo na particles igĩrĩ, neutron na protons.",science/technology,: wa science/technology,exact category accuracy,1,science/technology,310.95
3,KĨũndũ gĨkĨ kĨhotithĨtie kũrutwo kwa mbica njega ikĨringithanio na iria cia gacicio karĨa gatagucagia mbica.,science/technology,":. ,text: KĨndũ kĨhotithĨtie kurīa kwa mbica njega ikīringithanio na iria cia gacicio karīa gatagucagia mbica. ,category: geography.",exact category accuracy,0,geography,1655.41
4,"Nĩ irĩ hinya gũkĩra web proxies nĩ ũndũ wa itũmi ciigana ũna: Nĩyerekagĩria internet traffic yothe njĩra-inĩ ingĩ, na kũrĩ http ike.",science/technology,:. You are an assistant able to classify topics in texts.,exact category accuracy,0,INVALID,678.77
5,Interactive design yendaga wĩrore ũrĩa wĩtĩkĩtie ũndũ wĩgiĩ media na wĩrute kwaga gwĩciria na njĩra ĩmwe.,science/technology,:. You are an assistant able to classify topics in texts.,exact category accuracy,0,INVALID,678.41
6,"Ũndũ uyũ nĩwatuĩkire mũtugo, no cuma iyo ya iron nĩyatũmaga magũrũ ma wagons marĩa maarĩ ma mbaaũ gũthira mũno.",science/technology,:. You are an assistant able to classify topics in texts.,exact category accuracy,0,INVALID,677.85
7,"Ikundi cia mĩrũthi ithondekagwo nĩ gatagatĩ ka mũrũthi ũmwe na ĩtatũ ya njamba ĩrĩa ĩtainio, ĩtwaranĩte na ĩngĩ mĩingĩ ta mĩrongo ĩtatũ ya nga na twana.",science/technology,:. You are an assistant able to classify topics in texts.,exact category accuracy,0,INVALID,679.21
8,"O na harĩa AI ĩkoragwo na rĩĩtwa rĩrĩ na hinya rĩa sayansi ya gwĩcirĩria maũndũ matarĩ ho, AI ĩthondekaga rũhonge rwa bata mũno rwa sayansi ya kambiuta, ĩkĩrũmbũyania na mũtugo, wĩruti na kũhotithia ũũgĩ wa macini.",science/technology,":, sayansi ya kambuni, sayansi ya kambuni, sayansi ya kambuni, sayansi ya kambuni, sayansi ya kambuni, sayansi ya kambuni.",exact category accuracy,0,INVALID,1032.04
9,Ratio ya aspect ya mũigana ũyũ (kũgayania ikũmi na igĨrĨ nĨguo kuona namba ngima ĨrĨa huthũ) ĨrĨa ĨrĨkanaga nĨ 3:2.,science/technology,:. ||text: Nĩguo kuona namba ngima ĪrĨa huthũ. ||class: travel.,exact category accuracy,0,travel,853.54
10,"Thimũ ya satellite ti ya ithenya rĩa thimu ya moko, tondũ no nginya ũkorwo kũndũ nja handũ ũrakinyĩrĩka wega nĩ satellite nĩguo ũhote kuhũũra thimũ.",science/technology,:. You are an assistant able to classify topics in texts.,exact category accuracy,0,INVALID,680.53
11,"Ona angĩkorwo Wagonways ciakitwo na mbaũ, nĩciatũmaga mbarathi ithiĩ ihenya inene na kũgucia mĩrigo mĩritũ gũkĩra barabara irĩa cia hĩndĩ iyo iria citaarĩ nyoroku.",science/technology,:. You are an assistant able to classify topics in texts.,exact category accuracy,0,INVALID,686.55
12,"Andũ nĩ makoretwo moĩ ciigiĩ maũndũ ma mũthingi ma chemical elements kwa mũhiano thahabu, betha na copper kuma matukũ-inĩ ma tene mũno, tondũ icio no igundũrwo ũndũire-inĩ wacio itanyitanĩte na kĩndũ kĩngĩ na nĩ ikoragwo na ingĩringithanio na ingĩ nĩ ikoragwo na raithi kwenja ugĩtũmira indo cia tene.",science/technology,":, entertainment, geography",exact category accuracy,0,entertainment,328.75
13,Magũrũ ma gĩthiũrũrĩ nĩ macenjetie thĩ na njĩra nene. ũndu ũrĩa mũnene mũno magũrũ macio ma gĩthiũrũrĩ mekĩte nĩ gũtũhe ũkui mũhũthũ makĩria na wa naihenya.,science/technology,:. You are an assistant able to classify topics in texts.,exact category accuracy,0,INVALID,673.6
14,ũndũ ũyũ wĩkagwo nĩguo mbica iihũre gĩcicioinĩ gĩothe. ũndu ũyũ witagwo overscan.,science/technology,:. You are an assistant able to classify topics in texts.,exact category accuracy,0,INVALID,674.24
15,Meeri cia haaro cia Germany cietagwo U-boats. Ajerumani makoragwo marĩ ega mũno gũtwarithia na gũtũmĩra meeri ciao.,science/technology,:. Gikuyu statement: Meeri cia haaro cia Germany cietagwo U-boats. Ajerumani makoragwo marĩ ega mũno gũtwarithia na gũtũmĩra meeri ciao.,exact category accuracy,0,INVALID,1265.27
16,"Ona akorwo state no icenjie, chemical states itigaraga ihanaine.",science/technology,":. , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,",exact category accuracy,0,INVALID,6959.15
17,Surface tension ĩhotekaga nĩ ũndũ molecules cia maĩ-inĩ igũrũ nĩ igucanagia na hinya mũno gũkĩra urĩa igucagĩrĩrio nĩ molecules cia rĩera-inĩ.,science/technology,:. You are an assistant able to classify topics in texts.,exact category accuracy,0,INVALID,670.07
18,Thĩna ũrĩa mũnene hĩndi ya kũgeria gũcenjia thenema  ĩtuĩke DVD nĩ overscan.,science/technology,:. You are an assistant able to classify topics in texts.,exact category accuracy,0,INVALID,670.64
19,Kwĩrĩkanaga atĩ mũndũ no amenye kana mũndũ ũrĩa ũngĩ nĩarahenania na gũtaura mũhana wa ũthiũ wake wega.,science/technology,:. You are an assistant able to classify topics in texts.,exact category accuracy,0,INVALID,668.94
