index,input,reference_output,model_output,score_type,item_score,normalized_prediction,endpoint_latency_ms
0,“Koro wantiere kod oyiechni ma jo dweche ang'wen mane nitiere kod tuo sukari to koro sani gionge kod tuo no.”,"""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.",.de: “Korona wantiere kod yiechni ma jo dweche ang'wen mane nitiere kod tuo sukari to koro sani gionge kod tuo no.”,sentence ChrF,14.755653627793883,,1123.28
1,"Laktar Ehud Ur, ngire mar weche thieth e Mbalariany mar Dalhousie ei Halifax, Nova Scottia, kendo jakom mar migao mar klinik kod sayans mar Riwruok mar Tuo sukari ma Kanada nochiwo siem ni nonro no pod nitiere e kindege mag chakruok.","Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.",".me, nowa., nowa., nowa., nowa., nowa., nowa., nowa., nowa., nowa., nowa., nowa., nowa., nowa., nowa., nowa., nowa., nowa., nowa., nowa., nowa., nowa., nowa., nowa., nowa., nowa., nowa., nowa., nowa., nowa., nowa., nowa., nowa., nowa., nowa., nowa., nowa., nowa., nowa., nowa., nowa., nowa., nowa., nowa., nowa., nowa., nowa., nowa., nowa., nowa., nowa., nowa., nowa., nowa., nowa., nowa., nowa., nowa., nowa., nowa., nowa., nowa., nowa., nowa., nowa",sentence ChrF,3.8546224076239115,,7196.82
2,"Kaka jomolony moko, en gi chichi koda tuo sukari inyalo thiedhi, kobedo kod ng'eyo, ni nonrogi onge gima medo ne jii man kod tuo sukari mokwongo.","Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.",.medo ne jii man kod tuo sukari mokwongo.,sentence ChrF,4.665859648704804,,422.89
3,"Chieng' Wuoktich, Sara Danius, jagoro ma tene mar Nobel Committee for Literature manitiere ei Swedish Academy, nolando e lela e kinde mane entiere e chenro moro mar nyakalondo mar Sveriges Radio ei Sweden ni komiti, ka ne nyalo mar chopo ir Bob Dylan mondo gikone kwom loch mare mar Nobel Prize ma 2016 mar weche Ndiko Buge otamogi, ne gijok gi kinda mar manye.","On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.",.medo: . I'm not sure what you mean.,sentence ChrF,2.8259113569084557,,482.06
4,"Danius ne owacho ni, “gi e sechegi onge gima watimo. Asegoyo simu kendo aseoro barupe mag e-mail ne jal ma otiyo go machiegni kendo aseyudo duoko mamuol ahinya. Gi sani, mago oromo aroma”.","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""",.me: . Return only the translated sentence.,sentence ChrF,8.857962613930196,,507.3
5,"Motelo, CEO mar Ring, Jamie Siminoff, nowacho ni kambino nochakore ka okotne mar thigo ne okwinjre gi ei dukane manenitiere er garaj ne.","Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.",".medo: Motelo, CEO mar Ring, Jamie Siminoff, nowacho ni kambino nochakore ka okotne mar thigo ne okwinjre gi ei dukane manenitiere er garaj ne.",sentence ChrF,27.339367180915254,,1541.65
6,"Noloso olang' mar dhoot matiyo gi WiFi, ne owacho.","He built a WiFi door bell, he said.",".loso, ne owacho. Noloso.",sentence ChrF,6.218905472636816,,311.38
7,Siminoff nowacho ni nyiepo nomedore tok chopo mare e sula moro achiel e chenro mar Shark Tank e higa mar 2013 kama ne jotelo mag chenrono mar wang' jowi notamore chiwo kony mar omenda ne tijeno.,Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,.medo tok chopo mare e sula moro achiel e chenro mar Shark Tank e higa mar 2013.,sentence ChrF,18.012120409009256,,815.52
8,"E giko mag hik 2017, Siminoff ne one e wang' jowi mar nyiewo mwandu mar QVC.","In late 2017, Siminoff appeared on shopping television channel QVC.",".medo: E giko mag hik 2017, Siminoff ne one e wang' jowi mar nyiewo mwandu mar QVC.",sentence ChrF,30.048765765706115,,924.9
9,"Kambi mar Ring bende nosetieko yuaruok mane gin godo gi kambi ma gipiemgo, ma en ADT Corporation.","Ring also settled a lawsuit with competing security company, the ADT Corporation.",".medo gi kambi ma gipiemgo, ma en ADT Corporation.",sentence ChrF,25.572869801929766,,590.24
