index,input,reference_output,model_output,score_type,item_score,normalized_prediction,endpoint_latency_ms
0,“Koro wantiere kod oyiechni ma jo dweche ang'wen mane nitiere kod tuo sukari to koro sani gionge kod tuo no.”,"""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.",.. Return only the translated sentence.,sentence ChrF,10.415890783785088,,834.77
1,"Laktar Ehud Ur, ngire mar weche thieth e Mbalariany mar Dalhousie ei Halifax, Nova Scottia, kendo jakom mar migao mar klinik kod sayans mar Riwruok mar Tuo sukari ma Kanada nochiwo siem ni nonro no pod nitiere e kindege mag chakruok.","Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.",.. . Return only the translated sentence.,sentence ChrF,5.254415787783482,,938.31
2,"Kaka jomolony moko, en gi chichi koda tuo sukari inyalo thiedhi, kobedo kod ng'eyo, ni nonrogi onge gima medo ne jii man kod tuo sukari mokwongo.","Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.",.. . Return only the translated sentence.,sentence ChrF,7.076797402348664,,954.68
3,"Chieng' Wuoktich, Sara Danius, jagoro ma tene mar Nobel Committee for Literature manitiere ei Swedish Academy, nolando e lela e kinde mane entiere e chenro moro mar nyakalondo mar Sveriges Radio ei Sweden ni komiti, ka ne nyalo mar chopo ir Bob Dylan mondo gikone kwom loch mare mar Nobel Prize ma 2016 mar weche Ndiko Buge otamogi, ne gijok gi kinda mar manye.","On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.",. </sentence> </sentence>,sentence ChrF,2.305622166400791,,844.11
4,"Danius ne owacho ni, “gi e sechegi onge gima watimo. Asegoyo simu kendo aseoro barupe mag e-mail ne jal ma otiyo go machiegni kendo aseyudo duoko mamuol ahinya. Gi sani, mago oromo aroma”.","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""",.. . Return only the translated sentence.,sentence ChrF,8.619093312762176,,934.33
5,"Motelo, CEO mar Ring, Jamie Siminoff, nowacho ni kambino nochakore ka okotne mar thigo ne okwinjre gi ei dukane manenitiere er garaj ne.","Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.",.. . Return only the translated sentence.,sentence ChrF,7.682508876765902,,925.97
6,"Noloso olang' mar dhoot matiyo gi WiFi, ne owacho.","He built a WiFi door bell, he said.",. </sentence> </sentence>,sentence ChrF,3.7037037037037033,,801.28
7,Siminoff nowacho ni nyiepo nomedore tok chopo mare e sula moro achiel e chenro mar Shark Tank e higa mar 2013 kama ne jotelo mag chenrono mar wang' jowi notamore chiwo kony mar omenda ne tijeno.,Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,"., <sentence><sentence><sentence><sentence><sentence><sentence><sentence><sentence><sentence><sentence><sentence><sentence><sentence><sentence><sentence><sentence><sentence><sentence><sentence><sentence><sentence><sentence><sentence><sentence><sentence><sentence><sentence><sentence><sentence><sentence><sentence><sentence><sentence><sentence><sentence><sentence><sentence><sentence><sentence><sentence><sentence><sentence><sentence><sentence><sentence><sentence><sentence><sentence><sentence><sentence><sentence",sentence ChrF,3.891139757708207,,13621.46
8,"E giko mag hik 2017, Siminoff ne one e wang' jowi mar nyiewo mwandu mar QVC.","In late 2017, Siminoff appeared on shopping television channel QVC.","., Luo sentence: Ot e piny, e piny, e piny, e piny, e piny, e piny, e piny, e piny, e piny, e piny, e piny, e piny, e piny, e piny, e piny, e piny, e piny, e piny, e piny, e piny, e piny, e piny, e piny, e piny, e piny, e piny, e piny, e piny, e piny, e piny, e piny, e piny, e piny, e piny, e piny, e piny, e piny, e piny, e piny, e piny, e piny, e piny, e piny, e piny, e piny, e piny, e piny, e piny, e piny, e piny, e piny, e piny, e piny, e piny, e piny, e piny, e piny, e piny, e piny, e piny, e piny, e piny, e piny, e piny, e piny, e piny, e piny, e piny, e piny, e piny, e piny, e piny, e piny, e piny, e piny, e piny, e piny, e piny, e piny, e piny, e piny, e piny, e piny",sentence ChrF,4.032949985741752,,13543.68
9,"Kambi mar Ring bende nosetieko yuaruok mane gin godo gi kambi ma gipiemgo, ma en ADT Corporation.","Ring also settled a lawsuit with competing security company, the ADT Corporation.","., . Return the translated sentence and the original sentence.",sentence ChrF,15.349440355161963,,1267.99
10,"E seche ma yath manie tem nenore ni nikod nyalo mar dwoko thoye mag Ebola chien, nyaka gi e sechegi, onge yath mosenyiso ni emaber mar thiedho tuo no.","While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.","., Luo sentence: Osewe, e seche ma yath manie tem nenore ni nikod nyalo mar dwoko thoye mag Ebola chien, nyaka gi e sechegi, onge yath mosenyiso ni emaber mar thiedho tuo no.",sentence ChrF,18.377720399273777,,3190.98
11,"Achiel kwom kwriri mageng'o tuo e del, ZMapp, mokwongo ne nenore ka gima nonyalo konyo ahinya, mak mana ni nonro mag josomo wacho ni en kod ber manok ahinya e geng'o thoye.","One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death.",.. . Return only the translated sentence.,sentence ChrF,7.654178672106306,,929.0
12,"E tem mar PALM, Zmapp ne otiyo kaka sigingi, manyiso ni jo sayans ne otiyo kode kaka gir chakruok kendo ne gipimo element mamoko adek go kode.","In the PALM trial, ZMapp served as a control, meaning scientists used it as a baseline and compared the three other treatments to it.",.. . Return the translated sentence and the original sentence.,sentence ChrF,14.631233313803108,,1267.8
13,"Jotugo mag Gymnastics epiny USA oyie kod barup kamiti United States matayo Olympic, kendo giyie dwaro mar jok matayo Olympic mond okel aluora maber ne jong'wech te.",USA Gymnastics supports the United States Olympic Committee's letter and accepts the absolute need of the Olympic family to promote a safe environment for all of our athletes.,.. . Return only the translated sentence.,sentence ChrF,7.611234438803062,,902.13
14,"Wayie kod wach mar jo USOC mar ni dwach jotuk ng'wech mekwa gi kilabu mekgi, kaachiel kod tukegi, nyalo dhi nyime e yo malong'o ka watimo lokruoge mowinjore e riwruok wa, kar mayogi barupegi mag tugo.","We agree with the USOC's statement that the interests of our athletes and clubs, and their sport, may be better served by moving forward with meaningful change within our organization, rather than decertification.",.. . Return only the translated sentence.,sentence ChrF,5.727564014773763,,903.79
15,"Jotug gimnastiks ma USA oyie kod jotim nonro mang'iyo kaka bembo notimre, kaluwore kaka jomanotimnegi wacho, kendo tim nonro yudo kaka Larry Nassar nenyalo timo timni ndalo gi duto, kendo giyie gi paro kod lokruok manyalo bedo maber.",USA Gymnastics supports an independent investigation that may shine light on how abuse of the proportion described so courageously by the survivors of Larry Nassar could have gone undetected for so long and embraces any necessary and appropriate changes.,"., . Return only the translated sentence.",sentence ChrF,5.394609199151309,,928.77
16,"USA Gymnastics kod USOC nikod duaro achiel - loso tuke mag ting'o chumbe mapek, kod mamoko, obed malong'o kaka nyalore ne jotuke mondo giluu lek mekgi e yo makare, mowinjore to kod aluora ma nikod teko mogundho.","USA Gymnastics and the USOC have the same goal — making the sport of gymnastics, and others, as safe as possible for athletes to follow their dreams in a safe, positive and empowered environment.",.. . Return only the translated sentence.,sentence ChrF,5.505851909229345,,915.38
17,"E higni duto mag 1960, Brzezinski notiyo ne John F. Kennedy kaka ja ng'ad rieko mare kaeto nochak otiyo ne tend apis mar Lyndon B. Johnson.","Throughout 1960s, Brzezinski worked for John F. Kennedy as his advisor and then the Lyndon B. Johnson administration.",. </sentence> </sentence>,sentence ChrF,3.7550156267932975,,808.18
18,"E ndalo yiero ma 1976 nong'ado ne Carter rieko e wi chike matayo gig pinje ma welo, kendo notiyo kaka jang'ad rieko ma en National Security Advisor (NSA) chakre 1977 nyaka 1981, ka nokao tijno kowuok kwom Henry Kissinger.","During the 1976 selections he advised Carter on foreign policy, then served as National Security Advisor (NSA) from 1977 to 1981, succeeding Henry Kissinger.","., Luo sentence: Ot, e ndalo yiero ma 1976 nong'ado ne Carter rieko e wi chike matayo gig pinje ma welo, kendo notiyo kaka jang'ad rieko ma en National Security Advisor (NSA) chakre 1977 nyaka 1981, ka nokao tijno kwom Henry Kissinger.",sentence ChrF,42.40657179694098,,4835.96
