index,input,reference_output,model_output,score_type,item_score,normalized_prediction,endpoint_latency_ms
0,"Mabadiliko huongeza tofauti za kimaumbile, na uchaguzi huyaondoa katika mkusanyiko wa tofauti zilizoonyeshwa.",science/technology,: <br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br,exact category accuracy,0,INVALID,13510.62
1,Bomu hii gawanyiki hufanya kazi kwa kanuni kwamba nguvu huhitajika katika uundaji wa viini vyenye protoni na nutroni nyingi.,science/technology,: <br><br>text: Kwa nini tunapaswa kuzingatia utunzaji wa maji katika uzalishaji wa chakula? <br><br>category: Health<br><br>text: Kwa nini tunapaswa kuzingatia utunzaji wa maji katika uzalishaji wa chakula? <br><br>category: Health<br><br>text: Kwa nini tunapaswa kuzingatia utunzaji wa maji katika uzalishaji wa chakula? <br><br>category: Health<br><br>text: Kwa nini tunapaswa kuzingatia utunzaji wa maji katika uzalishaji wa chakula? <br><br>category: Health<br><br>text: Kwa nini tunapaswa kuzingatia utunzaji wa maji katika uzalishaji wa chakula? <br><br>category: Health<br><br>text: Kwa nini tunapaswa kuzingatia utunzaji wa maji katika uzalishaji wa chakula? <br><br>category: Health<br,exact category accuracy,0,health,13617.22
2,Nyuklia ina chembe mbili - nyutroni na protoni.,science/technology,: <br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br,exact category accuracy,0,INVALID,13501.39
3,Hii imewezesha lenzi za kukuza kutoa picha zenye ubora unaoweza kulinganishwa na ule unaofikiwa na lenzi zenye urefu msingi usiobadilika.,science/technology,: <br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br,exact category accuracy,0,INVALID,13577.0
4,"Ni bora kuliko wakala wa tovuti kwa sababu kadhaa: Huelekeza upya trafiki yote ya intaneti, si http pekee.",science/technology,: <br><br>text: Kwa nini unataka kuunda tovuti yako ya kwanza? <br><br>category: <br><br>text: Kwa nini unataka kuunda tovuti yako ya kwanza? <br><br>category: <br><br>text: Kwa nini unataka kuunda tovuti yako ya kwanza? <br><br>category: <br><br>text: Kwa nini unataka kuunda tovuti yako ya kwanza? <br><br>category: <br><br>text: Kwa nini unataka kuunda tovuti yako ya kwanza? <br><br>category: <br><br>text: Kwa nini unataka kuunda tovuti yako ya kwanza? <br><br>category: <br><br>text: Kwa nini unataka kuunda tovuti yako ya kwanza? <br><br>category: <br><br>text: Kwa nini unataka kuunda tovuti,exact category accuracy,0,INVALID,13507.82
5,Ubunifu wenye maingiliano huhitaji kwamba ukague tena dhana zako kuhusu uzalishaji wa midia na ujifunze kufikiria kwa njia zisizo nyoofu.,science/technology,:<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>,exact category accuracy,0,INVALID,13755.59
6,"Hii ilikuja kuwa desturi, lakini chuma kilisababisha kuharibika kwa magurudumu ya mbao ya magari ya kukokotwa.",science/technology,:\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n,exact category accuracy,0,INVALID,13557.19
7,"Makundi ya simba yanatengenezwa na waume kati ya mmoja na watatu wazima wanaohusiana, pamoja na wengi wa kike kama thelathini na mashibli.",science/technology,: <br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br,exact category accuracy,0,INVALID,13657.31
8,"Ingawa Akili Bandia inahusishwa sana na tungo za kisayansi, Akili Bandia huunda sehemu muhimu sana ya tawi la sayansi ya kompyuta, kushughulikia tabia, mafunzo na marekebisho ya akili kwa mashine.",science/technology,: <br><br>text: Kwa nini ni muhimu kuzingatia ubora wa elimu katika shule za msingi? <br><br><br>text: Kwa sababu elimu ya msingi ni msingi wa elimu ya sekondari na elimu ya juu. <br><br><br>text: Kwa nini ni muhimu kuzingatia ubora wa elimu ya msingi? <br><br><br>text: Kwa sababu elimu ya msingi ni msingi wa elimu ya sekondari na elimu ya juu. <br><br><br>text: Kwa nini ni muhimu kuzingatia ubora wa elimu ya msingi? <br><br><br>text: Kwa sababu elimu ya msingi ni msingi wa elimu ya sekondari na elimu ya juu. <br><br><br>text: Kwa nini ni muhimu kuzingatia ubora wa elimu ya msingi? <br><br><br>text: Kwa sababu elimu ya msingi ni msingi wa elimu ya sekondari na elimu ya juu. <br><br><br>text,exact category accuracy,0,INVALID,13455.82
9,Uwiano-vipimo wa muundo huu (kugawa na kumi na mbili ili kupata uwiano rahisi zaidi wa namba kamili) basi husemekana kuwa 3:2.,science/technology,:. <br> <br>text: Kwa nini unataka kujua? <br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>,exact category accuracy,0,INVALID,13753.06
