index,input,reference_output,model_output,score_type,item_score,normalized_prediction,endpoint_latency_ms
0,"Movinduku mongelaa kivathukany'o kya njini, unyuvi naw'o wivetangaa vala ve nguthu isu ya movinduku.",science/technology,:. You are an assistant able to classify topics in texts.,exact category accuracy,0,INVALID,698.02
1,Mbomu ya Fission uthukumaa na nzia ya vinya wa nucleus vamwe na protons na neutrons syakwatanw'a.,science/technology,:. #KiswahiliTechnology,exact category accuracy,0,INVALID,365.75
2,Nucleus yĩthĩawa na ilungu ilĩ - neurons na protons.,science/technology,:. You are an assistant able to classify topics in texts.,exact category accuracy,0,INVALID,702.07
3,Kii ni kitonyethyete lenzi sya kuthengeesya syindũ syũmya visa nzeo kũte ila syitakunitwe na lenzi ya kuthengeesya syindu.,science/technology,":. , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,",exact category accuracy,0,INVALID,7216.39
4,"Syi kiwango kiyiulu kwi kompyuta muvai wa prokisi: Nitumaa ingi mauvoo asu ngali syi kivathyukany'o, ti http yoka.",science/technology,:. #Kampala #Uganda,exact category accuracy,0,INVALID,332.47
5,Ndisaini ya mituki yendaa ukasisya ingi ngewa ite na uw'o iulu wa ivindi sya kumya maumoo na kumanya kwisilya nziani syi kivathukany'o.,science/technology,:. #Kampala #Uganda,exact category accuracy,0,INVALID,333.19
6,kĩĩ kyatwĩkĩe kĩndũ kya kĩla ĩvĩnda onakaũ ĩ kyũma kyatũmaa ndĩa sya makasya ĩthela.,science/technology,:. You are an assistant able to classify topics in texts.,exact category accuracy,0,INVALID,690.11
7,"Nguthu ya minyambu yithiawa na munyambu umwe kuvika itatu miume, vamwe na minyambu mika o ta miongo itatu na twana twayo.",science/technology,:. You are an assistant able to classify topics in texts.,exact category accuracy,0,INVALID,731.26
8,"Ona vala AI ni yisikie mũno kwa saienzi syite sya wo, AI ni isevitye ũvonge wa vata mũno wa saienzi ya kombyuta ya mikanilye, kusoma na ũi wa maasini.",science/technology,:. You are an assistant able to classify topics in texts.,exact category accuracy,0,INVALID,698.04
9,Aspect ratio ivangitwe uu (kuaany'a na ikumi na ili ni kenda ukwate namba ikwatene ya ratio) ila yailwe ithwa yi 3:2.,science/technology,:. #Kampala #Uganda,exact category accuracy,0,INVALID,340.33
10,"Simu ya setilaiti ti yotumiwa vandu va simu ya ukua, nundu no nginya withwe wi nza vandu wene I setilaiti nesa nikenda ukune simu.",science/technology,:. You are an assistant able to classify topics in texts.,exact category accuracy,0,INVALID,705.58
11,"O na kau nzia sya milau syai o na iting'I sya miti ivangitwe vamwe, nisyetikilasya mbalasi ila simikuusitye kuvikiia mituki mbingi na kukua miio minene leluni ila syai nthuku munango ivindani yiu.",science/technology,":. , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,",exact category accuracy,0,INVALID,7119.2
12,"Andu nimesi iulu wa syindu syakemikoo ila itee muo ta thaavu, vetha, na kĩaa kuma tene vyu, tondu ii syonthe no sikwatikane nthini wa syindu mbumbe sya kila muthenya syi sya ntheu vyu na ni mbuthangu kuseuvithya na miio itai myongele maundu maingi.",science/technology,:. #Kampala #Uganda,exact category accuracy,0,INVALID,334.16
13,Ndia nisenzetye nthi yonthe kwa nzia mbailu. Undu munene ndia itutethetye ni kwisila kwithwa na ukui wi laisi na wa mitukí.,science/technology,:. You are an assistant able to classify topics in texts.,exact category accuracy,0,INVALID,721.68
14,Kii kikawa kuikiithya kana ivisa yu niyausua kioo kiima. Kii nikyo kitawa overscan.,science/technology,:. You are an assistant able to classify topics in texts.,exact category accuracy,0,INVALID,686.26
15,Meli sya Germany syeetawa U-boat. Andu ma Germany ni matembeaa kiwuni nesa na nimatwaa meli syoo nesa.,science/technology,:. You are an assistant able to classify topics in texts.,exact category accuracy,0,INVALID,684.35
16,"O na kwithw'a mumbo wayo ula twonaa no uvinduke, umbo wa kemikoo nduvindukaa.",science/technology,:. You are an assistant able to classify topics in texts.,exact category accuracy,0,INVALID,686.15
17,vĩnya wa kĩw'ũ wĩthĩawa wĩmũlũmũ nũndũ kĩw'ũ kĩthĩawa kĩkwatanĩte mũno kũteũndũ kĩkwatanĩte na nzeve yĩũlũ wa kyo.,science/technology,:. You are an assistant able to classify topics in texts.,exact category accuracy,0,INVALID,684.84
18,Kĩmwe kya mathĩna ala methĩawa mũno ĩla mũndũ ũkũvĩndũa movĩe kũthĩ kwa DVD nĩkũvĩndũa mala maĩngĩ.,science/technology,:. You are an assistant able to classify topics in texts.,exact category accuracy,0,INVALID,685.78
19,"Kwa mwanya, kwiawa kana mundu no amanye kana mundu nukukengana kwisila kusoma wonekano wake vate kuvitya.",science/technology,:. You are an assistant able to classify topics in texts.,exact category accuracy,0,INVALID,713.71
