index,input,reference_output,model_output,score_type,item_score,normalized_prediction,endpoint_latency_ms
0,"Lokruok mag gik mangima kata mutation medo pogruoge manyien mag chwech kata jenetik, kaeto yiero to gole oko kowuok ei pogruoge moyudi go.",science/technology,":, entertainment, politics",exact category accuracy,0,entertainment,347.28
1,"Bomb mar fision tiyo nii, okaw teko mar keto nyuklia kanyakla, man kod protons gi neutrons mathoth.",science/technology,":, entertainment. Gik ma negi giwegi, giwegi giwegi, giwegi giwegi.",exact category accuracy,0,entertainment,817.09
2,Niuklias oting'o gik moko ariyo- niutrons gi protons.,science/technology,":, en gi piny gi piny. Gik moko ariyo niutrons gi protons.",exact category accuracy,0,INVALID,567.28
3,Mano osemiyo kio mag lens mayuayo gikmoko golo pichni manitiere e rang'iny minyalo mana pim gi mago ma ogol gi lens ma ok yua pichni.,science/technology,":, entertainment, geography",exact category accuracy,0,entertainment,327.12
4,"Gibeyo maloyo proxy mag mbui kaluwore gi yore buora: Gidwoko trafik te mag mbui e yo makare, ok mana http Kende.",science/technology,": te mag mbui kaluwore gi yore buora: Gidwoko trafik te mag mbui e yo makare, ok mana http Kende.",exact category accuracy,0,INVALID,916.15
5,Loso chwech mag tudruok mag mbui duaro ni inonane kendo paro magi kwom chwech mag gig fwambo kod keyo kendo ipuonjri paro e yore mopogore opogore.,science/technology,:. Gik ma itimo e mbui duaro ni inonane kendo paro magi kwom chwech mag gig fwambo kod keyo kendo ipuonjri paro e yore mopogore opogore.,exact category accuracy,0,INVALID,1173.83
6,"Mano nobedo gima koro itiyogo pile, mak mana ni nyinyo go koro ne kelo kethruok ahinya mag tie geche manolosi gi yiende go.",science/technology,":, entertainment. Gima koro itiyogo pile, mak mana ni nyinyo go koro ne kelo kethruok ahinya mag tie geche manolosi gi yiende go.",exact category accuracy,0,entertainment,1139.76
7,"Pride iloso kod sibuor madichwo achiel kata adek ma nikod tudruok, kod sibuoche ma mon manyalo romo piero adek to kod nyithindgi.",science/technology,":, entertainment, geography",exact category accuracy,0,entertainment,343.69
8,"Kata obedo ni AI nitiere kod okiki mag miriambo mag sayans, AI loso bad sayans mar kompyuta mowinjore ahinya, motenore gi timbe, puonjruok to kod lokruok e rieko mar masin.",science/technology,":, entertainment, politics",exact category accuracy,0,entertainment,304.86
9,Tudruok mar kwan e bor gi lach mar picha ma kamagi (pogo gi apar kod ariyo mondo iyud tudruok mar kwan mayot mochung' kende) koro iwacho ni en 3:2.,science/technology,":, entertainment, geography",exact category accuracy,0,entertainment,374.91
10,"Sime matiyo gi satelite oknyal wil kod simb ong'weyamo, nikech nyaka iwuog oko ma imanyri gi lain mar satelite korka igo simu.",science/technology,":, entertainment, geography",exact category accuracy,0,entertainment,330.89
11,"Kata wagonways oting'o mana parallel planks meke mbao, ne giyie faras mond odhirgi mond oyud speed mang'eny kendo oyua e ndara madongo kar e ndara mokak meke ndalogo",science/technology,":, travel, politics, sports, health, entertainment, or geography?",exact category accuracy,0,travel,792.4
12,"Ji ong'eyo kwiri ma ong'ere kaka dhahabu, fedha gi mula kowuok ndalo machon, magi te nyalo yudore e aluora kapod gin kod loo, kendo giyot kunyo kod gige kunyo machon.",science/technology,":, entertainment, geography",exact category accuracy,0,entertainment,330.4
13,"Tielo mawinyore mar mtoka oloko piny ngima eyore mogundho. Maduong' moloyo mosetimo nwa en miyowa yot, kendo wuotho mapiyo.",science/technology,":, travel, entertainment, geography",exact category accuracy,0,travel,440.51
14,Maye olosi mondo okony e neno ni picha omako wang' sikrin tee. Mano iluongo ni overscan.,science/technology,:. Gik ma owinjore gi chik dwaro ni oritre maber.,exact category accuracy,0,INVALID,439.74
15,Sabmarinde mag Jo-Jerman niluongo ni U-Boats. Jo-Jerman ne ber ahinya e riembo kendo e tiyo kod sabmarinde mekgi.,science/technology,":, entertainment, geography",exact category accuracy,0,entertainment,337.61
16,"Kata obedo ni chal mar dende nyalo lokore, chal mage mag kwiri to dong' machalre.",science/technology,":, entertainment. Given the categories science/technology, travel, politics, sports, health, entertainment, or geography; what is the topic of the Luo statement below? Return only the category.",exact category accuracy,0,entertainment,2084.92
17,Gima iluongo ni surface tension timore nikech molekul mag pi manitiere gi e wi pi gimalo omakore motegno gi jowetegi moloyo kaka gimakore gi mag yamo manitiere e wi gi.,science/technology,":, entertainment. Gima iluongo ni surface tension timore nikech molekul mag pi manitiere gi e wi pi gimalo omakore motegno gi jowetegi moloyo kaka gimakore gi mag yamo manitiere e wi gi.",exact category accuracy,0,entertainment,1676.18
18,Achiel kwom chandruoge ma kinde ka kinde sama itemo loko sinema obedi e yor DVD en overscan.,science/technology,:. Gik ma kamago nyalo kelo hinyruok ne ng'ato ang'ata ma nyalo romogo.,exact category accuracy,0,INVALID,680.2
19,"Ahinya ahinya, iwachoni ng'ato nyalo fwenyo ka ng'ato riambo ka iloko kaka otimo suche eyo makare.",science/technology,":, entertainment, geography",exact category accuracy,0,entertainment,344.51
