index,input,reference_output,model_output,score_type,item_score,normalized_prediction,endpoint_latency_ms
0,"""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","""Rĩu twĩna mbĩa cia mĩeri ĩna irarĩ na mũrimũ wa cukari na rĩu itirĩ naguo"" Nake akĩongerera.",".. English sentence: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added. . Kikuyu sentence: . Return only the translated sentence.",sentence ChrF,10.595794941184412,,3517.04
1,"Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","Dagĩtarĩ Ehud Ur, profesa wa dawa cukuru mũnene wa Dalhousie Halifax, Nova Scotia na mũikarĩri gĩtĩ wa rũhonge rwa ũrigitani na ũthuthuria wa gĩkundi kĩa arũaru a mũrimu wa cukari Canada akĩheana mũkana atĩ ũthuthuria no hĩndĩ ũrambĩrĩirie",. Return to the English sentence.,sentence ChrF,3.19400839530646,,593.17
2,"Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","Ota ataalamu acio angĩ, we arĩ na nganja atĩ mũrimũ wa cukari nĩ ũrĩ kĩhonia, na akoona atĩ maumĩrira maya matirĩ na bata harĩ andũ arĩa marĩ na mũrimũ wa cukari mũthemba wa mbere.",. Return only the translated sentence.,sentence ChrF,4.707671777153668,,747.91
3,"On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","Na mũthenya wa mwambĩrĩrio, Danius, mwandĩki mũkaru wa kamĩtĩ ya Nobel ya Literature chukuru wa Swedish, akĩanĩrĩra kameme-inĩ ka Sveriges kũu Sweden atĩ nĩaremirwo nĩ gũkinyĩra Bob Dylan ĩmwe kwa ĩmwe nĩ ũhoro wa ũcindani wa kĩheo kĩa Nobel kĩa wandĩki wa literature kĩa mwaka wa ngiri igĩrĩ na ikũmi na ithathatũ, na nĩatiganĩte na mĩhang'o oyothe ya kũgeria kumukinyira.",. Return only the translated sentence.,sentence ChrF,3.1731453681026425,,762.97
4,"Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","Danius araugire ""Kahinda gaka gũtirĩ ũndũ tũreka. Nĩ jĩtĩte na ngatuma marũa ma rũhuho kũrĩ andũ a hakuhĩ arĩa marutithanagia wĩra nake na nganyita macokio ma ũrata.",.. Return only the translated sentence.,sentence ChrF,5.240565572329122,,802.73
5,"Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","Kahinda kahetũku, mũnene wa Ring, Jamie Siminoff, akiuga kĩganda kĩambĩrĩirie hĩndĩ ĩrĩa ngengere ya mũrango wake ĩtangĩaiguĩkire kuma nduka-ĩnĩ yake",.. English sentence: They have been in the business for years now. . Kikuyu sentence: .,sentence ChrF,8.036843214733672,,1844.84
6,"He built a WiFi door bell, he said.","Nĩathondekete mũtambo wa ngengere ya mũrango-inĩ ĩnyitithanĩtio na WiFi, nake akiuga.",.. English sentence: He said that he has built a WiFi door bell.,sentence ChrF,12.89502943433251,,1412.73
7,Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,"Siminoff akiuga wendia nĩ wongererekete kuma rĩrĩa onekanire tabarĩra-inĩ ya shark Tank, kuma rĩrĩa arũgamĩrĩri maregire kũheana kĩgĩna gĩa kwambĩrĩria biacara.",.. English sentence: They said they wouldn't invest in the startup. . Kikuyu sentence: . Return only the translated sentence.,sentence ChrF,8.52459987434795,,2672.77
8,"In late 2017, Siminoff appeared on shopping television channel QVC.","Mwaka wa 2017 ugĩ thira, Siminoff nionekanire televisheni ya ũgũri QVC.",. Return only the translated sentence.,sentence ChrF,9.67676902944404,,745.2
9,"Ring also settled a lawsuit with competing security company, the ADT Corporation.","Ring nĩacokire akĩnina ciira wa watho na acindani ake a kambũni ya ũgitĩri, ADT.",".. English sentence: Ring also settled a lawsuit with competing security company, the ADT Corporation.",sentence ChrF,15.299317267929027,,2208.51
