index,input,reference_output,model_output,score_type,item_score,normalized_prediction,endpoint_latency_ms
0,"""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","“Oyu twina kavila kena myei 4 kala kate na kwambatwa ni nthakame o kala vau tene kanai na uwau uu wa sukali”, ongelile uu.",". wa kitheo: ""Tuna mice 4-month-old ambayo ni isiyo na sukari ambayo ilikuwa na sukari,"" aliongeza.",sentence ChrF,18.360141058055117,,867.23
1,"Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","Mũsomi ũmwe wa uiiti wĩtawa Dr. Ehud Ur wa Dalhousie University, Halifax, Nova Scotia na munene wa kianda kya sivitali na saienzi ya Canadian Diabetes Association niwaisye kana ukunikili uu uinamba kuthela.",". wa medicine wa Dalhousie University in Halifax, Nova Scotia na mkurugenzi wa division ya clinical and scientific ya Canadian Diabetes Association alionya kwamba utafiti huo bado unaendelea.",sentence ChrF,50.03501264914962,,1706.11
2,"Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","Ta undu umwe na andu mena utuika, e na nzika sya uwau wa sukali kana nouvow'e, aiweta kana maundu aa maina musingi kwa andu ala mena muthemba wa mbee wa sukali.",". wa diabetes, akanza kutia shaka kama diabetes inaweza kutibuka, akisema kwamba matokeo hayana maana kwa watu walio na diabetes ya aina ya kwanza.",sentence ChrF,23.279655791950116,,1075.66
3,"On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","Wakwambĩlĩlya, mwandĩkĩ Sara Danius, wa komitii ya kunengana mithinzio ya maundu ma uandiki, nĩwatangaasiie andũ kwĩsĩla kameme ka Sveriges kana mayaĩ matonya kũmũvikĩa Bob Dylan imwe kwa imwe yĩũlũ wa kũsinda mũthĩnzĩo wa maundu ma uandiki wa 2016, makola ikia vitii wa kũmũvikia.",". wa Nobel Committee kwa Literature kwa Swedish Academy, Sara Danius, alitangaza hadharani kwa redio ya Sveriges Radio ya Sweden kwamba kamati hiyo haikuweza kumfikia Bob Dylan moja kwa moja kuhusu ushindi wake wa Tuzo ya Nobel ya Fasihi.",sentence ChrF,26.59381783956417,,2011.54
4,"Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","Danius aaĩsye, “Oyu vaĩ ũndũ twĩkwĩka. Nĩnakũnĩa siumu na natũma maũtũmanĩ kwa anyanyae make mavakũvĩ na nakwata maũsũngĩo ma kwendeesya. Kwa saa ĩĩ kĩũ nĩ kĩanĩte”.",". wa Danius, ""Tunafanya nini sasa? Nilimpigia simu na kutuma email kwa mshirika wake wa karibu na kupata majibu mazuri sana. Kwa sasa, hilo ni jambo la uhakika.""",sentence ChrF,22.013473280925382,,1129.37
5,"Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","Navu ĩtina, CEO wa Ring, Jamie Siminoff, nĩwaisye kana kĩkũndĩ kĩũ kyambĩĩ ĩe ĩla ngengele ya mũomo wakwe ĩte wyĩkaa kũna ndũkanĩ yake ĩla yĩvala vaseũvĩawa ngalĩ.",". wa Ring's CEO, Jamie Siminoff, alitoa taarifa ya kampuni hiyo wakati mlango wake haukuweza kusikika kutoka kwenye duka lake lililoko kwenye gari.",sentence ChrF,26.25147644014546,,1074.88
6,"He built a WiFi door bell, he said.","Aakie ngengele ya muomoni ya WiFi, aisye uu.",. wa wifi wa mutu wa mutu wa mutu wa mutu wa mutu wa mutu wa mutu wa mutu wa mutu wa mutu wa mutu wa mutu wa mutu wa mutu wa mutu wa mutu wa mutu wa mutu wa mutu wa mutu wa mutu wa mutu wa mutu wa mutu wa mutu wa mutu wa mutu wa mutu wa mutu wa mutu wa mutu wa mutu wa mutu wa mutu wa mutu wa mutu wa mutu wa mutu wa mutu wa mutu wa mutu wa mutu wa mutu wa mutu wa mutu wa mutu wa mutu wa mutu wa mutu wa mutu wa mutu wa mutu wa mutu wa mutu wa mutu wa mutu wa mutu wa mutu wa mutu wa mutu wa mutu wa mutu wa mutu wa mutu wa mutu wa mutu wa mutu wa mutu wa mutu wa mutu wa mutu wa mutu wa mutu wa mutu wa mutu wa mutu wa mutu wa mutu wa mutu wa mutu wa mutu wa mutu wa mutu wa mutu wa,sentence ChrF,1.8950045448622725,,6742.89
7,Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,Siminoff aiye kama kuta kusoovie itina wa kumila nthini wa kivindi kya Shark Tank mwaka wa 2013 vala utongoi wa kivindi waleile kutetheesya mwambililyo.,. wa siminoff uliongezeka baada ya kuonekana kwake katika kipindi cha show ya shark tank ambapo jopo la waandaaji wa kipindi hicho lilikataa kutoa fedha kwa ajili ya kuendeleza mradi wake.,sentence ChrF,27.49974163824617,,1205.9
8,"In late 2017, Siminoff appeared on shopping television channel QVC.","2017 yiithela, Siminoff niyaumilile kwa tiivii channel QVC yiulu wa uthooi.",. wa siminoff ulionekana kwenye televisheni ya masoko ya qvc mwaka wa 2017.,sentence ChrF,22.529132397739193,,656.48
9,"Ring also settled a lawsuit with competing security company, the ADT Corporation.","Ring nunavikiie kumina ikoani na kambuni ila manasindanaa ya useseei wa muuo kwa isyitwa, ADT Corporation.",. wa Ring alienda na kesi ya kisheria na kampuni ya usalama ya ADT Corporation.,sentence ChrF,33.62389289678704,,630.94
