index,input,reference_output,model_output,score_type,item_score,normalized_prediction,endpoint_latency_ms
0,"Movinduku mongelaa kivathukany'o kya njini, unyuvi naw'o wivetangaa vala ve nguthu isu ya movinduku.",science/technology,":. <br><br>text: Kwa kweli, kwa kweli, kwa kweli, kwa kweli, kwa kweli, kwa kweli, kwa kweli, kwa kweli, kwa kweli, kwa kweli, kwa kweli, kwa kweli, kwa kweli, kwa kweli, kwa kweli, kwa kweli, kwa kweli, kwa kweli, kwa kweli, kwa kweli, kwa kweli, kwa kweli, kwa kweli, kwa kweli, kwa kweli, kwa kweli, kwa kweli, kwa kweli, kwa kweli, kwa kweli, kwa kweli, kwa kweli, kwa kweli, kwa kweli, kwa kweli, kwa kweli, kwa kweli, kwa kweli, kwa kweli, kwa kweli, kwa kweli, kwa kweli, kwa kweli, kwa kweli, kwa kweli, kwa kweli, kwa kweli, kwa kweli, kwa kweli, kwa kweli, kwa kweli, kwa kweli, kwa kweli, kwa kweli, kwa kweli, kwa kweli, kwa kweli, kwa kweli, kwa kweli, kwa kweli, kwa kweli, kwa kweli, kwa kweli, kwa kweli, kwa kweli, kwa kweli, kwa kweli, kwa kweli, kwa kweli, kwa kweli, kwa kweli, kwa kweli, kwa kweli, kwa kweli, kwa kweli, kwa kweli, kwa kweli, kwa kweli, kwa kweli, kwa kweli, kwa kweli, kwa",exact category accuracy,0,INVALID,13530.28
1,Mbomu ya Fission uthukumaa na nzia ya vinya wa nucleus vamwe na protons na neutrons syakwatanw'a.,science/technology,:<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>,exact category accuracy,0,INVALID,13511.8
2,Nucleus yĩthĩawa na ilungu ilĩ - neurons na protons.,science/technology,: <br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br,exact category accuracy,0,INVALID,13787.97
3,Kii ni kitonyethyete lenzi sya kuthengeesya syindũ syũmya visa nzeo kũte ila syitakunitwe na lenzi ya kuthengeesya syindu.,science/technology,:<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>,exact category accuracy,0,INVALID,13577.65
4,"Syi kiwango kiyiulu kwi kompyuta muvai wa prokisi: Nitumaa ingi mauvoo asu ngali syi kivathyukany'o, ti http yoka.",science/technology,":health. </br>text: Nitumaa ingi mauvoo asu ngali syi kivathyukany'o, nitumaa ingi mauvoo asu ngali syi kivathyukany'o. </br>category: <br>health</br>.",exact category accuracy,0,health,3772.96
5,Ndisaini ya mituki yendaa ukasisya ingi ngewa ite na uw'o iulu wa ivindi sya kumya maumoo na kumanya kwisilya nziani syi kivathukany'o.,science/technology,:<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>,exact category accuracy,0,INVALID,13754.59
6,kĩĩ kyatwĩkĩe kĩndũ kya kĩla ĩvĩnda onakaũ ĩ kyũma kyatũmaa ndĩa sya makasya ĩthela.,science/technology,:<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>,exact category accuracy,0,INVALID,13500.73
7,"Nguthu ya minyambu yithiawa na munyambu umwe kuvika itatu miume, vamwe na minyambu mika o ta miongo itatu na twana twayo.",science/technology,:<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>,exact category accuracy,0,INVALID,13562.96
8,"Ona vala AI ni yisikie mũno kwa saienzi syite sya wo, AI ni isevitye ũvonge wa vata mũno wa saienzi ya kombyuta ya mikanilye, kusoma na ũi wa maasini.",science/technology,":, <<text: Kwa nini wasambaza kwa njia ya simu? >><<text: Kwa sababu ya kukosekana kwa umeme, tunaweza kutumia simu kupeleka ujumbe kwa watu wengine.>>",exact category accuracy,0,INVALID,2548.86
9,Aspect ratio ivangitwe uu (kuaany'a na ikumi na ili ni kenda ukwate namba ikwatene ya ratio) ila yailwe ithwa yi 3:2.,science/technology,:</b> <b>health</b> </b>,exact category accuracy,0,health,1106.07
