index,input,reference_output,model_output,score_type,item_score,normalized_prediction,endpoint_latency_ms
0,"Mabadiliko huongeza tofauti za kimaumbile, na uchaguzi huyaondoa katika mkusanyiko wa tofauti zilizoonyeshwa.",science/technology,:. You are an assistant able to classify topics in texts.,exact category accuracy,0,INVALID,725.83
1,Bomu hii gawanyiki hufanya kazi kwa kanuni kwamba nguvu huhitajika katika uundaji wa viini vyenye protoni na nutroni nyingi.,science/technology,:. You are an assistant able to classify topics in texts.,exact category accuracy,0,INVALID,701.1
2,Nyuklia ina chembe mbili - nyutroni na protoni.,science/technology,:. You are an assistant able to classify topics in texts.,exact category accuracy,0,INVALID,697.38
3,Hii imewezesha lenzi za kukuza kutoa picha zenye ubora unaoweza kulinganishwa na ule unaofikiwa na lenzi zenye urefu msingi usiobadilika.,science/technology,:. #MWisho wa Uandishi wa Habari,exact category accuracy,0,INVALID,345.26
4,"Ni bora kuliko wakala wa tovuti kwa sababu kadhaa: Huelekeza upya trafiki yote ya intaneti, si http pekee.",science/technology,:. You are an assistant able to classify topics in texts.,exact category accuracy,0,INVALID,685.95
5,Ubunifu wenye maingiliano huhitaji kwamba ukague tena dhana zako kuhusu uzalishaji wa midia na ujifunze kufikiria kwa njia zisizo nyoofu.,science/technology,:. You are an assistant able to classify topics in texts.,exact category accuracy,0,INVALID,685.31
6,"Hii ilikuja kuwa desturi, lakini chuma kilisababisha kuharibika kwa magurudumu ya mbao ya magari ya kukokotwa.",science/technology,:. You are an assistant able to classify topics in texts.,exact category accuracy,0,INVALID,693.53
7,"Makundi ya simba yanatengenezwa na waume kati ya mmoja na watatu wazima wanaohusiana, pamoja na wengi wa kike kama thelathini na mashibli.",science/technology,:. You are an assistant able to classify topics in texts.,exact category accuracy,0,INVALID,685.97
8,"Ingawa Akili Bandia inahusishwa sana na tungo za kisayansi, Akili Bandia huunda sehemu muhimu sana ya tawi la sayansi ya kompyuta, kushughulikia tabia, mafunzo na marekebisho ya akili kwa mashine.",science/technology,:. You are an assistant able to classify topics in texts.,exact category accuracy,0,INVALID,687.68
9,Uwiano-vipimo wa muundo huu (kugawa na kumi na mbili ili kupata uwiano rahisi zaidi wa namba kamili) basi husemekana kuwa 3:2.,science/technology,:. #ClassifyTexts,exact category accuracy,0,INVALID,379.56
10,"Simu ya satelaiti sio kwa ujumla mbadala wa simu ya rununu, kwani lazima uwe nje wazi na kuona laini za satelaiti ili kupiga simu.",science/technology,:. You are an assistant able to classify topics in texts.,exact category accuracy,0,INVALID,688.53
11,"Ingawa njia za magari zilisheheni magogo sambamba ya miti, zilihuruhusu farasi kuzivuta kwa kasi zaidi na kuvuta mizigo mikubwa kiasi kwa barabara mbaya za siku.",science/technology,:. You are an assistant able to classify topics in texts.,exact category accuracy,0,INVALID,691.15
12,"Watu wameshajua kuhusu elementi za kimsingi za kemikali kama vile dhahabu, fedha, na shaba kutoka zamani, kwani hizi zote zinaweza kugunduliwa kwa maumbile katika hali ya asili na ni rahisi kuchimbuliwa kwa kutumia zana za zamani.",science/technology,:. You are an assistant able to classify topics in texts.,exact category accuracy,0,INVALID,689.94
13,Gurudumu limebadilisha dunia kwa njia za ajabu. Jambo kubwa zaidi ambalo gurudumu limetufanyia ni kutupatia uchukuzi rahisi na wa haraka.,science/technology,:. You are an assistant able to classify topics in texts.,exact category accuracy,0,INVALID,690.45
14,Hii hufanywa ili kuhakikisha picha inafunika skrini yote. Hiyo inaitwa kuskani kulikokithiri.,science/technology,:. You are an assistant able to classify topics in texts.,exact category accuracy,0,INVALID,679.81
15,Manowari za Ujerumani ziliitwa nyambizi. Wajerumani walikuwa wazuri sana kwa kuabiri na kuendesha manowari zao.,science/technology,:. You are an assistant able to classify topics in texts.,exact category accuracy,0,INVALID,680.41
16,"Ingawa hali yake ya mwili inaweza kubadilika, hali yake ya kikemikali inabaki ile ile.",science/technology,:. You are an assistant able to classify topics in texts.,exact category accuracy,0,INVALID,678.27
17,Nguvu za mvuto kwenye sura hutokea kwa sababu molekyuli za maji katika sura ya maji huvutana kwa nguvu zenyewe kwa zenyewe kuliko jinsi zinavyovutwa na molekyuli za hewa zilizo juu yake.,science/technology,:. You are an assistant able to classify topics in texts.,exact category accuracy,0,INVALID,679.07
18,Shida moja ya kawaida wakati wa kujaribu kubadilisha sinema kwenda kwa muundo wa DVD ni kuskani zaidi.,science/technology,:. You are an assistant able to classify topics in texts.,exact category accuracy,0,INVALID,703.22
19,"Hususan, inadaiwa kuwa mtu anaweza kutambua ikiwa mtu anadanganya kwa kufasiri ishara ndogondogo kwa njia sahihi.",science/technology,:. You are an assistant able to classify topics in texts.,exact category accuracy,0,INVALID,685.59
