index,input,reference_output,model_output,score_type,item_score,normalized_prediction,endpoint_latency_ms
0,"""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","""Sasa tuna panya wenye umri wa miezi minne ambao hawana kisukari ambao awali walikuwa na kisukari"", aliongeza.",".mba: ""Ni kweli, sasa tuna mice 4-monaths iliyokuwa haijapata ugonjwa wa sukari, lakini ilikuwa na ugonjwa wa sukari kabla ya hapo,"" aliongeza.",sentence ChrF,37.68959583434269,,1171.21
1,"Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","Dak. Ehud Ur, profesa wa udaktari katika chuo kikuu cha Dalhousie kule Halifix, Nova Scotia na mwenyekiti wa kitengo cha kliniki na kisayansi kwenye ushirika wa ugonjwa wa kisukari nchini Canada alionya kuwa utafiti bado uko kwenye siku za mapema.",".mbamba, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni kweli, ni",sentence ChrF,6.335296108701133,,7183.83
2,"Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","Kama wataalam wengine, ana shaka kuhusu kama ugonjwa wa kisukari unaweza kutibiwa, akagundua kuwa matokeo haya hayana umuhimu kwa watu ambao tayari wana ugojwa wa kisukari wa aina 1.",".mbamba: , Nambamba: , Nambamba: , Nambamba: , Nambamba: , Nambamba: , Nambamba: , Nambamba: , Nambamba: , Nambamba: , Nambamba: , Nambamba: , Nambamba: , Nambamba: , Nambamba: , Nambamba: , Nambamba: , Nambamba: , Nambamba: , Nambamba: , Nambamba: , Nambamba: , Nambamba: , Nambamba: , Nambamba: , Nambamba: , Nambamba: , Nambamba: , Nambamba: , Nambamba: , Nambamba: , Nambamba: , Nambamba: , Nambamba: , Nambamba: , Nambamba: , Nambamba: , Nambamba: , Nambamba: , Nambamba: , Nambamba: , Nambamba: , Nambamba:",sentence ChrF,5.11396040119281,,7183.11
3,"On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","Mnamo Jumatatu, Sara Danius, katibu wa kudumu wa Kamati ya Nobel ya Fasihi katika Chuo cha Uswidi, alitangaza hadharani wakati wa kipindi cha redio kwenye Sveriges Radio katika Uswidi kwamba kamati hiyo, kwa kutoweza kumfikia Bob Dylan moja kwa moja kuhusu ushindi wa Tuzo la Nobel la Fasihi 2016, iliacha juhudi zake za kujaribu kumfikia.",".mbamba, Sara Danius, mkurugenzi wa kudumu wa kamati ya Nobel ya uandishi wa vitabu katika chuo kikuu cha Sweden, alitangaza hadharani katika kipindi cha radio cha Sveriges Radio nchini Sweden kwamba kamati hiyo haikuweza kuwasiliana na Bob Dylan moja kwa moja kuhusu ushindi wa Nobel wa mwaka wa katika uandishi wa vitabu, hivyo kamati hiyo ilitoa jitihada zake za kuwasiliana naye.",sentence ChrF,56.87949989106617,,2744.27
4,"Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","Danius alisema, ""Sasa hivi hatufanyi chochote. Nimepiga simu na kutuma barua pepe kwa mshirika wake wa karibu na kupata majibu ya kirafiki sana. Kwa sasa, hakika hiyo imetosha.""",".mbamba: , ""Nimejaribu kumpigia simu na kumtumia email lakini bado hajajibu. Kwa sasa hatujafanya chochote. Ni lazima tusubiri kwa muda.""",sentence ChrF,32.11654480198342,,1091.19
5,"Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","Hapo awali, Mkurugenzi Mtendaji wa Ring, Jamie Siminoff, alitamka kampuni hiyo ilianza wakati kengele yake ya mlangoni haikuwa inasikika katika duka lake kwenye karakana yake.",".mbamba, Jamie Siminoff, alikumbusha kwamba kampuni hiyo ilianza wakati wa mlango wake haukusikia kutoka kwa duka lake katika geti lake.",sentence ChrF,46.04780366216345,,1046.34
6,"He built a WiFi door bell, he said.","Aliunda kengele ya mlango ya Wi-Fi, alisema.",.mbari: . Return only the translated sentence.,sentence ChrF,10.463087194722634,,534.54
7,Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,Siminoff alisema mauzo yaliongezeka baada ya yeye kuonekana katika kipindi cha Shark Tank mnamo 2013 ambapo paneli ya onyesho hilo ilikataa kufadhili biashara hiyo mpya.,.mbari: . Nambari: .,sentence ChrF,2.9469308807085364,,337.24
8,"In late 2017, Siminoff appeared on shopping television channel QVC.","Baadaye 2017, Siminoff alionekana katika chaneli ya ununuzi ya televisheni QVC.",".mbamba, Siminoff alionekana kwenye televisheni ya kununua bidhaa ya QVC.",sentence ChrF,51.98551531292157,,614.01
9,"Ring also settled a lawsuit with competing security company, the ADT Corporation.","Ring pia alitatua mashtaka ya kampuni pinzani ya usalama, Shirika la ADT.",.mbamba. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,sentence ChrF,1.311796981445691,,7157.35
