index,input,reference_output,model_output,score_type,item_score,normalized_prediction,endpoint_latency_ms
0,"Lokruok mag gik mangima kata mutation medo pogruoge manyien mag chwech kata jenetik, kaeto yiero to gole oko kowuok ei pogruoge moyudi go.",science/technology,:<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>,exact category accuracy,0,INVALID,13376.54
1,"Bomb mar fision tiyo nii, okaw teko mar keto nyuklia kanyakla, man kod protons gi neutrons mathoth.",science/technology,":, <br> <br>",exact category accuracy,0,INVALID,665.91
2,Niuklias oting'o gik moko ariyo- niutrons gi protons.,science/technology,: <br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br,exact category accuracy,0,INVALID,13571.06
3,Mano osemiyo kio mag lens mayuayo gikmoko golo pichni manitiere e rang'iny minyalo mana pim gi mago ma ogol gi lens ma ok yua pichni.,science/technology,: <br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br,exact category accuracy,0,INVALID,13446.42
4,"Gibeyo maloyo proxy mag mbui kaluwore gi yore buora: Gidwoko trafik te mag mbui e yo makare, ok mana http Kende.",science/technology,":, <br> <br>text: Ot ma gibedo gi buchgi gi buchgi gi buchgi gi buchgi gi buchgi gi buchgi gi buchgi gi buchgi gi buchgi gi buchgi gi buchgi gi buchgi gi buchgi gi buchgi gi buchgi gi buchgi gi buchgi gi buchgi gi buchgi gi buchgi gi buchgi gi buchgi gi buchgi gi buchgi gi buchgi gi buchgi gi buchgi gi buchgi gi buchgi gi buchgi gi buchgi gi buchgi gi buchgi gi buchgi gi buchgi gi buchgi gi buchgi gi buchgi gi buchgi gi buchgi gi buchgi gi buchgi gi buchgi gi buchgi gi buchgi gi buchgi gi buchgi gi buchgi gi buchgi gi buchgi gi buchgi gi buchgi gi buchgi gi buchgi gi buchgi gi buchgi gi buchgi gi buchgi gi buchgi gi bu",exact category accuracy,0,INVALID,13561.12
5,Loso chwech mag tudruok mag mbui duaro ni inonane kendo paro magi kwom chwech mag gig fwambo kod keyo kendo ipuonjri paro e yore mopogore opogore.,science/technology,: <br><br><br>,exact category accuracy,0,INVALID,756.28
6,"Mano nobedo gima koro itiyogo pile, mak mana ni nyinyo go koro ne kelo kethruok ahinya mag tie geche manolosi gi yiende go.",science/technology,:<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>,exact category accuracy,0,INVALID,13488.92
7,"Pride iloso kod sibuor madichwo achiel kata adek ma nikod tudruok, kod sibuoche ma mon manyalo romo piero adek to kod nyithindgi.",science/technology,: <br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br,exact category accuracy,0,INVALID,13558.89
8,"Kata obedo ni AI nitiere kod okiki mag miriambo mag sayans, AI loso bad sayans mar kompyuta mowinjore ahinya, motenore gi timbe, puonjruok to kod lokruok e rieko mar masin.",science/technology,":, <<text: Osebedo ka okiki mag miriambo mag sayans, AI loso bad sayans mar kompyuta mowinjore ahinya, motenore gi timbe, puonjruok to kod lokruok e riko mar masin. >>, <<text: Kata obedo ni AI loso bad sayans mar kompyuta mowinjore ahinya, motenore gi timbe, puonjruok to kod lokruok e riko mar masin. >>, <<text: Kata obedo ni AI loso bad sayans mar kompyuta mowinjore ahinya, motenore gi timbe, puonjruok to kod lokruok e riko mar masin. >>, <<text: Kata obedo ni AI loso bad sayans mar kompyuta mowinjore ahinya, motenore gi timbe, puonjruok to kod lokruok e riko mar masin. >>, <<text: Kata obedo ni AI loso bad sayans mar kompyuta mowinjore ahinya, motenore gi timbe, puonjruok to kod lokruok e riko mar masin. >>, <<text: Kata obedo ni AI loso ba",exact category accuracy,0,INVALID,13659.84
9,Tudruok mar kwan e bor gi lach mar picha ma kamagi (pogo gi apar kod ariyo mondo iyud tudruok mar kwan mayot mochung' kende) koro iwacho ni en 3:2.,science/technology,":<br><br>text: Ot, e bor gi lach mar picha ma kamagi (pogo gi apar kod ariyo mondo iyud tudruok mar kwan mayot mochung' kende) koro iwacho ni en3:2. <br><br>text: Ot, e bor gi lach mar picha ma kamagi (pogo gi apar kod ariyo mondo iyud tudruok mar kwan mayot mochung' kende) koro iwacho ni en3:2.<br><br>text: Ot, e bor gi lach mar picha ma kamagi (pogo gi apar kod ariyo mondo iyud tudruok mar kwan mayot mochung' kende) koro iwacho ni en3:2.<br><br>text: Ot, e bor gi lach mar picha ma kamagi (pogo gi apar kod ariyo mondo iyud tudruok mar kwan mayot mochung' kende) koro iwacho ni en3:2.<br><br>text: Ot, e bor gi lach mar picha ma kamagi (pogo gi apar kod ariyo mondo iyud tu",exact category accuracy,0,INVALID,13761.08
10,"Sime matiyo gi satelite oknyal wil kod simb ong'weyamo, nikech nyaka iwuog oko ma imanyri gi lain mar satelite korka igo simu.",science/technology,": <br><br>text: Oko ma imanyri gi lain mar satelite korka igo simu, <br><br><br><br>text: Oko ma imanyri gi lain mar satelite korka igo simu, <br><br><br><br>text: Oko ma imanyri gi lain mar satelite korka igo simu, <br><br><br><br>text: Oko ma imanyri gi lain mar satelite korka igo simu, <br><br><br><br>text: Oko ma imanyri gi lain mar satelite korka igo simu, <br><br><br><br>text: Oko ma imanyri gi lain mar satelite korka igo simu, <br><br><br><br>text: Oko ma imanyri gi lain mar satelite korka igo",exact category accuracy,0,INVALID,13475.91
11,"Kata wagonways oting'o mana parallel planks meke mbao, ne giyie faras mond odhirgi mond oyud speed mang'eny kendo oyua e ndara madongo kar e ndara mokak meke ndalogo",science/technology,": <br><br>text: Oting'o mana parallel planks meke mbao, ne giyie faras mond odhirgi mond oyud speed mang'eny kendo oyua e ndara mokak meke ndalogo <br><br><br>text: Kata wagonways oting'o mana parallel planks meke mbao, ne giyie faras mond odhirgi mond oyud speed mang'eny kendo oyua e ndara mokak meke ndalogo <br><br><br>text: Kata wagonways oting'o mana parallel planks meke mbao, ne giyie faras mond odhirgi mond oyud speed mang'eny kendo oyua e ndara mokak meke ndalogo <br><br><br>text: Kata wagonways oting'o mana parallel planks meke mbao, ne giyie faras mond odhirgi mond oyud speed",exact category accuracy,0,INVALID,13576.99
12,"Ji ong'eyo kwiri ma ong'ere kaka dhahabu, fedha gi mula kowuok ndalo machon, magi te nyalo yudore e aluora kapod gin kod loo, kendo giyot kunyo kod gige kunyo machon.",science/technology,":, <<text: Osewe, osewe, osewe, osewe, osewe, osewe, osewe, osewe, osewe, osewe, osewe, osewe, osewe, osewe, osewe, osewe, osewe, osewe, osewe, osewe, osewe, osewe, osewe, osewe, osewe, osewe, osewe, osewe, osewe, osewe, osewe, osewe, osewe, osewe, osewe, osewe, osewe, osewe, osewe, osewe, osewe, osewe, osewe, osewe, osewe, osewe, osewe, osewe, osewe, osewe, osewe, osewe, osewe, osewe, osewe, osewe, osewe, osewe, osewe, osewe, osewe, osewe, ose",exact category accuracy,0,INVALID,13639.8
13,"Tielo mawinyore mar mtoka oloko piny ngima eyore mogundho. Maduong' moloyo mosetimo nwa en miyowa yot, kendo wuotho mapiyo.",science/technology,: <br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br,exact category accuracy,0,INVALID,13467.32
14,Maye olosi mondo okony e neno ni picha omako wang' sikrin tee. Mano iluongo ni overscan.,science/technology,: <br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br,exact category accuracy,0,INVALID,13456.56
15,Sabmarinde mag Jo-Jerman niluongo ni U-Boats. Jo-Jerman ne ber ahinya e riembo kendo e tiyo kod sabmarinde mekgi.,science/technology,": <br><br>text: Ot, ot, ot! Ot, ot, ot! Ot, ot, ot! Ot, ot, ot!",exact category accuracy,0,INVALID,2091.24
16,"Kata obedo ni chal mar dende nyalo lokore, chal mage mag kwiri to dong' machalre.",science/technology,: <br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br,exact category accuracy,0,INVALID,13524.2
17,Gima iluongo ni surface tension timore nikech molekul mag pi manitiere gi e wi pi gimalo omakore motegno gi jowetegi moloyo kaka gimakore gi mag yamo manitiere e wi gi.,science/technology,:. <br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><b,exact category accuracy,0,INVALID,13594.26
18,Achiel kwom chandruoge ma kinde ka kinde sama itemo loko sinema obedi e yor DVD en overscan.,science/technology,:. <br><br>,exact category accuracy,0,INVALID,638.85
19,"Ahinya ahinya, iwachoni ng'ato nyalo fwenyo ka ng'ato riambo ka iloko kaka otimo suche eyo makare.",science/technology,: <br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br,exact category accuracy,0,INVALID,13583.38
