index,input,reference_output,model_output,score_type,item_score,normalized_prediction,endpoint_latency_ms
0,"""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","“Oyu twina kavila kena myei 4 kala kate na kwambatwa ni nthakame o kala vau tene kanai na uwau uu wa sukali”, ongelile uu.",". wa miceni wa mwaka wa nne wa kukua kwa miceni yasiyo na sukari ambayo yalikuwa na sukari, aliongeza.",sentence ChrF,22.04307876287589,,910.18
1,"Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","Mũsomi ũmwe wa uiiti wĩtawa Dr. Ehud Ur wa Dalhousie University, Halifax, Nova Scotia na munene wa kianda kya sivitali na saienzi ya Canadian Diabetes Association niwaisye kana ukunikili uu uinamba kuthela.",". wa medicine kwa University ya Dalhousie ya Halifax, Nova Scotia na mwenyekiti wa division ya clinical na scientific ya Canadian Diabetes Association alionya kwamba utafiti bado ni siku zake za mwanzo.",sentence ChrF,48.53601091442869,,1943.31
2,"Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","Ta undu umwe na andu mena utuika, e na nzika sya uwau wa sukali kana nouvow'e, aiweta kana maundu aa maina musingi kwa andu ala mena muthemba wa mbee wa sukali.",". wa madaktari, ana shaka kama diabetes inaweza kutibuka, akisema kwamba matokeo hayana maana kwa watu walio na diabetes ya Type 1.",sentence ChrF,21.92968799426451,,1037.35
3,"On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","Wakwambĩlĩlya, mwandĩkĩ Sara Danius, wa komitii ya kunengana mithinzio ya maundu ma uandiki, nĩwatangaasiie andũ kwĩsĩla kameme ka Sveriges kana mayaĩ matonya kũmũvikĩa Bob Dylan imwe kwa imwe yĩũlũ wa kũsinda mũthĩnzĩo wa maundu ma uandiki wa 2016, makola ikia vitii wa kũmũvikia.",". wa Nobel Committee for Literature at the Swedish Academy, Sara Danius, alitangaza hadharani katika kipindi cha redio cha Sveriges Radio nchini Sweden kwamba kamati hiyo haikuweza kumfikia Bob Dylan moja kwa moja kuhusu ushindi wake wa Tuzo ya Nobel ya mwaka wa.",sentence ChrF,27.108999668915796,,2231.97
4,"Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","Danius aaĩsye, “Oyu vaĩ ũndũ twĩkwĩka. Nĩnakũnĩa siumu na natũma maũtũmanĩ kwa anyanyae make mavakũvĩ na nakwata maũsũngĩo ma kwendeesya. Kwa saa ĩĩ kĩũ nĩ kĩanĩte”.",. kwa mlango wa nyumba yangu. Niko naomba nikupe pesa za kununua mbegu za mahindi.,sentence ChrF,10.51933271966137,,628.77
5,"Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","Navu ĩtina, CEO wa Ring, Jamie Siminoff, nĩwaisye kana kĩkũndĩ kĩũ kyambĩĩ ĩe ĩla ngengele ya mũomo wakwe ĩte wyĩkaa kũna ndũkanĩ yake ĩla yĩvala vaseũvĩawa ngalĩ.","., Jamie Siminoff, aliremark kwamba kampuni yake ilianza wakati mlango wake haukuweza kusikika kutoka kwenye duka lake ndani ya gari lake.",sentence ChrF,25.378912838834765,,1054.12
6,"He built a WiFi door bell, he said.","Aakie ngengele ya muomoni ya WiFi, aisye uu.",". wifi door bell, akasema.",sentence ChrF,8.868144315300357,,345.02
7,Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,Siminoff aiye kama kuta kusoovie itina wa kumila nthini wa kivindi kya Shark Tank mwaka wa 2013 vala utongoi wa kivindi waleile kutetheesya mwambililyo.,. kwa sababu ya kuonekana kwake kwenye kipindi cha Shark Tank mwaka wa 2013 ambapo jopo la watangazaji wa kipindi hicho walikataa kutoa fedha kwa kampuni hiyo.,sentence ChrF,34.01133585175266,,1054.21
8,"In late 2017, Siminoff appeared on shopping television channel QVC.","2017 yiithela, Siminoff niyaumilile kwa tiivii channel QVC yiulu wa uthooi.",". kwa mwaka wa 2017, Siminoff alionekana kwenye televisheni ya kuuza bidhaa ya QVC.",sentence ChrF,27.2395123943133,,736.95
9,"Ring also settled a lawsuit with competing security company, the ADT Corporation.","Ring nunavikiie kumina ikoani na kambuni ila manasindanaa ya useseei wa muuo kwa isyitwa, ADT Corporation.",. na ADT Corporation. .,sentence ChrF,17.48584168354695,,344.16
