index,input,reference_output,model_output,score_type,item_score,normalized_prediction,endpoint_latency_ms
0,"""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.",“Koro wantiere kod oyiechni ma jo dweche ang'wen mane nitiere kod tuo sukari to koro sani gionge kod tuo no.”,. ni e piny ma udi ma ok ler kendo ma onge gi ng'ama diher mondo odagie.,sentence ChrF,14.699402837133446,,656.29
1,"Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","Laktar Ehud Ur, ngire mar weche thieth e Mbalariany mar Dalhousie ei Halifax, Nova Scottia, kendo jakom mar migao mar klinik kod sayans mar Riwruok mar Tuo sukari ma Kanada nochiwo siem ni nonro no pod nitiere e kindege mag chakruok.",. e dhoot ma Dalhousie University e Halfax Nova Scotia kod chair mar clinical gi scientific division mar Canadian Diabetes Association ne oyawo ne jopiny ni research margi e wi tuo mar diabetes ni e kinde masira maduong',sentence ChrF,26.74771756159672,,2244.68
2,"Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","Kaka jomolony moko, en gi chichi koda tuo sukari inyalo thiedhi, kobedo kod ng'eyo, ni nonrogi onge gima medo ne jii man kod tuo sukari mokwongo.",. ni ere kaka jodongo nyalo konyo jochan.,sentence ChrF,12.271045015553703,,328.34
3,"On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","Chieng' Wuoktich, Sara Danius, jagoro ma tene mar Nobel Committee for Literature manitiere ei Swedish Academy, nolando e lela e kinde mane entiere e chenro moro mar nyakalondo mar Sveriges Radio ei Sweden ni komiti, ka ne nyalo mar chopo ir Bob Dylan mondo gikone kwom loch mare mar Nobel Prize ma 2016 mar weche Ndiko Buge otamogi, ne gijok gi kinda mar manye.",. ni joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma joluo ma,sentence ChrF,5.9637310003603226,,7005.14
4,"Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","Danius ne owacho ni, “gi e sechegi onge gima watimo. Asegoyo simu kendo aseoro barupe mag e-mail ne jal ma otiyo go machiegni kendo aseyudo duoko mamuol ahinya. Gi sani, mago oromo aroma”.",". ni ere kaka ng'at mariek timo. Okollo: ""Ok, ng'at mariek timo. Okollo: ""Ok, ng'at mariek timo. Okollo: ""Ok, ng'at mariek timo. Okollo: ""Ok, ng'at mariek timo. Okollo: ""Ok, ng'at mariek timo. Okollo: ""Ok, ng'at mariek timo. Okollo: ""Ok, ng'at mariek timo. Okollo: ""Ok, ng'at mariek timo. Okollo: ""Ok, ng'at mariek timo. Okollo: ""Ok, ng'at mariek timo. Okollo: ""Ok, ng'at mariek timo. Okollo: ""Ok, ng'at mariek timo. Okollo: ""Ok, ng'at mariek timo. Okollo: ""Ok, ng'at mariek timo. Okollo: ""Ok, ng'at mariek timo. Okollo:",sentence ChrF,11.707439603087948,,6978.22
5,"Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","Motelo, CEO mar Ring, Jamie Siminoff, nowacho ni kambino nochakore ka okotne mar thigo ne okwinjre gi ei dukane manenitiere er garaj ne.","., Jamie Siminoff, oromo gi tichne, ka gi tichne, ka gi tichne, ka gi tichne, ka gi tichne, ka gi tichne, ka gi tichne, ka gi tichne, ka gi tichne, ka gi tichne, ka gi tichne, ka gi tichne, ka gi tichne, ka gi tichne, ka gi tichne, ka gi tichne, ka gi tichne, ka gi tichne, ka gi tichne, ka gi tichne, ka gi tichne, ka gi tichne, ka gi tichne, ka gi tichne, ka gi tichne, ka gi tichne, ka gi tichne, ka gi tichne, ka gi tichne, ka gi tichne, ka gi tichne, ka gi tichne, ka gi tichne, ka gi tichne, ka gi tichne, ka gi tichne, ka gi tichne, ka gi tichne, ka gi tichne, ka gi tichne, ka gi tichne, ka gi tichne, ka gi tichne, ka gi tichne, ka gi tichne, ka gi tichne, ka gi tichne, ka gi tichne, ka gi tichne, ka gi",sentence ChrF,13.092165797473553,,6988.92
6,"He built a WiFi door bell, he said.","Noloso olang' mar dhoot matiyo gi WiFi, ne owacho.",". wifi door bell, odhiambo.",sentence ChrF,9.197539410961884,,324.84
7,Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,Siminoff nowacho ni nyiepo nomedore tok chopo mare e sula moro achiel e chenro mar Shark Tank e higa mar 2013 kama ne jotelo mag chenrono mar wang' jowi notamore chiwo kony mar omenda ne tijeno.,. ni ere kaka siminoff ne owacho ni sales boosted after his 2013 appearance in a shark tank episode where the show panel declined funding the startup.,sentence ChrF,22.07162701311836,,1608.89
8,"In late 2017, Siminoff appeared on shopping television channel QVC.","E giko mag hik 2017, Siminoff ne one e wang' jowi mar nyiewo mwandu mar QVC.",. mar siminoff ne ochako e TV shopping channel mar qvc e higa mar.,sentence ChrF,23.8325216946199,,653.38
9,"Ring also settled a lawsuit with competing security company, the ADT Corporation.","Kambi mar Ring bende nosetieko yuaruok mane gin godo gi kambi ma gipiemgo, ma en ADT Corporation.",". gi ADT Corporation.,",sentence ChrF,19.838358797617666,,300.77
10,"While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.","E seche ma yath manie tem nenore ni nikod nyalo mar dwoko thoye mag Ebola chien, nyaka gi e sechegi, onge yath mosenyiso ni emaber mar thiedho tuo no.",. ebola ma oromo ebola ma oromo.,sentence ChrF,6.024495421326144,,383.4
11,"One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death.","Achiel kwom kwriri mageng'o tuo e del, ZMapp, mokwongo ne nenore ka gima nonyalo konyo ahinya, mak mana ni nonro mag josomo wacho ni en kod ber manok ahinya e geng'o thoye.","., ZMapp, ne omedo ni ne ok ochulo ne ng'ato ka ng'ato kar dakne.",sentence ChrF,14.449867475004643,,763.18
12,"In the PALM trial, ZMapp served as a control, meaning scientists used it as a baseline and compared the three other treatments to it.","E tem mar PALM, Zmapp ne otiyo kaka sigingi, manyiso ni jo sayans ne otiyo kode kaka gir chakruok kendo ne gipimo element mamoko adek go kode.",". ni PALM trial, ZMapp noyudo ni control, ma en ng'at ma scientists noyudo ni baseline, to ng'at ma gi noyudo ni meaning.",sentence ChrF,18.584740013844225,,1389.44
13,USA Gymnastics supports the United States Olympic Committee's letter and accepts the absolute need of the Olympic family to promote a safe environment for all of our athletes.,"Jotugo mag Gymnastics epiny USA oyie kod barup kamiti United States matayo Olympic, kendo giyie dwaro mar jok matayo Olympic mond okel aluora maber ne jong'wech te.",. mar United States Olympic Committee's letter kod okang' ma ne gikawo mar loso winjruok gi jolony e Olympics ne okonya ng'eyo ni ne owinjore gitim kamano.,sentence ChrF,29.750896099842393,,1500.07
14,"We agree with the USOC's statement that the interests of our athletes and clubs, and their sport, may be better served by moving forward with meaningful change within our organization, rather than decertification.","Wayie kod wach mar jo USOC mar ni dwach jotuk ng'wech mekwa gi kilabu mekgi, kaachiel kod tukegi, nyalo dhi nyime e yo malong'o ka watimo lokruoge mowinjore e riwruok wa, kar mayogi barupegi mag tugo.",. gi joodi gi joodgi gi joodi gi joodgi gi joodi gi joodgi gi joodi gi joodgi gi joodi gi joodgi gi joodi gi joodgi gi joodi gi joodgi gi joodi gi joodgi gi joodi gi joodgi gi joodi gi joodgi gi joodi gi joodgi gi joodi gi joodgi gi joodi gi joodgi gi joodi gi joodgi gi joodi gi joodgi gi joodi gi joodgi gi joodi gi joodgi gi joodi gi joodgi gi joodi gi joodgi gi joodi gi joodgi gi joodi gi joodgi gi joodi gi joodgi gi joodi gi joodgi gi joodi gi joodgi gi joodi gi joodgi gi joodi gi joodgi gi joodi gi joodgi gi joodi gi joodgi gi joodi gi joodgi gi joodi gi joodgi gi joodi gi joodgi gi joodi gi joodgi,sentence ChrF,4.312624196646403,,6988.03
15,USA Gymnastics supports an independent investigation that may shine light on how abuse of the proportion described so courageously by the survivors of Larry Nassar could have gone undetected for so long and embraces any necessary and appropriate changes.,"Jotug gimnastiks ma USA oyie kod jotim nonro mang'iyo kaka bembo notimre, kaluwore kaka jomanotimnegi wacho, kendo tim nonro yudo kaka Larry Nassar nenyalo timo timni ndalo gi duto, kendo giyie gi paro kod lokruok manyalo bedo maber.",. mar USA Gymnastics ochako osuru mar timo nonro e wi wachno mamiyo jii bedo gi paro mowinjore kuom wachno.,sentence ChrF,17.014685477108102,,988.68
16,"USA Gymnastics and the USOC have the same goal — making the sport of gymnastics, and others, as safe as possible for athletes to follow their dreams in a safe, positive and empowered environment.","USA Gymnastics kod USOC nikod duaro achiel - loso tuke mag ting'o chumbe mapek, kod mamoko, obed malong'o kaka nyalore ne jotuke mondo giluu lek mekgi e yo makare, mowinjore to kod aluora ma nikod teko mogundho.",. ni erokamano kuom jok ma odak e piny ngima.,sentence ChrF,7.273639025823108,,383.41
17,"Throughout 1960s, Brzezinski worked for John F. Kennedy as his advisor and then the Lyndon B. Johnson administration.","E higni duto mag 1960, Brzezinski notiyo ne John F. Kennedy kaka ja ng'ad rieko mare kaeto nochak otiyo ne tend apis mar Lyndon B. Johnson.",". 1960s, Brzezinski odok e John F. Kennedy e advisor kod Lyndon B. Johnson administration.",sentence ChrF,38.443139740949746,,1116.27
18,"During the 1976 selections he advised Carter on foreign policy, then served as National Security Advisor (NSA) from 1977 to 1981, succeeding Henry Kissinger.","E ndalo yiero ma 1976 nong'ado ne Carter rieko e wi chike matayo gig pinje ma welo, kendo notiyo kaka jang'ad rieko ma en National Security Advisor (NSA) chakre 1977 nyaka 1981, ka nokao tijno kowuok kwom Henry Kissinger.",. ni en ng'a ma otiyo gi yedhe mamero ji kendo otiyo gi yedhe mamero jowetegi.,sentence ChrF,12.430529510796378,,736.16
