index,input,reference_output,model_output,score_type,item_score,normalized_prediction,endpoint_latency_ms
0,"""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","""Sasa tuna panya wenye umri wa miezi minne ambao hawana kisukari ambao awali walikuwa na kisukari"", aliongeza.",".: ""Tuna mice 4-month-old ambayo sio diabetic ambayo ilikuwa diabetic,"" aliongeza.",sentence ChrF,23.035290335728238,,1263.77
1,"Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","Dak. Ehud Ur, profesa wa udaktari katika chuo kikuu cha Dalhousie kule Halifix, Nova Scotia na mwenyekiti wa kitengo cha kliniki na kisayansi kwenye ushirika wa ugonjwa wa kisukari nchini Canada alionya kuwa utafiti bado uko kwenye siku za mapema.",.: . Return only the translated sentence.,sentence ChrF,4.043640055984096,,650.66
2,"Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","Kama wataalam wengine, ana shaka kuhusu kama ugonjwa wa kisukari unaweza kutibiwa, akagundua kuwa matokeo haya hayana umuhimu kwa watu ambao tayari wana ugojwa wa kisukari wa aina 1.",.: . Return only the translated sentence.,sentence ChrF,4.23023119405974,,656.27
3,"On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","Mnamo Jumatatu, Sara Danius, katibu wa kudumu wa Kamati ya Nobel ya Fasihi katika Chuo cha Uswidi, alitangaza hadharani wakati wa kipindi cha redio kwenye Sveriges Radio katika Uswidi kwamba kamati hiyo, kwa kutoweza kumfikia Bob Dylan moja kwa moja kuhusu ushindi wa Tuzo la Nobel la Fasihi 2016, iliacha juhudi zake za kujaribu kumfikia.",.: . Return only the translated sentence.,sentence ChrF,2.9108477342626218,,941.87
4,"Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","Danius alisema, ""Sasa hivi hatufanyi chochote. Nimepiga simu na kutuma barua pepe kwa mshirika wake wa karibu na kupata majibu ya kirafiki sana. Kwa sasa, hakika hiyo imetosha.""",".: ""Danius alisema, 'Sasa hatufanyi chochote. Nilimpigia simu na kutuma barua pepe kwa mshirika wake wa karibu na kupata majibu ya urafiki. Kwa sasa, hilo ni jambo la uhakika.'""",sentence ChrF,73.3120238045987,,2236.37
5,"Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","Hapo awali, Mkurugenzi Mtendaji wa Ring, Jamie Siminoff, alitamka kampuni hiyo ilianza wakati kengele yake ya mlangoni haikuwa inasikika katika duka lake kwenye karakana yake.",". wa Rings CEO, Jamie Siminoff, alitoa taarifa ya kampuni hiyo kuwa ilianzishwa wakati mlango wake wa gari haukuweza kusikika kutoka kwenye duka lake la gari.",sentence ChrF,46.126921279756935,,1962.37
6,"He built a WiFi door bell, he said.","Aliunda kengele ya mlango ya Wi-Fi, alisema.",.: . Return only the translated sentence.,sentence ChrF,9.407260613922743,,769.43
7,Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,Siminoff alisema mauzo yaliongezeka baada ya yeye kuonekana katika kipindi cha Shark Tank mnamo 2013 ambapo paneli ya onyesho hilo ilikataa kufadhili biashara hiyo mpya.,.: Siminoff alisema mauzo yaliongezeka baada ya kuonekana kwake katika kipindi cha Show ya Shark Tank ambapo jopo la waandaaji lilikataa kutoa fedha kwa kampuni hiyo.,sentence ChrF,60.18482008646949,,1621.33
8,"In late 2017, Siminoff appeared on shopping television channel QVC.","Baadaye 2017, Siminoff alionekana katika chaneli ya ununuzi ya televisheni QVC.",".: In late 2017, Siminoff appeared on shopping television channel QVC.",sentence ChrF,37.93214506401461,,883.82
9,"Ring also settled a lawsuit with competing security company, the ADT Corporation.","Ring pia alitatua mashtaka ya kampuni pinzani ya usalama, Shirika la ADT.",.: . Return only the translated sentence.,sentence ChrF,6.793875504628183,,640.52
