index,input,reference_output,model_output,score_type,item_score,normalized_prediction,endpoint_latency_ms
0,"“Oyu twina kavila kena myei 4 kala kate na kwambatwa ni nthakame o kala vau tene kanai na uwau uu wa sukali”, ongelile uu.","""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.",.. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,sentence ChrF,0.19607843137254902,,7011.0
1,"Mũsomi ũmwe wa uiiti wĩtawa Dr. Ehud Ur wa Dalhousie University, Halifax, Nova Scotia na munene wa kianda kya sivitali na saienzi ya Canadian Diabetes Association niwaisye kana ukunikili uu uinamba kuthela.","Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.",". the rest. A doctor from the University of Halifax, Nova Scotia and the Chair of the Department of Medicine and the Canadian Diabetes Association said that there is a new method of testing for diabetes.",sentence ChrF,48.110627567196,,2032.42
2,"Ta undu umwe na andu mena utuika, e na nzika sya uwau wa sukali kana nouvow'e, aiweta kana maundu aa maina musingi kwa andu ala mena muthemba wa mbee wa sukali.","Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.",. the rest of the sentence. The translated sentence should be at least 5 words long.,sentence ChrF,14.872675859740003,,881.07
3,"Wakwambĩlĩlya, mwandĩkĩ Sara Danius, wa komitii ya kunengana mithinzio ya maundu ma uandiki, nĩwatangaasiie andũ kwĩsĩla kameme ka Sveriges kana mayaĩ matonya kũmũvikĩa Bob Dylan imwe kwa imwe yĩũlũ wa kũsinda mũthĩnzĩo wa maundu ma uandiki wa 2016, makola ikia vitii wa kũmũvikia.","On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.",. the rest. The translation should be accompanied by the original sentence.,sentence ChrF,7.922656465463667,,744.49
4,"Danius aaĩsye, “Oyu vaĩ ũndũ twĩkwĩka. Nĩnakũnĩa siumu na natũma maũtũmanĩ kwa anyanyae make mavakũvĩ na nakwata maũsũngĩo ma kwendeesya. Kwa saa ĩĩ kĩũ nĩ kĩanĩte”.","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""",". the rest. The translated sentence should read, “I am going to the market. I will buy fish and send them to my friends. I will also get some food for them. I will be back later this afternoon.”",sentence ChrF,25.455229975532934,,2028.69
5,"Navu ĩtina, CEO wa Ring, Jamie Siminoff, nĩwaisye kana kĩkũndĩ kĩũ kyambĩĩ ĩe ĩla ngengele ya mũomo wakwe ĩte wyĩkaa kũna ndũkanĩ yake ĩla yĩvala vaseũvĩawa ngalĩ.","Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.",". the rest. The CEO of Ring, Jamie Siminoff, said that the company's market value has increased by million in the last year.",sentence ChrF,33.724663360245934,,1299.98
6,"Aakie ngengele ya muomoni ya WiFi, aisye uu.","He built a WiFi door bell, he said.",. WiFi connection. . Return only the translated sentence.,sentence ChrF,14.681371032065618,,646.03
7,Siminoff aiye kama kuta kusoovie itina wa kumila nthini wa kivindi kya Shark Tank mwaka wa 2013 vala utongoi wa kivindi waleile kutetheesya mwambililyo.,Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,.: Siminoff was the first African to win the Shark Tank Award in 2013 when he was the first African to win the Shark Tank Award in 2013.,sentence ChrF,24.910733028682007,,1366.7
8,"2017 yiithela, Siminoff niyaumilile kwa tiivii channel QVC yiulu wa uthooi.","In late 2017, Siminoff appeared on shopping television channel QVC.",. kwa tiivii channel QVC yiulu wa uthooi.,sentence ChrF,20.354303712498787,,493.06
9,"Ring nunavikiie kumina ikoani na kambuni ila manasindanaa ya useseei wa muuo kwa isyitwa, ADT Corporation.","Ring also settled a lawsuit with competing security company, the ADT Corporation.",". kwa isyitwa, ADT Corporation.",sentence ChrF,24.706812805937346,,391.85
