index,input,reference_output,model_output,score_type,item_score,normalized_prediction,endpoint_latency_ms
0,Mutation yongereire ũingĩ wa genes njerũ na irutĩtwo kuuma gĩkundi kĩa iria nyonanie.,science/technology,: <br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br,exact category accuracy,0,INVALID,13621.58
1,Bomu ya kũgayũkania ĩrutaga wĩra kũringana na watho wa atĩ kuoyaga hinya wa kũhũthĩka kũnyitithania nucleus na protons na neutrons.,science/technology,: <br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br,exact category accuracy,0,INVALID,13511.41
2,"Nucleus ikoragwo na particles igĩrĩ, neutron na protons.",science/technology,":"" <br><br>text: Ni wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wacu wa",exact category accuracy,0,INVALID,13624.2
3,KĨũndũ gĨkĨ kĨhotithĨtie kũrutwo kwa mbica njega ikĨringithanio na iria cia gacicio karĨa gatagucagia mbica.,science/technology,: Return only the category. <br><br>text: Nĩ ũndũ wa gũkorwo na mũtaratara wa kũgiria na kũgiria. <br><br>category:,exact category accuracy,0,INVALID,2708.6
4,"Nĩ irĩ hinya gũkĩra web proxies nĩ ũndũ wa itũmi ciigana ũna: Nĩyerekagĩria internet traffic yothe njĩra-inĩ ingĩ, na kũrĩ http ike.",science/technology,:<br><br>text: Nĩ ũndũ wa itmi ciigana ũna: Nĩyerekagĩria internet traffic yothe njĩra-inĩ ingĩa.,exact category accuracy,0,INVALID,2143.44
5,Interactive design yendaga wĩrore ũrĩa wĩtĩkĩtie ũndũ wĩgiĩ media na wĩrute kwaga gwĩciria na njĩra ĩmwe.,science/technology,:<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>,exact category accuracy,0,INVALID,13732.91
6,"Ũndũ uyũ nĩwatuĩkire mũtugo, no cuma iyo ya iron nĩyatũmaga magũrũ ma wagons marĩa maarĩ ma mbaaũ gũthira mũno.",science/technology,:<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>,exact category accuracy,0,INVALID,13603.32
7,"Ikundi cia mĩrũthi ithondekagwo nĩ gatagatĩ ka mũrũthi ũmwe na ĩtatũ ya njamba ĩrĩa ĩtainio, ĩtwaranĩte na ĩngĩ mĩingĩ ta mĩrongo ĩtatũ ya nga na twana.",science/technology,:<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>,exact category accuracy,0,INVALID,13536.43
8,"O na harĩa AI ĩkoragwo na rĩĩtwa rĩrĩ na hinya rĩa sayansi ya gwĩcirĩria maũndũ matarĩ ho, AI ĩthondekaga rũhonge rwa bata mũno rwa sayansi ya kambiuta, ĩkĩrũmbũyania na mũtugo, wĩruti na kũhotithia ũũgĩ wa macini.",science/technology,":<br><br>text: Nĩ ũndũ wa gũkorwo na ũhoti wa macini, nĩ ũndũ wa gũkorwo na ũhoti wa sayansi ya gwĩcirĩria maũndũ matarĩ ho. <br><br>category:",exact category accuracy,0,INVALID,3115.32
9,Ratio ya aspect ya mũigana ũyũ (kũgayania ikũmi na igĨrĨ nĨguo kuona namba ngima ĨrĨa huthũ) ĨrĨa ĨrĨkanaga nĨ 3:2.,science/technology,:. <br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><b,exact category accuracy,0,INVALID,13654.77
