index,input,reference_output,model_output,score_type,item_score,normalized_prediction,endpoint_latency_ms
0,Mutation yongereire ũingĩ wa genes njerũ na irutĩtwo kuuma gĩkundi kĩa iria nyonanie.,science/technology,:. You are an assistant able to classify topics in texts.,exact category accuracy,0,INVALID,687.02
1,Bomu ya kũgayũkania ĩrutaga wĩra kũringana na watho wa atĩ kuoyaga hinya wa kũhũthĩka kũnyitithania nucleus na protons na neutrons.,science/technology,": wa kũhũthĩka. ,text: Nĩ ũndũ wa gũthiũrũrũkia na gũthiũrũrũkia. ,category: geography.",exact category accuracy,0,geography,970.07
2,"Nucleus ikoragwo na particles igĩrĩ, neutron na protons.",science/technology,: wa science/technology,exact category accuracy,1,science/technology,299.12
3,KĨũndũ gĨkĨ kĨhotithĨtie kũrutwo kwa mbica njega ikĨringithanio na iria cia gacicio karĨa gatagucagia mbica.,science/technology,":. ,text: KĨndũ kĨnene kĨnene kĨnene kĨnene kĨnene kĨnene kĨnene kĨnene kĨnene kĨnene kĨnene kĨnene kĨnene kĨnene kĨnene kĨnene kĨnene kĨnene kĨnene kĨnene kĨnene kĨnene kĨnene kĨnene kĨnene kĨnene kĨnene kĨnene kĨnene kĨnene kĨnene kĨnene kĨnene kĨnene kĨnene kĨnene kĨnene kĨnene kĨnene kĨnene kĨnene kĨnene kĨnene kĨnene kĨnene kĨnene kĨnene kĨnene kĨnene kĨnene kĨnene kĨnene kĨnene kĨnene kĨnene kĨnene kĨnene kĨnene kĨnene kĨnene kĨnene kĨnene",exact category accuracy,0,INVALID,7167.63
4,"Nĩ irĩ hinya gũkĩra web proxies nĩ ũndũ wa itũmi ciigana ũna: Nĩyerekagĩria internet traffic yothe njĩra-inĩ ingĩ, na kũrĩ http ike.",science/technology,:. You are an assistant able to classify topics in texts.,exact category accuracy,0,INVALID,710.31
5,Interactive design yendaga wĩrore ũrĩa wĩtĩkĩtie ũndũ wĩgiĩ media na wĩrute kwaga gwĩciria na njĩra ĩmwe.,science/technology,:. You are an assistant able to classify topics in texts.,exact category accuracy,0,INVALID,708.21
6,"Ũndũ uyũ nĩwatuĩkire mũtugo, no cuma iyo ya iron nĩyatũmaga magũrũ ma wagons marĩa maarĩ ma mbaaũ gũthira mũno.",science/technology,:. You are an assistant able to classify topics in texts.,exact category accuracy,0,INVALID,733.01
7,"Ikundi cia mĩrũthi ithondekagwo nĩ gatagatĩ ka mũrũthi ũmwe na ĩtatũ ya njamba ĩrĩa ĩtainio, ĩtwaranĩte na ĩngĩ mĩingĩ ta mĩrongo ĩtatũ ya nga na twana.",science/technology,:. You are an assistant able to classify topics in texts.,exact category accuracy,0,INVALID,715.54
8,"O na harĩa AI ĩkoragwo na rĩĩtwa rĩrĩ na hinya rĩa sayansi ya gwĩcirĩria maũndũ matarĩ ho, AI ĩthondekaga rũhonge rwa bata mũno rwa sayansi ya kambiuta, ĩkĩrũmbũyania na mũtugo, wĩruti na kũhotithia ũũgĩ wa macini.",science/technology,":, entertainment, geography",exact category accuracy,0,entertainment,342.99
9,Ratio ya aspect ya mũigana ũyũ (kũgayania ikũmi na igĨrĨ nĨguo kuona namba ngima ĨrĨa huthũ) ĨrĨa ĨrĨkanaga nĨ 3:2.,science/technology,:. ||text: Nĩguo kuona namba ngima İrĨa huthũ. ||class: travel.,exact category accuracy,0,travel,895.57
10,"Thimũ ya satellite ti ya ithenya rĩa thimu ya moko, tondũ no nginya ũkorwo kũndũ nja handũ ũrakinyĩrĩka wega nĩ satellite nĩguo ũhote kuhũũra thimũ.",science/technology,:. You are an assistant able to classify topics in texts.,exact category accuracy,0,INVALID,689.49
11,"Ona angĩkorwo Wagonways ciakitwo na mbaũ, nĩciatũmaga mbarathi ithiĩ ihenya inene na kũgucia mĩrigo mĩritũ gũkĩra barabara irĩa cia hĩndĩ iyo iria citaarĩ nyoroku.",science/technology,:. You are an assistant able to classify topics in texts.,exact category accuracy,0,INVALID,688.31
12,"Andũ nĩ makoretwo moĩ ciigiĩ maũndũ ma mũthingi ma chemical elements kwa mũhiano thahabu, betha na copper kuma matukũ-inĩ ma tene mũno, tondũ icio no igundũrwo ũndũire-inĩ wacio itanyitanĩte na kĩndũ kĩngĩ na nĩ ikoragwo na ingĩringithanio na ingĩ nĩ ikoragwo na raithi kwenja ugĩtũmira indo cia tene.",science/technology,":, entertainment, geography",exact category accuracy,0,entertainment,334.76
13,Magũrũ ma gĩthiũrũrĩ nĩ macenjetie thĩ na njĩra nene. ũndu ũrĩa mũnene mũno magũrũ macio ma gĩthiũrũrĩ mekĩte nĩ gũtũhe ũkui mũhũthũ makĩria na wa naihenya.,science/technology,:. You are an assistant able to classify topics in texts.,exact category accuracy,0,INVALID,688.53
14,ũndũ ũyũ wĩkagwo nĩguo mbica iihũre gĩcicioinĩ gĩothe. ũndu ũyũ witagwo overscan.,science/technology,:. You are an assistant able to classify topics in texts.,exact category accuracy,0,INVALID,693.44
15,Meeri cia haaro cia Germany cietagwo U-boats. Ajerumani makoragwo marĩ ega mũno gũtwarithia na gũtũmĩra meeri ciao.,science/technology,:. Gikuyu statement: Meeri cia haaro cia Germany cietagwo U-boats. Ajerumani makoragwo marĩ ega mũno gũtwarithia na gũtũmĩra meeri ciao.,exact category accuracy,0,INVALID,1325.6
16,"Ona akorwo state no icenjie, chemical states itigaraga ihanaine.",science/technology,":. ,text: Ona akorwo state no icenjie, chemical states itigaraga ihanaine. ,class: geography.",exact category accuracy,0,geography,1179.72
17,Surface tension ĩhotekaga nĩ ũndũ molecules cia maĩ-inĩ igũrũ nĩ igucanagia na hinya mũno gũkĩra urĩa igucagĩrĩrio nĩ molecules cia rĩera-inĩ.,science/technology,:. You are an assistant able to classify topics in texts.,exact category accuracy,0,INVALID,719.77
18,Thĩna ũrĩa mũnene hĩndi ya kũgeria gũcenjia thenema  ĩtuĩke DVD nĩ overscan.,science/technology,:. You are an assistant able to classify topics in texts.,exact category accuracy,0,INVALID,682.47
