index,input,reference_output,model_output,score_type,item_score,normalized_prediction,endpoint_latency_ms
0,"Mabadiliko huongeza tofauti za kimaumbile, na uchaguzi huyaondoa katika mkusanyiko wa tofauti zilizoonyeshwa.",science/technology,":, entertainment, geography",exact category accuracy,0,entertainment,347.24
1,Bomu hii gawanyiki hufanya kazi kwa kanuni kwamba nguvu huhitajika katika uundaji wa viini vyenye protoni na nutroni nyingi.,science/technology,":, science/technology",exact category accuracy,1,science/technology,293.56
2,Nyuklia ina chembe mbili - nyutroni na protoni.,science/technology,":. ,text: Wacha tuende kwenye hifadhi ya wanyamapori. ,category: travel. ,text: Wacha tuone ni nani atashinda uchaguzi huu. ,category: politics. ,text: Wachezaji wa mpira wa miguu wanafanya vizuri sana. ,category: sports. ,text: Wacha tuone ni nani atashinda uchaguzi huu. ,category: politics. ,text: Wachezaji wa mpira wa miguu wanafanya vizuri sana. ,category: sports. ,text: Wacha tuone ni nani atashinda uchaguzi huu. ,category: politics. ,text: Wachezaji wa mpira wa miguu wanafanya vizuri sana. ,category: sports. ,text: Wacha tuone ni nani atashinda uchaguzi huu. ,category: politics. ,text: Wachezaji wa mpira wa miguu wanafanya vizuri sana. ,category: sports. ,text: Wacha tuone ni nani atashinda uchaguzi huu. ,category: politics. ,text: Wachezaji wa mpira wa miguu wanafanya",exact category accuracy,0,travel,6711.93
3,Hii imewezesha lenzi za kukuza kutoa picha zenye ubora unaoweza kulinganishwa na ule unaofikiwa na lenzi zenye urefu msingi usiobadilika.,science/technology,":. ,text: Hii imewezesha lenzi za kukuza kutoa picha zenye ubora unaoweza kulinganishwa na ule unaofikiwa na lenzi zenye urefu msingi usiobadilika. ,category: geography.",exact category accuracy,0,geography,1393.41
4,"Ni bora kuliko wakala wa tovuti kwa sababu kadhaa: Huelekeza upya trafiki yote ya intaneti, si http pekee.",science/technology,:.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com,exact category accuracy,0,INVALID,6755.43
5,Ubunifu wenye maingiliano huhitaji kwamba ukague tena dhana zako kuhusu uzalishaji wa midia na ujifunze kufikiria kwa njia zisizo nyoofu.,science/technology,":, entertainment, geography",exact category accuracy,0,entertainment,321.99
6,"Hii ilikuja kuwa desturi, lakini chuma kilisababisha kuharibika kwa magurudumu ya mbao ya magari ya kukokotwa.",science/technology,:. You are an assistant able to classify topics in texts.,exact category accuracy,0,INVALID,660.28
7,"Makundi ya simba yanatengenezwa na waume kati ya mmoja na watatu wazima wanaohusiana, pamoja na wengi wa kike kama thelathini na mashibli.",science/technology,:. You are an assistant able to classify topics in texts.,exact category accuracy,0,INVALID,662.58
8,"Ingawa Akili Bandia inahusishwa sana na tungo za kisayansi, Akili Bandia huunda sehemu muhimu sana ya tawi la sayansi ya kompyuta, kushughulikia tabia, mafunzo na marekebisho ya akili kwa mashine.",science/technology,":, sayansi, kompyuta, akili, mafunzo, marekebisho",exact category accuracy,0,INVALID,394.33
9,Uwiano-vipimo wa muundo huu (kugawa na kumi na mbili ili kupata uwiano rahisi zaidi wa namba kamili) basi husemekana kuwa 3:2.,science/technology,:. #Answer: science/technology #Click to see more #Click to see less #Click to see less #Click to see more #Click to see more #Click to see more #Click to see more #Click to see more #Click to see more #Click to see more #Click to see more #Click to see more #Click to see more #Click to see more #Click to see more #Click to see more #Click to see more #Click to see more #Click to see more #Click to see more #Click to see more #Click to see more #Click to see more #Click to see more #Click to see more #Click to see more #C,exact category accuracy,1,science/technology,6703.55
10,"Simu ya satelaiti sio kwa ujumla mbadala wa simu ya rununu, kwani lazima uwe nje wazi na kuona laini za satelaiti ili kupiga simu.",science/technology,":, travel, politics, sports, health, entertainment, or geography?",exact category accuracy,0,travel,770.14
11,"Ingawa njia za magari zilisheheni magogo sambamba ya miti, zilihuruhusu farasi kuzivuta kwa kasi zaidi na kuvuta mizigo mikubwa kiasi kwa barabara mbaya za siku.",science/technology,":. ,text: Kwa hivyo, ni lazima tuwekeze katika uhifadhi wa mazingira ili kulinda viumbe vyetu vya asili. ,category: politics.",exact category accuracy,0,politics,1058.53
12,"Watu wameshajua kuhusu elementi za kimsingi za kemikali kama vile dhahabu, fedha, na shaba kutoka zamani, kwani hizi zote zinaweza kugunduliwa kwa maumbile katika hali ya asili na ni rahisi kuchimbuliwa kwa kutumia zana za zamani.",science/technology,":, travel, politics, sports, health, entertainment, or geography",exact category accuracy,0,travel,735.55
13,Gurudumu limebadilisha dunia kwa njia za ajabu. Jambo kubwa zaidi ambalo gurudumu limetufanyia ni kutupatia uchukuzi rahisi na wa haraka.,science/technology,":, travel, politics, sports, health, entertainment, or geography?",exact category accuracy,0,travel,761.87
14,Hii hufanywa ili kuhakikisha picha inafunika skrini yote. Hiyo inaitwa kuskani kulikokithiri.,science/technology,:. You are an assistant able to classify topics in texts.,exact category accuracy,0,INVALID,655.21
15,Manowari za Ujerumani ziliitwa nyambizi. Wajerumani walikuwa wazuri sana kwa kuabiri na kuendesha manowari zao.,science/technology,:.text: Wajerumani walikuwa wazuri sana kwa kuabiri na kuendesha manowari zao.category: geography.,exact category accuracy,0,geography,786.59
16,"Ingawa hali yake ya mwili inaweza kubadilika, hali yake ya kikemikali inabaki ile ile.",science/technology,":, travel, politics, sports, health, entertainment, or geography?",exact category accuracy,0,travel,790.8
17,Nguvu za mvuto kwenye sura hutokea kwa sababu molekyuli za maji katika sura ya maji huvutana kwa nguvu zenyewe kwa zenyewe kuliko jinsi zinavyovutwa na molekyuli za hewa zilizo juu yake.,science/technology,":. ,text: Kupanda kwa bei ya chakula kunaweza kusababisha umaskini kwa watu wengi.,category: politics.",exact category accuracy,0,politics,852.85
18,Shida moja ya kawaida wakati wa kujaribu kubadilisha sinema kwenda kwa muundo wa DVD ni kuskani zaidi.,science/technology,":, entertainment, geography",exact category accuracy,0,entertainment,319.27
19,"Hususan, inadaiwa kuwa mtu anaweza kutambua ikiwa mtu anadanganya kwa kufasiri ishara ndogondogo kwa njia sahihi.",science/technology,:. You are an assistant able to classify topics in texts.,exact category accuracy,0,INVALID,698.98
20,Dhahabu inaweza kutengenezwa ikawa maumbo tofauti tofauti. Inaweza kuvingirishwa ikawa maumbo madogo.,science/technology,:. You are an assistant able to classify topics in texts.,exact category accuracy,0,INVALID,653.07
21,"Mfumo wa AI sasa hutumiwa mara nyingi katika nyanja za uchumi, dawa, uhandisi na jeshi, kama ulivyojengwa katika programu kadhaa za kompyuta za nyumbani na michezo ya video.",science/technology,":, entertainment, geography",exact category accuracy,0,entertainment,317.25
22,"Bado inatolewa hadi wa leo, lakini kwa umuhimu zaidi uwiano wa kipengele chake umerithiwa na umbizo za kihisio cha picha za kamera za kidijitali.",science/technology,":, science/technology",exact category accuracy,1,science/technology,292.06
23,Sheria ya thuluthi inayotumiwa vibaya na kudhihakiwa mara nyingi ni mwongozo rahisi unaounda uwezo huku ukidumisha kiwango cha mpango katika picha.,science/technology,:. You are an assistant able to classify topics in texts.,exact category accuracy,0,INVALID,654.72
24,"Hii haithibitishi tu kuwa baadhi ya dinosaria walikuwa na manyoya, nadharia ambayo tayari imezagaa, bali pia inatoa maelezo ambayo kijumla visukuku haviwezi, kama vile rangi na mpangilio wa pande-tatu.",science/technology,":, science/technology",exact category accuracy,1,science/technology,292.25
25,"Mvuto wa lo ungewezaje kunivuta? Kama ungesimama katika uso wa lo, ungekuwa na uzani mdogo kuliko ulionao duniani.",science/technology,":, travel, politics, sports, health, entertainment, or geography?",exact category accuracy,0,travel,758.13
26,NextGen ni mfumo ambao Utawala wa Shirikisho la Anga unadai ungeruhusu ndege kutumia njia fupi na kuokoa mamilioni ya galoni za mafuta kila mwaka na kukata uzalishaji wa kaboni.,science/technology,":, travel, politics, sports, health, entertainment, or geography?",exact category accuracy,0,travel,785.31
27,"Data ya neurobayolojia inatoa ushahidi wa mwili kwa mtazamo wa kinadharia kuhusu uchunguzi wa utambuzi. Kwa hivyo, inapunguza eneo la utafiti na kulifanya liwe maalum zaidi.",science/technology,":, science/technology",exact category accuracy,1,science/technology,299.73
28,"Wakati wa hotuba yake ya masaa 2, alisema kwamba ""Leo Kampuni la Tofaa itaandaa tena simu hiyo, Tutafanya historia leo"".",science/technology,:.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com,exact category accuracy,0,INVALID,6729.69
29,Ubaya wa lenzi za kupanua au kupunguza mwonekano ni kwamba utata wa kiangalifu na idadi ya elementi za lenzi zinazohitajika kufikia urefu wa kiangalifu ni kubwa zaidi kuliko za lenzi kuu.,science/technology,":. ,text: Ubaya wa lenzi za kupanua au kupunguza mwonekano ni kwamba utata wa kiangalifu na idadi ya elementi za lenzi zinazohitajika kufikia urefu wa kiangalifu ni kubwa zaidi kuliko za lenzi kuu. ,category: geography.",exact category accuracy,0,geography,1775.57
30,"Ifananayo na rimoti ya runinga, kidhibiti hutumia sensa mbili zilizowekwa karibu na runinga ya mtumiaji ili kupata nafasi yake katika sehemu ya pande tatu.",science/technology,":. ,text: Ifananayo na rimoti ya runinga, kidhibiti hutumia sensa mbili zilizowekwa karibu na runinga ya mtumiaji ili kupata nafasi yake katika sehemu ya pande tatu. ,category: geography.",exact category accuracy,0,geography,1543.13
31,. Wanasayansi wanasema manyoya ya mnyama huyu yalikuwa ya rangi ya kahawia-nyekundu upande wa juu na hafifu au rangi ya karotini upande wa chini.,science/technology,:. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,exact category accuracy,0,INVALID,6781.5
32,"Kampaundi hizo mbili humenyuka pamojakutengeneza fuwele ambazo zinaweza kuzuia kazi za figo, watafiti chuoni walisema.",science/technology,:. You are an assistant able to classify topics in texts.,exact category accuracy,0,INVALID,664.59
33,Hii hutoa ubora wa mwonekano karibu mara nne ya ule wa picha hasi ya milimita 35 (3136 mm2 dhidi ya 864).,science/technology,":. , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,",exact category accuracy,0,INVALID,6722.32
34,"Shukrani kwa viungo vya kebo za nyuzi za kioo chini ya bahari katika Uropa na satelaiti pana yenye bendi za masafa mapana, Greenland imeunganishwa vizuri na asilimia 93 ya watu wana ufikiaji wa intaneti.",science/technology,": ya intaneti. , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,",exact category accuracy,0,INVALID,6786.99
