index,input,reference_output,model_output,score_type,item_score,normalized_prediction,endpoint_latency_ms
0,"""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","“Oyu twina kavila kena myei 4 kala kate na kwambatwa ni nthakame o kala vau tene kanai na uwau uu wa sukali”, ongelile uu.",. </sentence> </sentence>,sentence ChrF,4.399753947377592,,795.87
1,"Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","Mũsomi ũmwe wa uiiti wĩtawa Dr. Ehud Ur wa Dalhousie University, Halifax, Nova Scotia na munene wa kianda kya sivitali na saienzi ya Canadian Diabetes Association niwaisye kana ukunikili uu uinamba kuthela.",.</sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sent,sentence ChrF,3.351361231768059,,13650.31
2,"Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","Ta undu umwe na andu mena utuika, e na nzika sya uwau wa sukali kana nouvow'e, aiweta kana maundu aa maina musingi kwa andu ala mena muthemba wa mbee wa sukali.",.</sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sent,sentence ChrF,2.950821781900841,,13733.16
3,"On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","Wakwambĩlĩlya, mwandĩkĩ Sara Danius, wa komitii ya kunengana mithinzio ya maundu ma uandiki, nĩwatangaasiie andũ kwĩsĩla kameme ka Sveriges kana mayaĩ matonya kũmũvikĩa Bob Dylan imwe kwa imwe yĩũlũ wa kũsinda mũthĩnzĩo wa maundu ma uandiki wa 2016, makola ikia vitii wa kũmũvikia.",.<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>,sentence ChrF,0.34350096180269307,,13701.64
4,"Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","Danius aaĩsye, “Oyu vaĩ ũndũ twĩkwĩka. Nĩnakũnĩa siumu na natũma maũtũmanĩ kwa anyanyae make mavakũvĩ na nakwata maũsũngĩo ma kwendeesya. Kwa saa ĩĩ kĩũ nĩ kĩanĩte”.","., . Return only the translated sentence.",sentence ChrF,4.486553363287101,,942.62
5,"Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","Navu ĩtina, CEO wa Ring, Jamie Siminoff, nĩwaisye kana kĩkũndĩ kĩũ kyambĩĩ ĩe ĩla ngengele ya mũomo wakwe ĩte wyĩkaa kũna ndũkanĩ yake ĩla yĩvala vaseũvĩawa ngalĩ.",.</sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sent,sentence ChrF,2.459426442035041,,13316.47
6,"He built a WiFi door bell, he said.","Aakie ngengele ya muomoni ya WiFi, aisye uu.","., English sentence: He built a WiFi door bell, he said. , Kamba sentence: .",sentence ChrF,18.126438883477018,,1839.94
7,Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,Siminoff aiye kama kuta kusoovie itina wa kumila nthini wa kivindi kya Shark Tank mwaka wa 2013 vala utongoi wa kivindi waleile kutetheesya mwambililyo.,.</sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sent,sentence ChrF,2.200526128502555,,13545.31
8,"In late 2017, Siminoff appeared on shopping television channel QVC.","2017 yiithela, Siminoff niyaumilile kwa tiivii channel QVC yiulu wa uthooi.","., English sentence: . Return only the translated sentence.",sentence ChrF,8.614047115589889,,1203.63
9,"Ring also settled a lawsuit with competing security company, the ADT Corporation.","Ring nunavikiie kumina ikoani na kambuni ila manasindanaa ya useseei wa muuo kwa isyitwa, ADT Corporation.",.</sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sentence></sent,sentence ChrF,2.4021722029840413,,13645.27
10,"While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.","Ona vala singano umwe wi ungu wa ukunikili wionany'a utonya kuola ikw'u kumana na Ebola, nginya yu, vai ndawa inesa kwonanw'a mbailu kwa kuiita uwau ula wikw'o.","., . Return only the translated sentence.",sentence ChrF,3.653739845244904,,897.37
11,"One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death.","Ndawa imwe ya kukitana na mowau, Zmapp, mbeeni yai inoonany'a watho ngali isu, indi masomo moonanasya kana vaita wayo kwa kusiiia ikw'u wai munii mbee wondu yatalikanaa.",.. English sentence: There is a new school in the village that is providing education for the children. . Kamba sentence: . Return only the translated sentence.,sentence ChrF,10.524557595055995,,3056.29
