index,input,reference_output,model_output,score_type,item_score,normalized_prediction,endpoint_latency_ms
0,"""Sasa tuna panya wenye umri wa miezi minne ambao hawana kisukari ambao awali walikuwa na kisukari"", aliongeza.","""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.",.omba turudishe tu translation ya sentensi hii.,sentence ChrF,11.427166627672849,,426.24
1,"Dak. Ehud Ur, profesa wa udaktari katika chuo kikuu cha Dalhousie kule Halifix, Nova Scotia na mwenyekiti wa kitengo cha kliniki na kisayansi kwenye ushirika wa ugonjwa wa kisukari nchini Canada alionya kuwa utafiti bado uko kwenye siku za mapema.","Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.",".mbari: Ehud Ur, profesa of medicine at the University of Dalhousie in Halifix, Nova Scotia and chair of the clinical and scientific division of the diabetes association of Canada has alleged that research is still in the early stages.",sentence ChrF,72.14150753974515,,2639.66
2,"Kama wataalam wengine, ana shaka kuhusu kama ugonjwa wa kisukari unaweza kutibiwa, akagundua kuwa matokeo haya hayana umuhimu kwa watu ambao tayari wana ugojwa wa kisukari wa aina 1.","Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.",.maanisha ya Kiswahili ni nini? . Return only the translated sentence.,sentence ChrF,10.856932439523797,,645.15
3,"Mnamo Jumatatu, Sara Danius, katibu wa kudumu wa Kamati ya Nobel ya Fasihi katika Chuo cha Uswidi, alitangaza hadharani wakati wa kipindi cha redio kwenye Sveriges Radio katika Uswidi kwamba kamati hiyo, kwa kutoweza kumfikia Bob Dylan moja kwa moja kuhusu ushindi wa Tuzo la Nobel la Fasihi 2016, iliacha juhudi zake za kujaribu kumfikia.","On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.",.mbamba: Nambamba: Nambamba: Nambamba: Nambamba: Nambamba: Nambamba: Nambamba: Nambamba: Nambamba: Nambamba: Nambamba: Nambamba: Nambamba: Nambamba: Nambamba: Nambamba: Nambamba: Nambamba: Nambamba: Nambamba: Nambamba: Nambamba: Nambamba: Nambamba: Nambamba: Nambamba: Nambamba: Nambamba: Nambamba: Nambamba: Nambamba: Nambamba: Nambamba: Nambamba: Nambamba: Nambamba: Nambamba: Nambamba: Nambamba: Nambamba: Nambamba: Nambamba: Nambamba: Nambamba: Nambamba: Nambamba: Nambamba: Nambamba: Nambamba: Nambamba: Nambamba: Nambamba: Nambamba: Nambamba: Nambamba: Nambamba: Nambamba: Nambamba: Nambamba: Nambamba: Nambamba: Nambamba: Nambamba: Na,sentence ChrF,2.1839383642910595,,7183.24
4,"Danius alisema, ""Sasa hivi hatufanyi chochote. Nimepiga simu na kutuma barua pepe kwa mshirika wake wa karibu na kupata majibu ya kirafiki sana. Kwa sasa, hakika hiyo imetosha.""","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""",".sasa hivi hatufanyi chochote. Nimepiga simu na kutuma barua pepe kwa mshirika wake wa karibu na kupata majibu ya kirafiki sana. Kwa sasa, hakika hiyo imetosha.",sentence ChrF,12.238492092333543,,1116.99
5,"Hapo awali, Mkurugenzi Mtendaji wa Ring, Jamie Siminoff, alitamka kampuni hiyo ilianza wakati kengele yake ya mlangoni haikuwa inasikika katika duka lake kwenye karakana yake.","Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.",.maanisha gani? . Wacha tujue ni nini kilichotokea.,sentence ChrF,8.216189807843195,,476.68
6,"Aliunda kengele ya mlango ya Wi-Fi, alisema.","He built a WiFi door bell, he said.",".mba ya mlango ya Wi-Fi, aliunda.",sentence ChrF,11.421448921448919,,393.81
7,Siminoff alisema mauzo yaliongezeka baada ya yeye kuonekana katika kipindi cha Shark Tank mnamo 2013 ambapo paneli ya onyesho hilo ilikataa kufadhili biashara hiyo mpya.,Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,.omba turudishe tu translation ya sentensi hiyo.,sentence ChrF,8.637194251138759,,421.44
8,"Baadaye 2017, Siminoff alionekana katika chaneli ya ununuzi ya televisheni QVC.","In late 2017, Siminoff appeared on shopping television channel QVC.",.maanisha gani? . Naweza kuongea na wewe kwa Kiswahili.,sentence ChrF,9.894788077778367,,449.06
9,"Ring pia alitatua mashtaka ya kampuni pinzani ya usalama, Shirika la ADT.","Ring also settled a lawsuit with competing security company, the ADT Corporation.",.maanisha gani? . Naweza kuongea na wewe kwa Kiswahili.,sentence ChrF,9.19410472322723,,448.37
