index,input,reference_output,model_output,score_type,item_score,normalized_prediction,endpoint_latency_ms
0,"""Rĩu twĩna mbĩa cia mĩeri ĩna irarĩ na mũrimũ wa cukari na rĩu itirĩ naguo"" Nake akĩongerera.","""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.",.me. Name. Name. Name. Name. Name. Name. Name. Name. Name. Name. Name. Name. Name. Name. Name. Name. Name. Name. Name. Name. Name. Name. Name. Name. Name. Name. Name. Name. Name. Name. Name. Name. Name. Name. Name. Name. Name. Name. Name. Name. Name. Name. Name. Name. Name. Name. Name. Name. Name. Name. Name. Name. Name. Name. Name. Name. Name. Name. Name. Name. Name. Name. Name. Name. Name. Name. Name. Name. Name. Name. Name. Name. Name. Name. Name. Name. Name. Name. Name. Name. Name. Name. Name. Name. Name,sentence ChrF,2.3020257826887662,,7066.92
1,"Dagĩtarĩ Ehud Ur, profesa wa dawa cukuru mũnene wa Dalhousie Halifax, Nova Scotia na mũikarĩri gĩtĩ wa rũhonge rwa ũrigitani na ũthuthuria wa gĩkundi kĩa arũaru a mũrimu wa cukari Canada akĩheana mũkana atĩ ũthuthuria no hĩndĩ ũrambĩrĩirie","Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.",. mũhaka wa kũheana mũkana wa ũthuthuria wa gĩkundi kĩa arũaru a mũrimu wa cukari Canada.,sentence ChrF,7.51583935328914,,818.97
2,"Ota ataalamu acio angĩ, we arĩ na nganja atĩ mũrimũ wa cukari nĩ ũrĩ kĩhonia, na akoona atĩ maumĩrira maya matirĩ na bata harĩ andũ arĩa marĩ na mũrimũ wa cukari mũthemba wa mbere.","Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.",".tata, we are not sure what is meaning of the translation.",sentence ChrF,10.945850737195704,,542.4
3,"Na mũthenya wa mwambĩrĩrio, Danius, mwandĩki mũkaru wa kamĩtĩ ya Nobel ya Literature chukuru wa Swedish, akĩanĩrĩra kameme-inĩ ka Sveriges kũu Sweden atĩ nĩaremirwo nĩ gũkinyĩra Bob Dylan ĩmwe kwa ĩmwe nĩ ũhoro wa ũcindani wa kĩheo kĩa Nobel kĩa wandĩki wa literature kĩa mwaka wa ngiri igĩrĩ na ikũmi na ithathatũ, na nĩatiganĩte na mĩhang'o oyothe ya kũgeria kumukinyira.","On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.",".meme-inĩ ka Sveriges kũu Sweden, Danius, mwandĩki mũkaru wa kamĩtĩ ya Nobel ya Literature chukuru wa Swedish, akĩanĩrĩra atĩ nĩaremirwo nĩ gũkinyĩra Bob Dylan ĩmwe kwa ĩmwe nĩ ũhoro wa ũcindani wa kĩheo kĩa Nobel kĩa wandĩki wa literature kĩa mwaka wa ngiri igĩrĩ na ikũmi na ithathatũ, na nĩatiganĩte na mĩhang'o oyothe ya kũgeria kumukinyira.",sentence ChrF,27.143959901346136,,3259.4
4,"Danius araugire ""Kahinda gaka gũtirĩ ũndũ tũreka. Nĩ jĩtĩte na ngatuma marũa ma rũhuho kũrĩ andũ a hakuhĩ arĩa marutithanagia wĩra nake na nganyita macokio ma ũrata.","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""",.metranslations are not always accurate.,sentence ChrF,7.7761262468234085,,435.17
5,"Kahinda kahetũku, mũnene wa Ring, Jamie Siminoff, akiuga kĩganda kĩambĩrĩirie hĩndĩ ĩrĩa ngengere ya mũrango wake ĩtangĩaiguĩkire kuma nduka-ĩnĩ yake","Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.",. mũhaka wa kũgitĩra na kũheana ũhoro wa ma,sentence ChrF,6.279596223324424,,353.44
6,"Nĩathondekete mũtambo wa ngengere ya mũrango-inĩ ĩnyitithanĩtio na WiFi, nake akiuga.","He built a WiFi door bell, he said.",".ĩthondekete mũtambo wa ngengere ya mũrango-inĩ ĩnyitithanĩtio na WiFi, nake kuuga.",sentence ChrF,14.690738544492119,,783.15
7,"Siminoff akiuga wendia nĩ wongererekete kuma rĩrĩa onekanire tabarĩra-inĩ ya shark Tank, kuma rĩrĩa arũgamĩrĩri maregire kũheana kĩgĩna gĩa kwambĩrĩria biacara.",Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,".me. Kikuyu sentence: Nĩguo, tũririe na mũrũngarũ wa kũheana biacara.",sentence ChrF,9.680644144339153,,703.14
8,"Mwaka wa 2017 ugĩ thira, Siminoff nionekanire televisheni ya ũgũri QVC.","In late 2017, Siminoff appeared on shopping television channel QVC.",".me., Siminoff was on QVC TV in 2017.",sentence ChrF,21.295890640043975,,514.29
9,"Ring nĩacokire akĩnina ciira wa watho na acindani ake a kambũni ya ũgitĩri, ADT.","Ring also settled a lawsuit with competing security company, the ADT Corporation.",".kuo na ciira wa watho na acindani ake a kambũni ya ũgitĩri, ADT.",sentence ChrF,12.566046682432209,,702.03
10,"Onakoro njajo ĩmwe ya kũgeria kũgitĩra mũrimũ nĩyonekanĩte ta ĩranyihia ikuũ ciĩtanĩtio na mũrimũ wa Ebola, nginyagia ihinda rĩrĩ gũtirĩ ndaawa njega biũ cia gũthondeka mĩrimũ ĩrĩa ĩkuo.","While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.",.tatũria na mũrũngarũ wa kũgitĩra mũrimũ wa Ebola.,sentence ChrF,7.217524483524132,,514.38
11,"Antibody cocktail ĩmwe, Zmapp, kĩambĩrĩria nĩyaheanĩte mwĩhoko mwena-inĩ, no mathomo mahetũkie makĩonania yarĩ na ũmithio mũnini kũringana na ũrĩa wendekanaga kurigĩrĩria ikuũ.","One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death.",".me. Antibody cocktail ĩmwe, Zmapp, kĩambĩrĩria nĩyaheanĩte mwĩhoko mwena-inĩ, no mathomo mahetũkie makĩonania yarĩ na ũmithio mũnini kũringana na ũrĩa wendekanaga kurigĩrĩria ikuũ.",sentence ChrF,22.931914665641575,,1619.12
12,"Mageria-inĩ ma PALM, Zmapp yatũmĩriro nĩ atalamu a sayansi ta gĩthimi gĩa kũgerekania na ndaawa icio ingĩ ithatũ.","In the PALM trial, ZMapp served as a control, meaning scientists used it as a baseline and compared the three other treatments to it.",".maria: Majira-inĩ ma PALM, Zmapp yatũmĩriro nĩ atalamu a sayansi ta gĩthimi gĩa kũgerekania na ndaawa icio ingĩ ithatũ.",sentence ChrF,16.22154098859574,,1170.52
13,USA Gymnastics nĩmetĩkanĩtie na marũa ma committee ya America ya Olympics atĩ kwĩna bata mũnene wa andũ othe mahutainie na mathako ma olympics gũteithĩrĩria mathingira na matũra gũkoro na ũgitĩri ũrĩa wagĩrĩire harĩ athaki.,USA Gymnastics supports the United States Olympic Committee's letter and accepts the absolute need of the Olympic family to promote a safe environment for all of our athletes.,. ũgitĩri wa gũkoro na ũgitĩri wa gũkoro na ũgitĩri wa gũkoro na ũgitĩri wa gũkoro na ũgitĩri wa gũkoro na ũgitĩri wa gũkoro na ũgitĩri wa gũkoro na ũgitĩri wa gũkoro na ũgitĩri wa gũkoro na ũgitĩri wa gũkoro na ũgitĩri wa gũkoro na ũgitĩri wa gũkoro na ũgitĩri wa gũkoro na ũgitĩri wa gũkoro na ũgitĩri wa gũkoro na ũgitĩri wa gũkoro na ũgitĩri wa gũkoro na ũgitĩri wa gũkoro na ũgitĩri wa gũkoro na ũgitĩri wa gũkoro na ũgitĩri wa gũkoro na ũgitĩri wa gũkoro na ũgitĩri wa gũkoro na ũgitĩri wa gũkoro na ũgitĩri wa gũkoro na ũgitĩri wa gũkoro na ũgitĩri wa gũkoro na ũgitĩri wa gũkoro na ũgitĩri wa gũkoro na ũgitĩri wa gũkoro na ũgitĩri wa gũkoro na ũgitĩri wa gũkoro na,sentence ChrF,5.13370520492114,,6950.88
14,Nĩtwĩtĩkĩranĩtie na mandĩkithia ma USOC at wendi wa athaki na irabu na mathako mao no ũkinyanĩire na njira ya gũthiĩ na mbere na mogarũrũku makinyanĩru ciũngano-inĩ ciao gũtarĩ kwehutĩrio certificate,"We agree with the USOC's statement that the interests of our athletes and clubs, and their sport, may be better served by moving forward with meaningful change within our organization, rather than decertification.",.mbari ya gũthomithia na gũthomithia na gũthomithia na gũthomithia na gũthomithia na gũthomithia na gũthomithia na gũthomithia na gũthomithia na gũthomithia na gũthomithia na gũthomithia na gũthomithia na gũthomithia na gũthomithia na gũthomithia na gũthomithia na gũthomithia na gũthomithia na gũthomithia na gũthomithia na gũthomithia na gũthomithia na gũthomithia na gũthomithia na gũthomithia na gũthomithia na gũthomithia na gũthomithia na gũthomithia na gũthomithia na gũthomithia na gũthomithia na gũthomithia na gũthomithia na gũthomithia na gũthomithia na gũthomithia na gũthomithia na gũthomithia na gũthomithia na gũthomithia na gũthomithia na gũthomithia na gũthomithia na gũthomithia na gũthomithia na gũthomithia na gũthomithia na gũthomithia na gũthomithia na gũthomithia na gũthomithia na gũthomithia na gũthomithia na gũthomithia na gũthomithia na gũthomithia na gũthomithia na gũthomithia na gũthomithia na gũthomithia na gũthomithia na gũ,sentence ChrF,6.659525450905432,,6919.89
15,Gymnastics a America nĩ maranyita mbaru ũthuthuria urĩa ũngĩhotithia kũonania ũtũmĩri mũru wa mahinya ũrĩa wandĩkithĩtio nĩ arĩa mahonokire Larry Nassar ũrĩa ũngĩathiire ũtamenyekete kahinda karaihu na gwĩtĩkĩra mogarũrũku marĩa magĩrĩire.,USA Gymnastics supports an independent investigation that may shine light on how abuse of the proportion described so courageously by the survivors of Larry Nassar could have gone undetected for so long and embraces any necessary and appropriate changes.,.tatũra mũrũngarũ wa mahinya.,sentence ChrF,3.1915075165554594,,331.39
