index,input,reference_output,model_output,score_type,item_score,normalized_prediction,endpoint_latency_ms
0,"""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","""Rĩu twĩna mbĩa cia mĩeri ĩna irarĩ na mũrimũ wa cukari na rĩu itirĩ naguo"" Nake akĩongerera.",".we na mice 4-month-old iria iri na diabetic iria iri na diabetic, nacio ciuria ciuria ciuria ciuria ciuria ciuria ciuria ciuria ciuria ciuria ciuria ciuria ciuria ciuria ciuria ciuria ciuria ciuria ciuria ciuria ciuria ciuria ciuria ciuria ciuria ciuria ciuria ciuria ciuria ciuria ciuria ciuria ciuria ciuria ciuria ciuria ciuria ciuria ciuria ciuria ciuria ciuria ciuria ciuria ciuria ciuria ciuria ciuria ciuria ciuria ciuria ciuria ciuria ciuria ciuria ciuria ciuria ciuria ciuria ciuria ciuria ciuria ciuria ciuria ciuria ciuria ciuria ciuria ciuria ciuria ciuria ciuria ciuria ciuria ciuria ciuria ci",sentence ChrF,7.787572304772063,,6871.55
1,"Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","Dagĩtarĩ Ehud Ur, profesa wa dawa cukuru mũnene wa Dalhousie Halifax, Nova Scotia na mũikarĩri gĩtĩ wa rũhonge rwa ũrigitani na ũthuthuria wa gĩkundi kĩa arũaru a mũrimu wa cukari Canada akĩheana mũkana atĩ ũthuthuria no hĩndĩ ũrambĩrĩirie",".mbari: . Nawe, ni uhoro wa kuhorera? . Nawe, ni uhoro wa kuhorera? . Nawe, ni uhoro wa kuhorora? . Nawe, ni uhoro wa kuhorora? . Nawe, ni uhoro wa kuhorora? . Nawe, ni uhoro wa kuhorora? . Nawe, ni uhoro wa kuhorora? . Nawe, ni uhoro wa kuhorora? . Nawe, ni uhoro wa kuhorora? . Nawe, ni uhoro wa kuhorora? . Nawe, ni uhoro wa kuhorora? . Nawe, ni uhoro wa kuhorora? . Nawe, ni uhoro wa kuhorora? . Nawe, ni uhoro wa kuhorora? . Nawe, ni uhoro wa kuhorora? . Nawe, ni uhoro wa kuhorora? . Nawe, ni uhoro wa kuhorora? . Nawe, ni uhoro wa kuhorora? . Nawe, ni uhoro wa kuhorora? . Nawe, ni",sentence ChrF,10.36579779667771,,7107.99
2,"Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","Ota ataalamu acio angĩ, we arĩ na nganja atĩ mũrimũ wa cukari nĩ ũrĩ kĩhonia, na akoona atĩ maumĩrira maya matirĩ na bata harĩ andũ arĩa marĩ na mũrimũ wa cukari mũthemba wa mbere.",".mbari: . Nawe, ni uhoro wa kuhorera?",sentence ChrF,5.808739748628758,,466.62
3,"On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","Na mũthenya wa mwambĩrĩrio, Danius, mwandĩki mũkaru wa kamĩtĩ ya Nobel ya Literature chukuru wa Swedish, akĩanĩrĩra kameme-inĩ ka Sveriges kũu Sweden atĩ nĩaremirwo nĩ gũkinyĩra Bob Dylan ĩmwe kwa ĩmwe nĩ ũhoro wa ũcindani wa kĩheo kĩa Nobel kĩa wandĩki wa literature kĩa mwaka wa ngiri igĩrĩ na ikũmi na ithathatũ, na nĩatiganĩte na mĩhang'o oyothe ya kũgeria kumukinyira.",".weru wa Murang'a, Sara Danius, murutani wa Nobel Committee for Literature at Swedish Academy, akoretwo aguthiira murutani wa Nobel Prize in Literature, mwaka wa 2016, akiguthiira Bob Dylan, akiguthiira murutani wa Nobel Prize in Literature, akiguthiira Bob Dylan, akiguthiira murutani wa Nobel Prize in Literature, akiguthiira Bob Dylan, akiguthiira murutani wa Nobel Prize in Literature, akiguthiira Bob Dylan, akiguthiira murutani wa Nobel Prize in Literature, akiguthiira Bob Dylan, akiguthiira murutani wa Nobel Prize in Literature, akiguthiira Bob Dylan, akiguthiira murutani wa Nobel Prize in Literature, akiguthiira Bob Dylan, akiguthiira muru",sentence ChrF,25.657779049962613,,7003.93
4,"Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","Danius araugire ""Kahinda gaka gũtirĩ ũndũ tũreka. Nĩ jĩtĩte na ngatuma marũa ma rũhuho kũrĩ andũ a hakuhĩ arĩa marutithanagia wĩra nake na nganyita macokio ma ũrata.",".ĩ, Danius akoretwo akiũria, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""",sentence ChrF,17.045461930435618,,2098.87
5,"Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","Kahinda kahetũku, mũnene wa Ring, Jamie Siminoff, akiuga kĩganda kĩambĩrĩirie hĩndĩ ĩrĩa ngengere ya mũrango wake ĩtangĩaiguĩkire kuma nduka-ĩnĩ yake",".i, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,",sentence ChrF,0.5128205128205128,,7012.57
6,"He built a WiFi door bell, he said.","Nĩathondekete mũtambo wa ngengere ya mũrango-inĩ ĩnyitithanĩtio na WiFi, nake akiuga.",".we, ni wega wa kuhota? - Nawe, ni wega wa kuhota. - Ni wega wa kuhota. - Ni wega wa kuhota. - Ni wega wa kuhota. - Ni wega wa kuhota. - Ni wega wa kuhota. - Ni wega wa kuhota. - Ni wega wa kuhota. - Ni wega wa kuhota. - Ni wega wa kuhota. - Ni wega wa kuhota. - Ni wega wa kuhota. - Ni wega wa kuhota. - Ni wega wa kuhota. - Ni wega wa kuhota. - Ni wega wa kuhota. - Ni wega wa kuhota. - Ni wega wa kuhota. - Ni wega wa kuhota. - Ni wega wa kuhota. - Ni wega wa kuhota. - Ni wega wa kuhota. - Ni wega wa kuhota. - Ni wega wa kuhota. - Ni wega wa kuhota. - Ni wega wa kuhota. - Ni wega wa kuhota. - Ni wega wa kuhota. - Ni wega wa kuhota. - Ni wega wa kuhota. - Ni wega wa kuhota. - Ni wega wa kuhota. - Ni wega wa kuhota. - Ni wega wa kuhota. - Ni wega wa kuhota.",sentence ChrF,5.5661500527394505,,7014.97
7,Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,"Siminoff akiuga wendia nĩ wongererekete kuma rĩrĩa onekanire tabarĩra-inĩ ya shark Tank, kuma rĩrĩa arũgamĩrĩri maregire kũheana kĩgĩna gĩa kwambĩrĩria biacara.",.weru: . Naweru: .,sentence ChrF,2.1816448045222643,,332.65
8,"In late 2017, Siminoff appeared on shopping television channel QVC.","Mwaka wa 2017 ugĩ thira, Siminoff nionekanire televisheni ya ũgũri QVC.",".i, ni kwa nini ugithii na kuherera?",sentence ChrF,13.174522426044197,,384.87
9,"Ring also settled a lawsuit with competing security company, the ADT Corporation.","Ring nĩacokire akĩnina ciira wa watho na acindani ake a kambũni ya ũgitĩri, ADT.",".weru wa muthuri wa mugunda, ni wa kuhurumia?",sentence ChrF,9.586069259798847,,438.51
