index,input,reference_output,model_output,score_type,item_score,normalized_prediction,endpoint_latency_ms
0,“Koro wantiere kod oyiechni ma jo dweche ang'wen mane nitiere kod tuo sukari to koro sani gionge kod tuo no.”,"""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.",. kod tuo sukari to koro sani gionge kod tuo no.,sentence ChrF,7.511595848118394,,429.71
1,"Laktar Ehud Ur, ngire mar weche thieth e Mbalariany mar Dalhousie ei Halifax, Nova Scottia, kendo jakom mar migao mar klinik kod sayans mar Riwruok mar Tuo sukari ma Kanada nochiwo siem ni nonro no pod nitiere e kindege mag chakruok.","Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.",". the rest. Laktar Ehud Ur, a medical doctor at the Dalhousie Medical College in Halifax, Nova Scottia, and a member of the Canadian Diabetes Association, has said that the research is structured in a way that will allow for the collection of data from a variety of sources.",sentence ChrF,50.52624030580137,,2817.08
2,"Kaka jomolony moko, en gi chichi koda tuo sukari inyalo thiedhi, kobedo kod ng'eyo, ni nonrogi onge gima medo ne jii man kod tuo sukari mokwongo.","Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.",. the original Luo sentence.,sentence ChrF,5.191291008957484,,296.05
3,"Chieng' Wuoktich, Sara Danius, jagoro ma tene mar Nobel Committee for Literature manitiere ei Swedish Academy, nolando e lela e kinde mane entiere e chenro moro mar nyakalondo mar Sveriges Radio ei Sweden ni komiti, ka ne nyalo mar chopo ir Bob Dylan mondo gikone kwom loch mare mar Nobel Prize ma 2016 mar weche Ndiko Buge otamogi, ne gijok gi kinda mar manye.","On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.",. the translation. The translation should be in English.,sentence ChrF,5.330928846719518,,434.78
4,"Danius ne owacho ni, “gi e sechegi onge gima watimo. Asegoyo simu kendo aseoro barupe mag e-mail ne jal ma otiyo go machiegni kendo aseyudo duoko mamuol ahinya. Gi sani, mago oromo aroma”.","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""",". the rest of the sentence. The translated sentence should read, “I have been telling you, that we need to plant more crops. I have been writing to the minister of agriculture to ask for help. We need to plant more crops.”",sentence ChrF,24.603620087511942,,2326.26
5,"Motelo, CEO mar Ring, Jamie Siminoff, nowacho ni kambino nochakore ka okotne mar thigo ne okwinjre gi ei dukane manenitiere er garaj ne.","Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.",". ni CEO mar Ring, Jamie Siminoff, nowacho ni kambino nochakore ka okotne mar thigo ne okwinjre gi ei dukane manenitiere er garaj ne.",sentence ChrF,26.629682340419365,,1336.15
6,"Noloso olang' mar dhoot matiyo gi WiFi, ne owacho.","He built a WiFi door bell, he said.",".. Noloso olang' mar dhoot matiyo gi WiFi, ne owacho.",sentence ChrF,14.624207448643508,,565.07
7,Siminoff nowacho ni nyiepo nomedore tok chopo mare e sula moro achiel e chenro mar Shark Tank e higa mar 2013 kama ne jotelo mag chenrono mar wang' jowi notamore chiwo kony mar omenda ne tijeno.,Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,. mar omenda ne tijeno. . Return only the translated sentence.,sentence ChrF,11.758547430264429,,614.6
8,"E giko mag hik 2017, Siminoff ne one e wang' jowi mar nyiewo mwandu mar QVC.","In late 2017, Siminoff appeared on shopping television channel QVC.",". mag hik 2017, Siminoff ne one e wang' jowi mar nyiewo mwandu mar QVC.",sentence ChrF,29.94434197518635,,774.2
9,"Kambi mar Ring bende nosetieko yuaruok mane gin godo gi kambi ma gipiemgo, ma en ADT Corporation.","Ring also settled a lawsuit with competing security company, the ADT Corporation.",". kambi mar Ring bende nosetieko yuaruok mane gin godo gi kambi ma gipiemgo, ma en ADT Corporation.",sentence ChrF,29.895607288476477,,946.35
10,"E seche ma yath manie tem nenore ni nikod nyalo mar dwoko thoye mag Ebola chien, nyaka gi e sechegi, onge yath mosenyiso ni emaber mar thiedho tuo no.","While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.",. the rest. The translation should be accompanied by an example sentence in Luo.,sentence ChrF,13.090795811771173,,755.47
11,"Achiel kwom kwriri mageng'o tuo e del, ZMapp, mokwongo ne nenore ka gima nonyalo konyo ahinya, mak mana ni nonro mag josomo wacho ni en kod ber manok ahinya e geng'o thoye.","One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death.",. the rest. The translation should be accompanied by the original Luo sentence.,sentence ChrF,14.008605403160626,,802.91
12,"E tem mar PALM, Zmapp ne otiyo kaka sigingi, manyiso ni jo sayans ne otiyo kode kaka gir chakruok kendo ne gipimo element mamoko adek go kode.","In the PALM trial, ZMapp served as a control, meaning scientists used it as a baseline and compared the three other treatments to it.",. the rest. The translation should be accompanied by the original Luo sentence.,sentence ChrF,17.692737345870835,,752.08
13,"Jotugo mag Gymnastics epiny USA oyie kod barup kamiti United States matayo Olympic, kendo giyie dwaro mar jok matayo Olympic mond okel aluora maber ne jong'wech te.",USA Gymnastics supports the United States Olympic Committee's letter and accepts the absolute need of the Olympic family to promote a safe environment for all of our athletes.,". the rest. Jotugo mag Gymnastics epiny USA oyie kod barup kamiti United States matayo Olympic, kendo giyie dwaro mar jok matayo Olympic mond okel aluora maber ne jong'wech te.",sentence ChrF,30.50321670835576,,1771.51
14,"Wayie kod wach mar jo USOC mar ni dwach jotuk ng'wech mekwa gi kilabu mekgi, kaachiel kod tukegi, nyalo dhi nyime e yo malong'o ka watimo lokruoge mowinjore e riwruok wa, kar mayogi barupegi mag tugo.","We agree with the USOC's statement that the interests of our athletes and clubs, and their sport, may be better served by moving forward with meaningful change within our organization, rather than decertification.",. the rest of the sentence. The translated sentence should be at least 5 lines long.,sentence ChrF,11.814584899530782,,882.46
15,"Jotug gimnastiks ma USA oyie kod jotim nonro mang'iyo kaka bembo notimre, kaluwore kaka jomanotimnegi wacho, kendo tim nonro yudo kaka Larry Nassar nenyalo timo timni ndalo gi duto, kendo giyie gi paro kod lokruok manyalo bedo maber.",USA Gymnastics supports an independent investigation that may shine light on how abuse of the proportion described so courageously by the survivors of Larry Nassar could have gone undetected for so long and embraces any necessary and appropriate changes.,. the rest. The translation should be accompanied by an example sentence in Luo.,sentence ChrF,10.14810389942072,,752.26
16,"USA Gymnastics kod USOC nikod duaro achiel - loso tuke mag ting'o chumbe mapek, kod mamoko, obed malong'o kaka nyalore ne jotuke mondo giluu lek mekgi e yo makare, mowinjore to kod aluora ma nikod teko mogundho.","USA Gymnastics and the USOC have the same goal — making the sport of gymnastics, and others, as safe as possible for athletes to follow their dreams in a safe, positive and empowered environment.",". the rest of the sentence. The USA Gymnastics and USOC have announced a new partnership to support the US Olympic and Paralympic Teams. The partnership will include the US Olympic and Paralympic Teams' owners, the US Olympic Committee and US Paralympic Committee, and the US Olympic and Paralympic Teams' attractive national teams.",sentence ChrF,32.02102133564424,,3857.43
17,"E higni duto mag 1960, Brzezinski notiyo ne John F. Kennedy kaka ja ng'ad rieko mare kaeto nochak otiyo ne tend apis mar Lyndon B. Johnson.","Throughout 1960s, Brzezinski worked for John F. Kennedy as his advisor and then the Lyndon B. Johnson administration.",". the rest. E higni duto mag 1960, Brzezinski notiyo ne John F. Kennedy kaka ja ng'ad rieko mare kaeto nochak otiyo ne tend apis mar Lyndon B. Johnson.",sentence ChrF,42.293935040620156,,1527.27
