index,input,reference_output,model_output,score_type,item_score,normalized_prediction,endpoint_latency_ms
0,"Lokruok mag gik mangima kata mutation medo pogruoge manyien mag chwech kata jenetik, kaeto yiero to gole oko kowuok ei pogruoge moyudi go.",science/technology,":, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,",exact category accuracy,0,INVALID,13708.48
1,"Bomb mar fision tiyo nii, okaw teko mar keto nyuklia kanyakla, man kod protons gi neutrons mathoth.",science/technology,: </p> <p></p>,exact category accuracy,0,INVALID,765.83
2,Niuklias oting'o gik moko ariyo- niutrons gi protons.,science/technology,":, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,",exact category accuracy,0,INVALID,13702.47
3,Mano osemiyo kio mag lens mayuayo gikmoko golo pichni manitiere e rang'iny minyalo mana pim gi mago ma ogol gi lens ma ok yua pichni.,science/technology,: <answer>science/technology</answer>,exact category accuracy,1,science/technology,1090.42
4,"Gibeyo maloyo proxy mag mbui kaluwore gi yore buora: Gidwoko trafik te mag mbui e yo makare, ok mana http Kende.",science/technology,":, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,",exact category accuracy,0,INVALID,13433.06
5,Loso chwech mag tudruok mag mbui duaro ni inonane kendo paro magi kwom chwech mag gig fwambo kod keyo kendo ipuonjri paro e yore mopogore opogore.,science/technology,: </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s>,exact category accuracy,0,INVALID,13332.69
6,"Mano nobedo gima koro itiyogo pile, mak mana ni nyinyo go koro ne kelo kethruok ahinya mag tie geche manolosi gi yiende go.",science/technology,": </p> <p>A: Mano nobedo gima koro itiyogo pile, mak mana ni nyinyo go koro ne kelo kethruok ahinya mag tie geche manolosi gi yiende go. </p><p>B: Oooh, ero kamano!",exact category accuracy,0,INVALID,3418.42
7,"Pride iloso kod sibuor madichwo achiel kata adek ma nikod tudruok, kod sibuoche ma mon manyalo romo piero adek to kod nyithindgi.",science/technology,":, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,",exact category accuracy,0,INVALID,13381.71
8,"Kata obedo ni AI nitiere kod okiki mag miriambo mag sayans, AI loso bad sayans mar kompyuta mowinjore ahinya, motenore gi timbe, puonjruok to kod lokruok e rieko mar masin.",science/technology,":, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,",exact category accuracy,0,INVALID,13337.31
9,Tudruok mar kwan e bor gi lach mar picha ma kamagi (pogo gi apar kod ariyo mondo iyud tudruok mar kwan mayot mochung' kende) koro iwacho ni en 3:2.,science/technology,":, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,",exact category accuracy,0,INVALID,13358.01
