index,input,reference_output,model_output,score_type,item_score,normalized_prediction,endpoint_latency_ms
0,"Mabadiliko huongeza tofauti za kimaumbile, na uchaguzi huyaondoa katika mkusanyiko wa tofauti zilizoonyeshwa.",science/technology,:. You are an assistant able to classify topics in texts.,exact category accuracy,0,INVALID,695.77
1,Bomu hii gawanyiki hufanya kazi kwa kanuni kwamba nguvu huhitajika katika uundaji wa viini vyenye protoni na nutroni nyingi.,science/technology,:. You are an assistant able to classify topics in texts.,exact category accuracy,0,INVALID,697.85
2,Nyuklia ina chembe mbili - nyutroni na protoni.,science/technology,:. You are an assistant able to classify topics in texts.,exact category accuracy,0,INVALID,698.91
3,Hii imewezesha lenzi za kukuza kutoa picha zenye ubora unaoweza kulinganishwa na ule unaofikiwa na lenzi zenye urefu msingi usiobadilika.,science/technology,:. #MWisho wa mjadala.,exact category accuracy,0,INVALID,309.04
4,"Ni bora kuliko wakala wa tovuti kwa sababu kadhaa: Huelekeza upya trafiki yote ya intaneti, si http pekee.",science/technology,:. You are an assistant able to classify topics in texts.,exact category accuracy,0,INVALID,729.1
5,Ubunifu wenye maingiliano huhitaji kwamba ukague tena dhana zako kuhusu uzalishaji wa midia na ujifunze kufikiria kwa njia zisizo nyoofu.,science/technology,:. You are an assistant able to classify topics in texts.,exact category accuracy,0,INVALID,687.89
6,"Hii ilikuja kuwa desturi, lakini chuma kilisababisha kuharibika kwa magurudumu ya mbao ya magari ya kukokotwa.",science/technology,:. You are an assistant able to classify topics in texts.,exact category accuracy,0,INVALID,685.99
7,"Makundi ya simba yanatengenezwa na waume kati ya mmoja na watatu wazima wanaohusiana, pamoja na wengi wa kike kama thelathini na mashibli.",science/technology,:. You are an assistant able to classify topics in texts.,exact category accuracy,0,INVALID,687.68
8,"Ingawa Akili Bandia inahusishwa sana na tungo za kisayansi, Akili Bandia huunda sehemu muhimu sana ya tawi la sayansi ya kompyuta, kushughulikia tabia, mafunzo na marekebisho ya akili kwa mashine.",science/technology,:. You are an assistant able to classify topics in texts.,exact category accuracy,0,INVALID,686.21
9,Uwiano-vipimo wa muundo huu (kugawa na kumi na mbili ili kupata uwiano rahisi zaidi wa namba kamili) basi husemekana kuwa 3:2.,science/technology,:. #ClassifyTexts,exact category accuracy,0,INVALID,359.09
10,"Simu ya satelaiti sio kwa ujumla mbadala wa simu ya rununu, kwani lazima uwe nje wazi na kuona laini za satelaiti ili kupiga simu.",science/technology,:. You are an assistant able to classify topics in texts.,exact category accuracy,0,INVALID,692.47
11,"Ingawa njia za magari zilisheheni magogo sambamba ya miti, zilihuruhusu farasi kuzivuta kwa kasi zaidi na kuvuta mizigo mikubwa kiasi kwa barabara mbaya za siku.",science/technology,:. You are an assistant able to classify topics in texts.,exact category accuracy,0,INVALID,692.21
