index,input,reference_output,model_output,score_type,item_score,normalized_prediction,endpoint_latency_ms
0,"Mabadiliko huongeza tofauti za kimaumbile, na uchaguzi huyaondoa katika mkusanyiko wa tofauti zilizoonyeshwa.",science/technology,":, entertainment, geography",exact category accuracy,0,entertainment,338.11
1,Bomu hii gawanyiki hufanya kazi kwa kanuni kwamba nguvu huhitajika katika uundaji wa viini vyenye protoni na nutroni nyingi.,science/technology,":, science/technology",exact category accuracy,1,science/technology,302.15
2,Nyuklia ina chembe mbili - nyutroni na protoni.,science/technology,":. ,text: Wacha tuende kwenye hifadhi ya wanyamapori. ,category: travel. ,text: Wacha tuone ni nani atashinda uchaguzi huu. ,category: politics. ,text: Wachezaji wa mpira wa miguu wanafanya vizuri sana. ,category: sports. ,text: Wacha tuone ni nani atashinda uchaguzi huu. ,category: politics. ,text: Wachezaji wa mpira wa miguu wanafanya vizuri sana. ,category: sports. ,text: Wacha tuone ni nani atashinda uchaguzi huu. ,category: politics. ,text: Wachezaji wa mpira wa miguu wanafanya vizuri sana. ,category: sports. ,text: Wacha tuone ni nani atashinda uchaguzi huu. ,category: politics. ,text: Wachezaji wa mpira wa miguu wanafanya vizuri sana. ,category: sports. ,text: Wacha tuone ni nani atashinda uchaguzi huu. ,category: politics. ,text: Wachezaji wa mpira wa miguu wanafanya",exact category accuracy,0,travel,7037.12
3,Hii imewezesha lenzi za kukuza kutoa picha zenye ubora unaoweza kulinganishwa na ule unaofikiwa na lenzi zenye urefu msingi usiobadilika.,science/technology,":. ,text: Hii imewezesha lenzi za kukuza kutoa picha zenye ubora unaoweza kulinganishwa na ule unaofikiwa na lenzi zenye urefu msingi usiobadilika. ,category: geography.",exact category accuracy,0,geography,1445.34
4,"Ni bora kuliko wakala wa tovuti kwa sababu kadhaa: Huelekeza upya trafiki yote ya intaneti, si http pekee.",science/technology,:.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com,exact category accuracy,0,INVALID,6976.58
5,Ubunifu wenye maingiliano huhitaji kwamba ukague tena dhana zako kuhusu uzalishaji wa midia na ujifunze kufikiria kwa njia zisizo nyoofu.,science/technology,":, entertainment, geography",exact category accuracy,0,entertainment,329.57
6,"Hii ilikuja kuwa desturi, lakini chuma kilisababisha kuharibika kwa magurudumu ya mbao ya magari ya kukokotwa.",science/technology,:. You are an assistant able to classify topics in texts.,exact category accuracy,0,INVALID,682.58
7,"Makundi ya simba yanatengenezwa na waume kati ya mmoja na watatu wazima wanaohusiana, pamoja na wengi wa kike kama thelathini na mashibli.",science/technology,:. You are an assistant able to classify topics in texts.,exact category accuracy,0,INVALID,682.25
8,"Ingawa Akili Bandia inahusishwa sana na tungo za kisayansi, Akili Bandia huunda sehemu muhimu sana ya tawi la sayansi ya kompyuta, kushughulikia tabia, mafunzo na marekebisho ya akili kwa mashine.",science/technology,":, sayansi, kompyuta, akili, mafunzo, marekebisho",exact category accuracy,0,INVALID,406.93
9,Uwiano-vipimo wa muundo huu (kugawa na kumi na mbili ili kupata uwiano rahisi zaidi wa namba kamili) basi husemekana kuwa 3:2.,science/technology,:. #Answer: science/technology #Quote:,exact category accuracy,1,science/technology,664.78
