index,input,reference_output,model_output,score_type,item_score,normalized_prediction,endpoint_latency_ms
0,"""Rĩu twĩna mbĩa cia mĩeri ĩna irarĩ na mũrimũ wa cukari na rĩu itirĩ naguo"" Nake akĩongerera.","""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.",.. <br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><b,sentence ChrF,0.7548309178743963,,13188.49
1,"Dagĩtarĩ Ehud Ur, profesa wa dawa cukuru mũnene wa Dalhousie Halifax, Nova Scotia na mũikarĩri gĩtĩ wa rũhonge rwa ũrigitani na ũthuthuria wa gĩkundi kĩa arũaru a mũrimu wa cukari Canada akĩheana mũkana atĩ ũthuthuria no hĩndĩ ũrambĩrĩirie","Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.",.. <br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><b,sentence ChrF,0.984251968503937,,13240.76
2,"Ota ataalamu acio angĩ, we arĩ na nganja atĩ mũrimũ wa cukari nĩ ũrĩ kĩhonia, na akoona atĩ maumĩrira maya matirĩ na bata harĩ andũ arĩa marĩ na mũrimũ wa cukari mũthemba wa mbere.","Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","., Kikuyu sentence: Ota ataalamu acio angĩ, we arĩ na nganja atĩrĩ mũrimũ wa cukari nĩ ũrĩ kĩhonia, na akoona atĩ maumĩrira maya matirĩ na bata harĩ andũ arĩa marĩ na mũrimũ wa cukari mũthemba wa mbere.",sentence ChrF,12.841461152740216,,2987.04
3,"Na mũthenya wa mwambĩrĩrio, Danius, mwandĩki mũkaru wa kamĩtĩ ya Nobel ya Literature chukuru wa Swedish, akĩanĩrĩra kameme-inĩ ka Sveriges kũu Sweden atĩ nĩaremirwo nĩ gũkinyĩra Bob Dylan ĩmwe kwa ĩmwe nĩ ũhoro wa ũcindani wa kĩheo kĩa Nobel kĩa wandĩki wa literature kĩa mwaka wa ngiri igĩrĩ na ikũmi na ithathatũ, na nĩatiganĩte na mĩhang'o oyothe ya kũgeria kumukinyira.","On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.",.. <br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><b,sentence ChrF,1.7045454545454544,,13232.29
4,"Danius araugire ""Kahinda gaka gũtirĩ ũndũ tũreka. Nĩ jĩtĩte na ngatuma marũa ma rũhuho kũrĩ andũ a hakuhĩ arĩa marutithanagia wĩra nake na nganyita macokio ma ũrata.","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""",".. A: ""Twarĩ na rũhuho rwa kũreka na rũhuho rwa kũreka na rũhuho rwa kũreka na rũhuho rwa kũreka na rũhuho rwa kũreka na rũhuho rwa kũreka na rũhuho rwa kũreka na rũhuho rwa kũreka na rũhuho rwa kũreka na rũhuho rwa kũreka na rũhuho rwa kũreka na rũhuho rwa kũreka na rũhuho rwa kũreka na rũhuho rwa kũreka na rũhuho rwa kũreka na rũhuho rwa kũreka na rũhuho rwa kũreka na rũhuho rwa kũreka na rũhuho rwa kũreka na rũhuho rwa kũreka na rũhuho rwa kũreka na rũhuho rwa kũreka na rũhuho rwa kũreka na rũhuho rwa kũreka na rũhuho rwa kũreka na rũhuho rwa kũreka na rũhuho rwa kũreka na rũhuho rwa kũreka na rũhuho rwa kũreka na rũhuho rwa kũreka na rũhuho rwa kũreka na",sentence ChrF,6.214479279015514,,13404.38
5,"Kahinda kahetũku, mũnene wa Ring, Jamie Siminoff, akiuga kĩganda kĩambĩrĩirie hĩndĩ ĩrĩa ngengere ya mũrango wake ĩtangĩaiguĩkire kuma nduka-ĩnĩ yake","Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.",.. <br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><b,sentence ChrF,1.1904761904761907,,13265.43
6,"Nĩathondekete mũtambo wa ngengere ya mũrango-inĩ ĩnyitithanĩtio na WiFi, nake akiuga.","He built a WiFi door bell, he said.",.<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>,sentence ChrF,0.9033423667570009,,13231.66
7,"Siminoff akiuga wendia nĩ wongererekete kuma rĩrĩa onekanire tabarĩra-inĩ ya shark Tank, kuma rĩrĩa arũgamĩrĩri maregire kũheana kĩgĩna gĩa kwambĩrĩria biacara.",Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,.<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>,sentence ChrF,0.8466376390904692,,13215.27
8,"Mwaka wa 2017 ugĩ thira, Siminoff nionekanire televisheni ya ũgũri QVC.","In late 2017, Siminoff appeared on shopping television channel QVC.",.. <br><br>,sentence ChrF,0.6887052341597797,,575.67
9,"Ring nĩacokire akĩnina ciira wa watho na acindani ake a kambũni ya ũgitĩri, ADT.","Ring also settled a lawsuit with competing security company, the ADT Corporation.","., Kikuyu sentence: Acindani ake a kambũni ya ũgitĩri, ADT.",sentence ChrF,11.65514416981729,,1352.15
10,"Onakoro njajo ĩmwe ya kũgeria kũgitĩra mũrimũ nĩyonekanĩte ta ĩranyihia ikuũ ciĩtanĩtio na mũrimũ wa Ebola, nginyagia ihinda rĩrĩ gũtirĩ ndaawa njega biũ cia gũthondeka mĩrimũ ĩrĩa ĩkuo.","While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.","., Kikuyu sentence: Onakoro njajo ĩmwe ya kũgeria kũgitĩra mũrimũ nĩyonekanĩte ta ĩranyihia ikuũ ciĩtanĩtio na mũrimũ wa Ebola, nginyagia ihinda rĩtirĩ ndĩ na mũgumo wa kũgeria.",sentence ChrF,17.00623841186101,,2907.51
11,"Antibody cocktail ĩmwe, Zmapp, kĩambĩrĩria nĩyaheanĩte mwĩhoko mwena-inĩ, no mathomo mahetũkie makĩonania yarĩ na ũmithio mũnini kũringana na ũrĩa wendekanaga kurigĩrĩria ikuũ.","One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death.",.. Zmapp: Nĩ ũndũ wa gũteithia andũ a mũciĩ wa mũirĩtu.,sentence ChrF,6.45368405212754,,944.42
12,"Mageria-inĩ ma PALM, Zmapp yatũmĩriro nĩ atalamu a sayansi ta gĩthimi gĩa kũgerekania na ndaawa icio ingĩ ithatũ.","In the PALM trial, ZMapp served as a control, meaning scientists used it as a baseline and compared the three other treatments to it.",.<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>,sentence ChrF,1.0760401721664277,,13245.7
13,USA Gymnastics nĩmetĩkanĩtie na marũa ma committee ya America ya Olympics atĩ kwĩna bata mũnene wa andũ othe mahutainie na mathako ma olympics gũteithĩrĩria mathingira na matũra gũkoro na ũgitĩri ũrĩa wagĩrĩire harĩ athaki.,USA Gymnastics supports the United States Olympic Committee's letter and accepts the absolute need of the Olympic family to promote a safe environment for all of our athletes.,.<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>,sentence ChrF,0.7852375343541419,,13252.95
14,Nĩtwĩtĩkĩranĩtie na mandĩkithia ma USOC at wendi wa athaki na irabu na mathako mao no ũkinyanĩire na njira ya gũthiĩ na mbere na mogarũrũku makinyanĩru ciũngano-inĩ ciao gũtarĩ kwehutĩrio certificate,"We agree with the USOC's statement that the interests of our athletes and clubs, and their sport, may be better served by moving forward with meaningful change within our organization, rather than decertification.",.. Kikuyu sentence: Nĩtwĩtĩkĩranĩtie na mandĩkithia ma USOC at wendi wa athaki na irabu na mathako mao no ũkinyanĩire na njira ya gũthiĩ na mbere na mogarũrũku makinyanĩru ciertificate.,sentence ChrF,19.004456256167757,,3281.4
15,Gymnastics a America nĩ maranyita mbaru ũthuthuria urĩa ũngĩhotithia kũonania ũtũmĩri mũru wa mahinya ũrĩa wandĩkithĩtio nĩ arĩa mahonokire Larry Nassar ũrĩa ũngĩathiire ũtamenyekete kahinda karaihu na gwĩtĩkĩra mogarũrũku marĩa magĩrĩire.,USA Gymnastics supports an independent investigation that may shine light on how abuse of the proportion described so courageously by the survivors of Larry Nassar could have gone undetected for so long and embraces any necessary and appropriate changes.,.. <br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><b,sentence ChrF,1.5628336602635327,,13353.47
16,Gymnastics a America na USOC marĩ kĩoneki kĩmwe- gutigĩrĩra mathako ma gymnastics na macio mangĩ me ũmenyereri na athaki acio nĩmegũkinyanĩria iroto ciao kũndũ kwĩna ũmenyereri na ũnyitĩrĩri ũrĩa wagĩrĩire.,"USA Gymnastics and the USOC have the same goal — making the sport of gymnastics, and others, as safe as possible for athletes to follow their dreams in a safe, positive and empowered environment.",.<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>,sentence ChrF,0.8287292817679559,,13426.79
