index,input,reference_output,model_output,score_type,item_score,normalized_prediction,endpoint_latency_ms
0,"""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","“Oyu twina kavila kena myei 4 kala kate na kwambatwa ni nthakame o kala vau tene kanai na uwau uu wa sukali”, ongelile uu.",".mba: ""We sasa tuna mice 4-monaths-old ambayo sio diabetic ambayo ilikuwa diabetic,"" aliongeza.",sentence ChrF,14.51372763100769,,952.57
1,"Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","Mũsomi ũmwe wa uiiti wĩtawa Dr. Ehud Ur wa Dalhousie University, Halifax, Nova Scotia na munene wa kianda kya sivitali na saienzi ya Canadian Diabetes Association niwaisye kana ukunikili uu uinamba kuthela.",.mba sentence: . Return only the translated sentence.,sentence ChrF,6.49186122974636,,592.77
2,"Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","Ta undu umwe na andu mena utuika, e na nzika sya uwau wa sukali kana nouvow'e, aiweta kana maundu aa maina musingi kwa andu ala mena muthemba wa mbee wa sukali.",".mba, ni kweli kwamba kuna watu wengi ambao wanataka kujua ni nini kinachosababisha ugonjwa wa kisukari, lakini nina wasiwasi kwamba hii haitasaidia watu walio na kisukari cha aina ya kwanza.",sentence ChrF,24.187429534188535,,1210.97
3,"On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","Wakwambĩlĩlya, mwandĩkĩ Sara Danius, wa komitii ya kunengana mithinzio ya maundu ma uandiki, nĩwatangaasiie andũ kwĩsĩla kameme ka Sveriges kana mayaĩ matonya kũmũvikĩa Bob Dylan imwe kwa imwe yĩũlũ wa kũsinda mũthĩnzĩo wa maundu ma uandiki wa 2016, makola ikia vitii wa kũmũvikia.",.mba: . Namba: . Namba: . Namba: . Namba: . Namba: . Namba: . Namba: . Namba: . Namba: . Namba: . Namba: . Namba: . Namba: . Namba: . Namba: . Namba: . Namba: . Namba: . Namba: . Namba: . Namba: . Namba: . Namba: . Namba: . Namba: . Namba: . Namba: . Namba: . Namba: . Namba: . Namba: . Namba: . Namba: . Namba: . Namba: . Namba: . Namba: . Namba: . Namba: . Namba: . Namba: . Namba: . Namba: . Namba: . Namba: . Namba: . Namba: . Namba: . Namba: . Namba: . Namba,sentence ChrF,4.684772412745768,,7304.98
4,"Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","Danius aaĩsye, “Oyu vaĩ ũndũ twĩkwĩka. Nĩnakũnĩa siumu na natũma maũtũmanĩ kwa anyanyae make mavakũvĩ na nakwata maũsũngĩo ma kwendeesya. Kwa saa ĩĩ kĩũ nĩ kĩanĩte”.",".sa: , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,",sentence ChrF,0.6038698335687527,,7178.32
5,"Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","Navu ĩtina, CEO wa Ring, Jamie Siminoff, nĩwaisye kana kĩkũndĩ kĩũ kyambĩĩ ĩe ĩla ngengele ya mũomo wakwe ĩte wyĩkaa kũna ndũkanĩ yake ĩla yĩvala vaseũvĩawa ngalĩ.",.mba sentence: . Return only the translated sentence.,sentence ChrF,5.90420667611862,,578.62
6,"He built a WiFi door bell, he said.","Aakie ngengele ya muomoni ya WiFi, aisye uu.",".u, alijenga WiFi door bell, alisema.",sentence ChrF,18.425643399347294,,469.05
7,Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,Siminoff aiye kama kuta kusoovie itina wa kumila nthini wa kivindi kya Shark Tank mwaka wa 2013 vala utongoi wa kivindi waleile kutetheesya mwambililyo.,.mba sentence: . Return only the translated sentence.,sentence ChrF,7.134791778909204,,578.66
8,"In late 2017, Siminoff appeared on shopping television channel QVC.","2017 yiithela, Siminoff niyaumilile kwa tiivii channel QVC yiulu wa uthooi.",.mba sentence: . Return only the translated sentence.,sentence ChrF,7.9339582758654394,,578.3
9,"Ring also settled a lawsuit with competing security company, the ADT Corporation.","Ring nunavikiie kumina ikoani na kambuni ila manasindanaa ya useseei wa muuo kwa isyitwa, ADT Corporation.",".mba, ni kwa nini ulinileta hii?",sentence ChrF,8.583790945922617,,303.75
