index,input,reference_output,model_output,score_type,item_score,normalized_prediction,endpoint_latency_ms
0,"""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.",“Koro wantiere kod oyiechni ma jo dweche ang'wen mane nitiere kod tuo sukari to koro sani gionge kod tuo no.”,".deka: ""Ot, ere ng'a tich e piny, ere ng'a tich e piny, ere ng'a tich e piny, ere ng'a tich e piny, ere ng'a tich e piny, ere ng'a tich e piny, ere ng'a tich e piny, ere ng'a tich e piny, ere ng'a tich e piny, ere ng'a tich e piny, ere ng'a tich e piny, ere ng'a tich e piny, ere ng'a tich e piny, ere ng'a tich e piny, ere ng'a tich e piny, ere ng'a tich e piny, ere ng'a tich e piny, ere ng'a tich e piny, ere ng'a tich e piny, ere ng'a tich e piny, ere ng'a tich e piny, ere ng'a tich e piny, ere ng'a tich e piny, ere ng'a tich e piny, ere ng'a tich e piny, ere ng'a tich e piny, ere ng'a tich e piny, ere ng'a tich",sentence ChrF,7.454811525571259,,7116.94
1,"Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","Laktar Ehud Ur, ngire mar weche thieth e Mbalariany mar Dalhousie ei Halifax, Nova Scottia, kendo jakom mar migao mar klinik kod sayans mar Riwruok mar Tuo sukari ma Kanada nochiwo siem ni nonro no pod nitiere e kindege mag chakruok.",".mba: . Ehud Ur, professor mar medicine e Dalhousie University e Halifax, Nova Scotia kendo chair mar division mar clinical kod scientific mar Canadian Diabetes Association, obonyore ni research en early days.",sentence ChrF,30.202644043779674,,2432.02
2,"Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","Kaka jomolony moko, en gi chichi koda tuo sukari inyalo thiedhi, kobedo kod ng'eyo, ni nonrogi onge gima medo ne jii man kod tuo sukari mokwongo.",".malo, en odhiambo, e piny ka odhiambo, e piny ka odhiambo, e piny ka odhiambo, e piny ka odhiambo, e piny ka odhiambo, e piny ka odhiambo, e piny ka odhiambo, e piny ka odhiambo, e piny ka odhiambo, e piny ka odhiambo, e piny ka odhiambo, e piny ka odhiambo, e piny ka odhiambo, e piny ka odhiambo, e piny ka odhiambo, e piny ka odhiambo, e piny ka odhiambo, e piny ka odhiambo, e piny ka odhiambo, e piny ka odhiambo, e piny ka odhiambo, e piny ka odhiambo, e piny ka odhiambo, e piny ka odhiambo, e piny ka odhiambo, e piny ka odhiambo, e piny ka odhiambo, e piny ka odhiambo, e piny ka odhiambo, e piny ka odhiambo, e piny ka odhiambo, e piny ka odhiambo, e piny ka odhiambo, e piny ka odhiambo, e piny ka odhiambo, e piny ka odhiambo, e piny ka odhiambo, e piny ka odhiambo, e piny ka odhiambo, e piny ka odhiambo, e piny ka odhiambo, e piny ka",sentence ChrF,8.919609607837208,,7119.56
3,"On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","Chieng' Wuoktich, Sara Danius, jagoro ma tene mar Nobel Committee for Literature manitiere ei Swedish Academy, nolando e lela e kinde mane entiere e chenro moro mar nyakalondo mar Sveriges Radio ei Sweden ni komiti, ka ne nyalo mar chopo ir Bob Dylan mondo gikone kwom loch mare mar Nobel Prize ma 2016 mar weche Ndiko Buge otamogi, ne gijok gi kinda mar manye.",".deka e kaber, Sara Danius, obilo e kaber mar Nobel Committee for Literature e Swedish Academy, e kaber mar radio program e Sveriges Radio e Sweden, e kaber mar committee, e kaber mar abandoned its efforts e kaber mar reach him.",sentence ChrF,33.000996444180174,,2602.09
4,"Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","Danius ne owacho ni, “gi e sechegi onge gima watimo. Asegoyo simu kendo aseoro barupe mag e-mail ne jal ma otiyo go machiegni kendo aseyudo duoko mamuol ahinya. Gi sani, mago oromo aroma”.",".malo, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""",sentence ChrF,15.920640760607954,,1966.74
5,"Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","Motelo, CEO mar Ring, Jamie Siminoff, nowacho ni kambino nochakore ka okotne mar thigo ne okwinjre gi ei dukane manenitiere er garaj ne.",".mba, en gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi",sentence ChrF,2.410215166504765,,7205.06
6,"He built a WiFi door bell, he said.","Noloso olang' mar dhoot matiyo gi WiFi, ne owacho.",".malo, en e wiFi door bell, en e wiFi door bell.",sentence ChrF,12.227005836638249,,724.97
7,Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,Siminoff nowacho ni nyiepo nomedore tok chopo mare e sula moro achiel e chenro mar Shark Tank e higa mar 2013 kama ne jotelo mag chenrono mar wang' jowi notamore chiwo kony mar omenda ne tijeno.,.deka ni eroko eroko eroko eroko eroko eroko eroko eroko eroko eroko eroko eroko eroko eroko eroko eroko eroko eroko eroko eroko eroko eroko eroko eroko eroko eroko eroko eroko eroko eroko eroko eroko eroko eroko eroko eroko eroko eroko eroko eroko eroko eroko eroko eroko eroko eroko eroko eroko eroko eroko eroko eroko eroko eroko eroko eroko eroko eroko eroko eroko eroko eroko eroko eroko eroko eroko eroko eroko eroko eroko eroko eroko eroko eroko eroko eroko eroko eroko eroko eroko eroko eroko eroko eroko e,sentence ChrF,5.643912263712893,,7084.83
8,"In late 2017, Siminoff appeared on shopping television channel QVC.","E giko mag hik 2017, Siminoff ne one e wang' jowi mar nyiewo mwandu mar QVC.",".loso, in late 2017, Siminoff appeared on shopping television channel QVC.",sentence ChrF,28.587976619129435,,863.95
9,"Ring also settled a lawsuit with competing security company, the ADT Corporation.","Kambi mar Ring bende nosetieko yuaruok mane gin godo gi kambi ma gipiemgo, ma en ADT Corporation.",".malo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, adhiambo, a",sentence ChrF,3.683425992330274,,7113.74
10,"While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.","E seche ma yath manie tem nenore ni nikod nyalo mar dwoko thoye mag Ebola chien, nyaka gi e sechegi, onge yath mosenyiso ni emaber mar thiedho tuo no.",".malo, ebola obilo, ebola obilo, ebola obilo, ebola obilo, ebola obilo, ebola obilo, ebola obilo, ebola obilo, ebola obilo, ebola obilo, ebola obilo, ebola obilo, ebola obilo, ebola obilo, ebola obilo, ebola obilo, ebola obilo, ebola obilo, ebola obilo, ebola obilo, ebola obilo, ebola obilo, ebola obilo, ebola obilo, ebola obilo, ebola obilo, ebola obilo, ebola obilo, ebola obilo, ebola obilo, ebola obilo, ebola obilo, ebola obilo, ebola obilo, ebola obilo, ebola obilo, e",sentence ChrF,6.36786699841483,,7043.33
11,"One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death.","Achiel kwom kwriri mageng'o tuo e del, ZMapp, mokwongo ne nenore ka gima nonyalo konyo ahinya, mak mana ni nonro mag josomo wacho ni en kod ber manok ahinya e geng'o thoye.",".malo, eroko, eroko, eroko, eroko, eroko, eroko, eroko, eroko, eroko, eroko, eroko, eroko, eroko, eroko, eroko, eroko, eroko, eroko, eroko, eroko, eroko, eroko, eroko, eroko, eroko, eroko, eroko, eroko, eroko, eroko, eroko, eroko, eroko, eroko, eroko, eroko, eroko, eroko, eroko, eroko, eroko, eroko, eroko, eroko, eroko, eroko, eroko, eroko, eroko, eroko, eroko, eroko, eroko, eroko, eroko, eroko, eroko, eroko, eroko, eroko, eroko, eroko, eroko, e",sentence ChrF,5.714290473859031,,7071.83
12,"In the PALM trial, ZMapp served as a control, meaning scientists used it as a baseline and compared the three other treatments to it.","E tem mar PALM, Zmapp ne otiyo kaka sigingi, manyiso ni jo sayans ne otiyo kode kaka gir chakruok kendo ne gipimo element mamoko adek go kode.",".mbala: . If it is not a translation, please correct it.",sentence ChrF,7.535812256773028,,662.38
13,USA Gymnastics supports the United States Olympic Committee's letter and accepts the absolute need of the Olympic family to promote a safe environment for all of our athletes.,"Jotugo mag Gymnastics epiny USA oyie kod barup kamiti United States matayo Olympic, kendo giyie dwaro mar jok matayo Olympic mond okel aluora maber ne jong'wech te.",.deka e piny owacho mar Olympic Committee mar America e piny owacho mar Olympic Committee mar America e piny owacho mar Olympic Committee mar America e piny owacho mar Olympic Committee mar America e piny owacho mar Olympic Committee mar America e piny owacho mar Olympic Committee mar America e piny owacho mar Olympic Committee mar America e piny owacho mar Olympic Committee mar America e piny owacho mar Olympic Committee mar America e piny owacho mar Olympic Committee mar America e piny owacho mar Olympic Committee mar America e piny owacho mar Olympic Committee mar America e piny owacho mar Olympic Committee mar America e piny owacho mar Olympic Committee mar America e piny owacho mar Olympic Committee mar America e piny owacho mar Olympic Committee mar America e piny owacho mar Olympic Committee mar Ame,sentence ChrF,12.749534502857918,,7049.92
14,"We agree with the USOC's statement that the interests of our athletes and clubs, and their sport, may be better served by moving forward with meaningful change within our organization, rather than decertification.","Wayie kod wach mar jo USOC mar ni dwach jotuk ng'wech mekwa gi kilabu mekgi, kaachiel kod tukegi, nyalo dhi nyime e yo malong'o ka watimo lokruoge mowinjore e riwruok wa, kar mayogi barupegi mag tugo.",".mba: . If you want to see the original sentence, you can visit the website of the USOC.",sentence ChrF,8.338492442171045,,979.88
